"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66"
"17","Caleb Nero","Weber St.","BSky","31","48.3","101.9","17.7","50.6","54.65","1.2","6.6","12.5","16.5","37","47","0.787","54","107","0.505","17","50","0.34","0.3","1.7","29.9","Fr","6-2","0","0.473909","94.5244","2.5","2019","65738","all","North Dakota","1.30552754606288","15","32","39","75","0.46875","0.52","0","0","0","0","0","108.208","1.43092","0","-3.2097","-1.40605","-1.80365","-2.99493","19.4545","-2.06117","-0.933767","0.2424","1.4242","1.6667","1.4242","0.6364","0.0606","6.5455","","4.59701"
"18","Nick Honor","Fordham","A10","31","90","98.5","24.9","44.3","47.83","1.6","6","19","11.6","71","87","0.816","98","249","0.394","68","202","0.337","0","1.3","19.3","Fr","5-10","3","2.04952","103.872","2.1","2019","66148","all","Clemson","1.75928888888889","49","90","49","159","0.544444444444444","0.308176100628931","0","0","0","0","0","108.056","2.6724","0","-2.12027","0.394908","-2.51518","-0.828296","36.0938","0.466026","-1.29432","0.5625","1.8125","2.375","2.9688","0.875","0","15.2812","","10.8584"
"19","Ben Pyle","Western Illinois","Sum","24","87","102.6","17.6","51.9","55.25","2.4","15.5","7.7","16.5","39","44","0.886","39","100","0.39","56","137","0.409","1.7","1.5","18.6","So","6-7","15","1.31322","96.2147","2.1","2020","65913","all","San Diego","0.888895308527848","31","68","8","32","0.455882352941176","0.25","1","1","1","0","0","114.221","1.58454","0","-1.14622","0.178653","-1.32488","-0.96305","34.2692","0.760688","-1.72374","0.8077","4.4615","5.2692","1.5385","1","0.5769","12.2692","","9.05392"
"20","Jalen Tate","Northern Kentucky","Horz","21","53.1","102.7","27","50.2","54.1","5.6","13.8","26.6","19.9","69","100","0.69","102","185","0.551","8","42","0.19","1.8","3.4","44.1","Jr","6-6","11","2.3453","107.449","4","2020","49279","all","Arkansas","1.31665016683167","68","97","34","88","0.701030927835051","0.386363636363636","6","6","1","0","0","95.2148","3.40804","0","3.32985","0.874256","2.4556","3.90642","30.2273","1.57602","2.3304","1.5455","3.8182","5.3636","3.5909","1.8636","0.5","13.8636","","3.82661"
"21","Jojo Toppin","Georgia","SEC","18","7.7","81.5","18.5","38.6","46.73","8.3","6.2","5.8","30.8","8","10","0.8","7","17","0.412","1","5","0.2","1","0.6","45.5","Fr","6-6","5","-0.111966","81.5916","5.3","2019","66094","all","Georgia St.","0.30003599712023","6","12","1","5","0.5","0.2","1","2","0.5","0","0","108.43","0.401326","0","-6.35146","-4.27841","-2.07305","-6.69035","5.5","-4.89479","-1.79557","0.3889","0.3333","0.7222","0.1667","0.0556","0.0556","1.3889","","2.86522"
"22","LJ Figueroa","St. John's","BE","32","70.8","99.8","25.4","46.3","48.64","3.4","12.9","14.9","11.5","67","101","0.663","91","233","0.391","72","197","0.365","2.2","3.7","23.5","Jr","6-6","30","2.56508","111.45","4","2020","68112","all","Oregon","1.36742424242424","61","122","30","111","0.5","0.27027027027027","9","11","0.818181818181818","0","0","90.863","3.58376","0","5.54968","3.40744","2.14224","5.95357","28.3125","3.48207","2.4715","1","3.4688","4.4688","2.0938","1.9375","0.5312","14.5312","","11.7235"
"23","Ra'Shawn Langston","Louisiana Tech","CUSA","31","55.3","106.5","16.2","46.6","50.38","1.3","8.8","13.1","10.9","36","45","0.8","33","76","0.434","37","114","0.325","0.5","2","23.7","Jr","6-3","0","1.0512","101.154","2.7","2019","67742","all","McNeese St.","2.30430416068867","21","39","12","37","0.538461538461538","0.324324324324324","1","1","1","0","0","104.177","1.94049","0","-0.310595","0.42634","-0.736935","-0.118517","22.4848","-0.83323","0.714713","0.2424","1.6667","1.9091","1.6061","0.7273","0.0909","7.1515","","9.64307"
"24","Amanze Ngumezi","Georgia","SEC","6","7.5","93.3","22","47.1","48.48","4.7","11.5","6.3","15.9","6","11","0.545","15","28","0.536","1","7","0.143","6.4","0.6","31.4","So","6-9","25","0.583104","95.9542","5.1","2020","66093","all","Jacksonville St.","0.375010937089859","10","16","5","12","0.625","0.416666666666667","5","6","0.833333333333333","0","0","101.4","1.42525","0","-1.58308","-2.29057","0.707485","-3.32053","15.2857","-2.44176","-0.878762","0.7143","1.7143","2.4286","0.4286","0.1429","0.8571","6.1429","","4.09619"
"25","Jamal Bieniemy","Oklahoma","B12","31","79.6","90.6","12.6","41.1","43.69","2.2","10.8","16","20.3","19","24","0.792","37","83","0.446","23","91","0.253","0.5","2","13.8","So","6-5","24","0.087631","86.1342","2.2","2020","65584","all","UTEP","1.97724390587572","18","35","19","48","0.514285714285714","0.395833333333333","0","0","0","0","0","94.7941","3.59579","0","2.88263","0.383097","2.49953","0.522186","31.8387","-1.85904","2.38123","0.6129","3.3871","4","2.8065","1.0968","0.1613","5.2258","","5.2945"
"26","Greg Lee","Cal St. Bakersfield","WAC","27","43.3","94.5","21.8","47.3","49.8","6.9","19.7","6.7","21.3","23","31","0.742","55","117","0.47","16","50","0.32","2.5","2.1","18.6","Jr","6-9","21","0.521935","93.7184","4.7","2020","45254","all","Western Michigan","0.425035625890647","20","32","35","85","0.625","0.411764705882353","4","4","1","0","0","101.745","1.56452","0","-2.98373","-2.94964","-0.0340903","-1.67157","18.0333","-1.74395","0.0723808","1.0667","2.8667","3.9333","0.5667","0.6667","0.3667","6.7333","","6.22416"
"27","Charles O'Bannon Jr.","USC","P12","3","1.5","52.8","25.5","0","16.81","24.3","0","8.5","35.4","2","2","1","0","5","0","0","0","0","0","6","40","So","6-6","5","-0.689987","53.9447","6.3","2020","51497","all","TCU","0.3333","0","3","0","2","0","0","0","0","0","0","0","95.2321","0.705647","0","-5.29021","-8.12187","2.83166","-8.00265","6.3333","-8.39867","0.396016","1.3333","0","1.3333","0.3333","0.6667","0","0.6667","","0"
"28","Donald Carey","Siena","MAAC","30","77.6","99.3","20.6","50.7","54.45","2.1","10.1","14.7","23.2","56","68","0.824","59","135","0.437","55","144","0.382","0.2","2","24.4","So","6-5","0","1.4044","98.3777","2.2","2020","51327","all","Georgetown","0.934235976789168","34","71","25","64","0.47887323943662","0.390625","0","0","0","0","0","106.321","2.26448","0","-0.425141","0.634167","-1.05931","-0.953676","31.4333","-0.202869","-0.750808","0.5333","2.7333","3.2667","2.3667","1.0667","0.0667","11.3","","9.05526"
"29","Nigel Shadd","Kansas St.","B12","3","0.5","58.7","21.6","0","0","49.3","89.1","0","0","0","1","0","0","2","0","0","0","0","0","0","50","So","6-9","45","-0.155632","66.1193","0","2020","51094","all","Pacific","0","0","2","0","0","0","0","0","0","0","0","0","67.0423","0.488219","0","-31.1459","-16.608","-14.5378","-4.0099","2.3333","4.47599","-8.48589","1","1.6667","2.6667","0","0","0","0","","0"
"30","Ryan Betley","Penn","Ivy","21","62.6","102.8","17.5","53","54.87","1.6","18.7","7.6","13.3","23","30","0.767","38","71","0.535","45","128","0.352","0.8","1.9","15.1","Sr","6-5","0","1.48889","99.2007","2.2","2020","47195","all","California","1.03699177055325","34","59","5","13","0.576271186440678","0.384615384615385","0","0","0","0","0","97.6775","3.18664","0","0.933369","0.344977","0.588392","0.927075","30.4091","0.414547","0.512528","0.4091","5.3636","5.7727","1.2727","1.0455","0.3182","11.5455","","11.032"
"31","Jaden Sayles","Akron","MAC","24","10.7","108.5","17.5","46.7","53.16","8.3","18.3","1.6","10.5","14","20","0.7","14","30","0.467","0","0","0","4.9","0.5","66.7","Jr","6-9","23","0.361502","105.505","2.9","2020","50518","all","Stony Brook","0.200208008320333","12","24","2","6","0.5","0.333333333333333","9","9","1","0","0","95.0953","0.578112","0","-2.89808","-2.93889","0.0408051","1.00351","5.5","0.436179","0.56733","0.4231","1.1154","1.5385","0.0385","0.0385","0.2692","2.2308","","0"
