,player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,year,pid,hometown,new school, ast/tov, rimmade, rimmade+rimmiss, midmade, midmade+midmiss, rimmade/(rimmade+rimmiss), midmade/(midmade+midmiss), dunksmade, dunksmiss+dunksmade, dunksmade/(dunksmade+dunksmiss), dporpag, stops, bpm, obpm, dbpm
187,Jalen Gibbs,Mount St. Mary's,NEC,4,15.2,118.7,22.1,54.4,60.03,2.5,12.9,11.5,12.1,17,21,0.81,8,19,0.421,0,2.2,46.7,Sr,3-Jun,2,4.40144,2021,50303,"Indian Head, MD",Jacksonville St.,1.166666667,7,14,1,5,0.5,0.2,1,1,1,3.71868,0,5.10908,4.46624,0.642841
188,Chris Efretuei,Louisiana Monroe,SB,25,42.8,91.9,16.9,55.8,54.72,8.3,14.4,6.7,25.1,12,27,0.444,53,95,0.558,8,1.9,28.4,Sr,1-Jul,0,0.0716112,2021,70879,"Abuja, Nigeria",Maine,0.4375,31,46,22,49,0.673913043,0.448979592,7,8,0.875,1.53709,0,-2.76688,-4.20594,1.43906
189,Parker Stewart,Tennessee Martin,OVC,23,77.4,104,28.5,49.4,53.69,2.7,13,21.2,18.2,91,119,0.765,80,168,0.476,1.2,1.2,33.4,So,5-Jun,1,3.52995,2020,50250,"Union City, TN",Indiana,1.146341463,46,79,34,89,0.582278481,0.382022472,0,0,0,0.704442,0,-1.8783,2.92958,-4.80788
190,Timmy Allen,Utah,P12,25,86.9,101.5,29.1,48,53.64,4.3,17.9,23.5,17.9,110,143,0.769,143,291,0.491,0.8,2.2,43.1,Jr,6-Jun,1,4.06834,2021,66708,"Mesa, AZ",Texas,1.256410256,102,171,41,119,0.596491228,0.344537815,5,5,1,3.90785,0,4.35007,3.34101,1.00907
191,Efe Odigie,UTEP,CUSA,10,13.7,104.6,25,57.1,57.77,6.8,20.3,4.8,14.2,5,8,0.625,28,49,0.571,2.8,1,16.3,Jr,9-Jun,32,1.16971,2021,65504,"Houston, TX",Troy,0.2308,17,23,11,25,0.739130435,0.44,0,0,0,1.12417,0,3.4106,2.69988,0.710721
192,Josh Endicott,North Florida,ASun,15,42.7,105.9,19.4,57.7,58,9.7,17.7,7.8,19.4,15,26,0.577,43,81,0.531,1,0.7,26.5,Jr,8-Jun,4,1.59198,2021,70867,"Baxter, TN",Tennessee Martin,0.592620577,28,43,15,38,0.651162791,0.394736842,1,3,0.333333333,1.30363,0,-2.56631,0.235281,-2.8016
193,David Green,Hofstra,CAA,18,21.2,78.4,18.3,40.3,41.79,1.7,15.8,2.8,19.3,5,8,0.625,7,20,0.35,0,1.8,12.9,Fr,7-Jun,4,-0.33591,2021,72740,"Apopka, FL",Louisiana Tech,0.250037498,4,7,3,13,0.571428571,0.230769231,0,0,0,0.756912,0,-6.74302,-4.88209,-1.86092
194,Fatts Russell,Rhode Island,A10,23,74.9,100.2,26.5,38,47.81,1.3,13.4,27,15.1,127,159,0.799,70,177,0.395,0.4,3.3,57,Sr,11-May,1,2.99159,2021,50422,"Philadelphia, PA",Maryland,1.907445268,56,111,14,66,0.504504505,0.212121212,0,1,0,3.68824,0,2.91077,1.44579,1.46498
195,Jordan Brooks,Iona,MAAC,2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fr,4-Jun,12,-0.640129,2021,73598,"Grayson, KY",Kansas St.,0,NA,NA,NA,NA,0,0,NA,NA,0,0.120264,0,-4.76402,-2.7741,-1.98992
196,Logan Curtis,East Carolina,Amer,21,11.7,82.5,15.4,40.2,38.89,3.1,7,9.4,12.7,0,3,0,3,12,0.25,0.8,1.9,7.3,Fr,3-Jun,5,-0.201084,2020,71624,"Baltimore, MD",Delaware,1.399832003,3,8,0,4,0.375,0,0,0,0,0.515841,0,-5.67617,-4.09165,-1.58452
197,Tai'Reon Joseph,Austin Peay,OVC,25,43.3,94.7,19,46.5,47.72,2.1,6,9.9,19.6,13,21,0.619,26,61,0.426,0,1.9,14.7,Fr,1-Jun,2,0.336245,2021,73288,"Baton Rouge, LA",Radford,0.966699667,16,25,10,36,0.64,0.277777778,0,0,0,0.956916,0,-3.35285,-1.56636,-1.78649
198,Bayron Matos,New Mexico,MWC,18,41.5,93.2,17.4,51.9,49.28,10.7,12.3,2.7,16.9,16,43,0.372,41,79,0.519,2.6,0.7,54.4,Fr,9-Jun,1,0.234222,2021,73353,"Santo Domingo, Dominican Republic",South Florida,0.285714286,32,52,9,27,0.615384615,0.333333333,6,8,0.75,1.26523,0,-3.60754,-2.0895,-1.51804
199,Andre Jones,Nicholls St.,Slnd,21,58.7,95.7,24,48.5,52.11,2,18.3,21.9,23.3,44,60,0.733,82,151,0.543,1.5,2.1,30.5,Sr,4-Jun,13,0.961346,2021,46583,"Little Rock, AR",Louisiana Monroe,1.166648334,70,115,12,36,0.608695652,0.333333333,17,18,0.944444444,2.30329,0,-1.56226,-1.23216,-0.330104
200,Assane Diouf,Fresno St.,MWC,5,1.2,0,12.9,0,0,0,11.4,0,42.6,0,0,0,0,2,0,0,0,0,So,2-Jul,21,-0.661025,2021,66547,"Dakar, Senegal",Austin Peay,0,0,0,0,2,0,0,0,0,0,0.159961,0,-21.2863,-17.4269,-3.8594
201,Tye Fagan,Georgia,SEC,25,54.8,110.7,18.5,61.7,61.43,7.7,13.5,9.6,19.6,20,36,0.556,93,139,0.669,1.5,1.2,20.6,Jr,3-Jun,14,2.19977,2021,66095,"Logtown, GA",Mississippi,0.724991875,70,89,27,56,0.786516854,0.482142857,4,4,1,1.95235,0,3.50859,3.53062,-0.0220284
202,Marcellus Earlington,St. John's,BE,27,41.7,101.2,19.5,50.6,51.32,5.3,21.7,7.1,13.4,16,28,0.571,43,98,0.439,1.9,2,17,Jr,6-Jun,10,1.16334,2021,65507,"Stony Point, NY",San Diego,0.818237604,25,53,18,45,0.471698113,0.4,0,0,0,1.79612,0,1.5507,1.2746,0.276099
203,Ben Coupet Jr.,Little Rock,SB,25,80.6,111.3,16.3,55.4,58.23,4,9.6,12.5,17.2,48,67,0.716,43,80,0.537,1,2,34.5,Sr,7-Jun,0,2.11598,2021,45818,"Chicago, IL",Southern Illinois,1.282066667,26,43,17,37,0.604651163,0.459459459,4,5,0.8,2.3018,0,0.763727,1.21706,-0.453334
204,Diego Willis,NJIT,AE,19,53.4,102.8,16.2,41,47.67,4.5,14,8.9,8.8,31,39,0.795,17,36,0.472,0,1.7,39,Jr,4-Jun,5,0.773674,2021,66201,"Hermosillo, Mexico",Stephen F. Austin,1.800114003,7,12,10,24,0.583333333,0.416666667,0,0,0,1.41127,0,-2.28918,-0.67784,-1.61134
205,Jamison Battle,George Washington,A10,15,80,104.6,22,56.1,58.78,1.3,14.4,4.3,15.8,37,47,0.787,60,102,0.588,0.8,1.4,23.7,So,7-Jun,10,2.94558,2021,70284,"Robbinsdale, MN",Minnesota,0.303045455,40,53,20,49,0.754716981,0.408163265,8,9,0.888888889,2.2029,0,0.339282,2.22221,-1.88293
206,Damaria Franklin,Tennessee Tech,OVC,21,55.7,91.5,25.2,50.4,52.07,3.5,17.2,9.7,20,30,44,0.682,72,132,0.545,0.5,2.6,17.8,Jr,4-Jun,0,1.08493,2021,73635,"Chicago, IL",Illinois Chicago,0.471709327,57,90,15,42,0.633333333,0.357142857,8,9,0.888888889,1.90724,0,-3.26324,-1.27589,-1.98735
207,Pavel Zakharov,Gonzaga,WCC,10,2.2,84.7,20.1,38.9,40.2,13.9,3.9,0,19.1,1,2,0.5,2,7,0.286,0,0,22.2,So,Jul-00,10,0.0166702,2021,70691,"St.Petersburg, Russia",Cal Baptist,0,0,0,2,7,0,0.285714286,0,0,0,0.254675,0,-9.23056,-5.07716,-4.1534
208,Trevor Anderson,Wisconsin,B10,29,33,123.1,11.7,63.7,64.49,2.2,9.5,16.3,16.5,12,18,0.667,20,38,0.526,0,0.9,29,Sr,3-Jun,12,1.47766,2021,46178,"Stevens Point, WI",Valparaiso,2.769127816,13,20,7,18,0.65,0.388888889,0,0,0,1.53386,0,2.79751,1.39477,1.40274
209,Tyson Jackson,Middle Tennessee,CUSA,19,27.4,83.2,15,59.5,59.16,3.6,16.2,4.6,35,7,13,0.538,25,42,0.595,1.8,0.7,31,So,9-Jun,4,-0.325155,2021,71577,"Fairburn, GA",New Orleans,0.217391304,22,29,2,11,0.75862069,0.181818182,5,5,1,0.924155,0,-6.11039,-6.02775,-0.0826429
210,Keith Fisher III,Illinois St.,MVC,29,59.3,92.3,24.8,47.6,50.22,11,18.3,7.9,20.9,54,88,0.614,97,208,0.466,1.3,1.5,37.9,Jr,8-Jun,5,1.15604,2020,45815,"Los Angeles, CA",Pepperdine,0.384594083,68,113,29,95,0.601769912,0.305263158,8,9,0.888888889,2.28912,0,-3.14917,-2.34037,-0.808799
211,Nevin Zink,USC Upstate,BSth,22,65.3,106.6,18.4,61.2,63.7,9.6,15.9,4.6,23.1,56,83,0.675,71,116,0.612,2.9,1.3,71.6,Jr,9-Jun,35,1.56064,2021,65972,"Newtown, CT",Boston University,0.279043646,66,102,5,14,0.647058824,0.357142857,14,14,1,1.56789,0,-2.04895,-0.915851,-1.1331
212,Quinten Post,Mississippi St.,SEC,31,20.1,91.2,20.8,47.6,48.51,10.2,16.7,8.8,25.2,8,14,0.571,24,42,0.571,6.5,1.8,17.1,So,Jul-00,32,0.343931,2021,71576,"Amsterdam, Netherlands",Boston College,0.5,17,27,7,15,0.62962963,0.466666667,3,4,0.75,1.0305,0,0.671578,-1.67563,2.34721
213,Alec Oglesby,Cleveland St.,Horz,27,39.1,109.1,13,53.2,56.26,1.4,7.7,5.9,14.8,17,21,0.81,11,34,0.324,0.3,1.4,22.3,Fr,5-Jun,0,0.480009,2021,72343,"Lawrenceville, GA",UNC Wilmington,1,5,15,6,19,0.333333333,0.315789474,0,0,0,1.17581,0,-1.53288,-1.27452,-0.258356
214,Kamaka Hepa,Texas,B12,9,5.3,121.1,16.5,72.2,70.37,4,12.8,3.5,18,0,1,0,1,2,0.5,3.6,1,5.6,Jr,9-Jun,33,0.764163,2021,66070,"Utqiagvik, AK",Hawaii,0.333333333,0,1,1,1,0,1,0,0,0,0.660758,0,5.97359,5.24958,0.724006
215,Floyd Rideau Jr.,South Carolina St.,MEAC,18,50.7,97.9,19.1,51.3,52.04,3.8,11.3,10.9,16.7,15,27,0.556,24,60,0.4,2.7,1.7,23.7,Fr,5-Jun,NA,0.657493,2021,74024,"Lake Wales, FL",USC Upstate,0.809462587,7,21,17,39,0.333333333,0.435897436,2,2,1,0.85927,0,-1.58726,0.169214,-1.75648
216,Joseph Lanzi,Denver,Sum,18,24.6,76.6,17.7,43,46.65,1.2,13.6,10.8,28.5,11,13,0.846,14,34,0.412,0,1.1,18.3,So,5-Jun,10,-0.707836,2020,66573,"Birmingham, AL",College of Charleston,0.607111352,8,16,6,18,0.5,0.333333333,0,0,0,1.05938,0,-7.78298,-6.18019,-1.60279
217,Mark Freeman,Tennessee St.,OVC,20,79.7,94.9,28.7,44.4,50.85,1.4,12.3,29,20.3,90,110,0.818,83,183,0.454,0.2,3,38.6,So,10-May,0,2.05477,2021,71272,"Memphis, TN",Illinois St.,1.230756805,35,80,48,103,0.4375,0.466019417,0,0,0,2.96661,0,0.0214769,0.589416,-0.56794
218,Chris Austin,Fordham,A10,14,88.2,96.8,17.7,49.6,53.84,0.7,7.1,6.3,12.8,30,37,0.811,29,56,0.518,0.9,1.4,28.2,So,4-Jun,5,1.22022,2021,66400,"Pasadena, CA",Portland,0.61110679,21,34,8,22,0.617647059,0.363636364,1,1,1,2.60808,0,-0.831756,-0.601295,-0.23046
219,Jordan Davis,Middle Tennessee,CUSA,22,83.5,85.1,21.2,41.7,45,1.9,10.6,14.9,19.9,36,48,0.75,59,134,0.44,0.4,2.2,20.4,Jr,3-Jun,0,0.258134,2021,50275,"Irmo, SC",Jacksonville,0.888917284,41,76,18,58,0.539473684,0.310344828,3,3,1,2.5635,0,-3.10303,-2.31972,-0.783314
220,Leon Ayers III,Mercer,SC,26,59.2,105.2,25.2,57,58.98,4.5,12.6,15,19.4,43,60,0.717,91,165,0.552,1.2,2.9,25.4,Jr,6-Jun,0,2.1155,2021,73681,"Troy, MI",Duquesne,0.964945307,52,80,39,85,0.65,0.458823529,2,3,0.666666667,2.15133,0,3.10899,2.79675,0.312247
221,Jabri Abdur-Rahim,Virginia,ACC,8,3.7,72.7,18.2,25,31.96,0,6.7,9.5,9.8,2,2,1,1,3,0.333,3.3,1.8,20,Fr,7-Jun,1,-0.195126,2021,73234,"South Orange, NJ",Georgia,2,0,0,1,3,0,0.333333333,0,0,0,0.493751,0,-9.14364,-8.54697,-0.596672
222,Walker Kessler,North Carolina,ACC,29,21.9,114.7,22.8,58.3,58,18.4,21,7.3,15.3,22,41,0.537,51,86,0.593,10.7,3.3,45.6,Fr,1-Jul,13,1.18828,2021,72687,"Newnan, GA",Auburn,0.562443357,40,61,11,25,0.655737705,0.44,18,19,0.947368421,1.37606,0,10.0045,5.27109,4.73336
223,Justus Rainwater,Florida Gulf Coast,ASun,15,16.6,94.8,13.9,66.7,60.76,12.7,17.1,0,30.3,4,10,0.4,10,15,0.667,7,1.6,66.7,Sr,8-Jun,32,-0.0427704,2021,71091,"Enumclaw, WA",Northern Arizona,0,9,14,1,1,0.642857143,1,6,8,0.75,0.701781,0,-5.49248,-6.9578,1.46531
224,Abdoul Karim Coulibaly,Pittsburgh,ACC,22,56.1,112.1,12.2,52.2,54.93,7.3,12.3,7.2,15.4,20,29,0.69,44,84,0.524,4.6,1.8,32.2,So,8-Jun,12,1.37854,2021,70736,"Bamako, Mali",St. Bonaventure,1.187405472,38,69,6,15,0.550724638,0.4,4,4,1,2.35801,0,1.34638,-0.806341,2.15272
225,Mamadou Doucoure,Rutgers,B10,11,5.4,118.8,11.9,50,50.36,11.1,14.6,0,0,2,4,0.5,6,12,0.5,0,2.9,33.3,Jr,9-Jun,11,0.455568,2021,52230,"Bamako, Mali",La Salle,0,5,8,1,4,0.625,0.25,3,3,1,0.745104,0,-0.560961,-2.10478,1.54381
226,Cameron Holden,Tennessee Martin,OVC,20,59.5,104.7,30.8,44.2,50.65,15.6,20.9,19.3,13.7,91,129,0.705,85,186,0.457,1.6,3.7,57.1,Jr,5-Jun,15,2.96458,2021,72707,"Forsythe, GA",Towson,1.0487605,61,97,24,89,0.628865979,0.269662921,7,7,1,1.91653,0,3.17339,4.62137,-1.44798
227,Dyson Koehler,Cal Poly,BW,17,27.6,78.1,16.9,31.4,40.06,9.3,22.1,3.4,22,18,24,0.75,10,23,0.435,0.4,0.9,47.1,Fr,7-Jun,4,-0.549155,2021,73498,"Salt Lake City, UT",Weber St.,0.2778,8,18,2,5,0.444444444,0.4,0,0,0,1.11921,0,-7.5309,-5.1082,-2.4227
228,Jalen Johnson,Wake Forest,ACC,20,37.2,101.6,17.2,47.7,50.49,4.8,14.7,7.5,13.2,13,17,0.765,13,29,0.448,3.7,1.7,19.5,Sr,6-Jun,2,0.862602,2021,49189,"Durham, NC",Mercer,1,7,15,6,13,0.466666667,0.461538462,1,2,0.5,1.47629,0,1.77537,1.35776,0.417607
229,Josh Roberts,St. John's,BE,25,24.2,136.6,10.9,64.4,65.96,12.8,14.6,5.6,11.3,7,9,0.778,29,45,0.644,7.6,1.8,20,Jr,9-Jun,1,1.4351,2021,66656,"Troy, AL",Manhattan,1.5,25,37,4,8,0.675675676,0.5,9,10,0.9,1.12763,0,3.88373,1.98414,1.89959
230,Hayden Curtiss,Portland,WCC,18,29.5,85.6,13.6,44.3,44.23,8.5,17.8,8.6,22.7,5,12,0.417,14,30,0.467,11,2.3,34.3,Fr,9-Jun,15,-0.206561,2021,72416,"North Bend, WA",Portland St.,0.83339167,11,20,3,10,0.55,0.3,5,5,1,0.918296,0,-0.606166,-1.95177,1.3456
231,Kameron Gibson,Western Carolina,SC,16,30,104.5,15.3,53.5,54.62,1.9,9.9,8,12.9,6,8,0.75,11,27,0.407,0.4,0.7,9.4,Jr,3-Jun,14,0.716023,2021,66280,"Cincinnati, OH",Vermont,1.181818182,5,12,6,15,0.416666667,0.4,0,0,0,1.16089,0,-2.09532,0.0110093,-2.10633
232,Josh Carlton,Connecticut,BE,19,23.1,99.6,20.5,48.2,50.41,15.5,21.5,6.2,22,13,22,0.591,27,56,0.482,4.2,2,39.3,Sr,11-Jun,25,0.823314,2021,52282,"Winterville, NC",Houston,0.437477734,26,46,1,10,0.565217391,0.1,6,7,0.857142857,1.49429,0,0.108409,-2.07407,2.18248
233,Isaiah Wilkins,Wake Forest,ACC,16,18.5,106.1,12.2,44.6,47,3,16.4,16.6,12.5,4,6,0.667,5,13,0.385,0.7,4.6,21.4,Jr,4-Jun,23,0.417125,2021,65716,"Winston-Salem, NC",Longwood,1.856969403,3,6,2,7,0.5,0.285714286,0,0,0,1.05386,0,3.32054,-0.809271,4.12981
234,T.J. Berger,Georgetown,BE,15,6.6,108.7,15.4,66.7,63.93,0,10.6,19.7,26.8,1,3,0.333,1,2,0.5,1.6,2.5,20,Fr,4-Jun,20,0.353862,2021,72411,"Malvern, PA",San Diego,1.400240024,1,2,0,0,0.5,0,0,0,0,0.522984,0,1.61978,-0.209047,1.82883
235,Terrell Brown,Pittsburgh,ACC,21,26.4,88.1,16.3,43.5,47.34,12.2,14.9,1.6,26.1,13,21,0.619,20,46,0.435,9.2,0.8,45.7,Sr,10-Jun,21,0.0467627,2021,50259,"Providence, RI",San Diego,0.117603459,18,34,2,12,0.529411765,0.166666667,9,10,0.9,1.20686,0,-2.79696,-4.06267,1.26572
236,Franklin Agunanne,Loyola Chicago,MVC,22,11.4,102.3,18.1,61.1,60.64,8.6,25.4,0,18.7,6,11,0.545,22,36,0.611,0.9,0.9,30.6,So,9-Jun,33,0.359607,2020,66468,"Abuja, Nigeria",SMU,0,17,27,5,9,0.62962963,0.555555556,7,8,0.875,0.751797,0,-3.40314,-2.54897,-0.854167
237,Jacob Groves,Eastern Washington,BSky,23,54.7,111.8,19.1,59.7,61.94,5.5,15.6,8.3,16.9,28,36,0.778,67,109,0.615,0.6,1.2,24,So,7-Jun,33,1.7867,2021,71631,"Spokane, WA",Oklahoma,0.758669205,47,68,20,41,0.691176471,0.487804878,7,7,1,1.93513,0,1.34129,1.04227,0.299018
238,Demarius Jacobs,Saint Louis,A10,20,35,124.3,13.7,58.9,63.47,2,9.8,8,13,25,32,0.781,20,29,0.69,1.7,1.6,51.6,Jr,2-Jun,15,1.52391,2021,66023,"Chicago, IL",Ball St.,1.555555556,17,24,3,5,0.708333333,0.6,2,2,1,1.50521,0,3.13641,1.83389,1.30252
239,C.J. Keyser,North Carolina Central,MEAC,13,78.9,97.4,27,49.2,52.06,2.5,11,13.1,15.5,36,52,0.692,63,127,0.496,1.6,1.4,29.4,Sr,3-Jun,22,2.11414,2021,46793,"Baltimore, MD",Old Dominion,0.636375207,40,66,23,61,0.606060606,0.37704918,4,4,1,1.3804,0,-1.33893,1.18615,-2.52507
240,Dom Martinelli,Northwestern,B10,3,0.5,258.2,13.8,0,105.26,23.7,23.1,32.5,0,2,2,1,0,0,0,0,0,0,Fr,4-Jun,50,0.802069,2021,72796,"Glenview, IL",St. Thomas,0,0,0,0,0,0,0,0,0,0,0.096335,0,15.3033,11.5499,3.7534
241,Damien Sears,Nicholls St.,Slnd,22,25.5,114.2,13.6,71.8,68.71,11.5,19.6,5.4,25.7,10,19,0.526,28,38,0.737,2.1,2.4,48.7,Sr,7-Jun,4,0.558797,2021,45925,"Haughton, LA",Southern,0.49992813,20,26,8,12,0.769230769,0.666666667,1,1,1,1.04069,0,-1.92332,-2.2737,0.350376
242,Amari McCray,Portland St.,BSky,9,20.6,94.1,27.9,47.4,52.99,10.9,19.1,1.8,21.9,20,27,0.741,27,56,0.482,8,2.7,47.4,Sr,10-Jun,1,1.00216,2021,67810,"Ruston, LA",Grambling St.,0.181803306,19,36,8,20,0.527777778,0.4,4,6,0.666666667,2.05743,0,-2.13636,-4.59297,2.45661
243,Kendall Lewis,Appalachian St.,SB,5,12.1,73.6,30.9,36.9,44.01,5.4,12.6,10.8,29.9,16,24,0.667,11,25,0.44,1.8,2,57.1,So,7-Jun,2,-0.235893,2021,70446,"Snellville, GA",Illinois St.,0.681844215,8,19,3,6,0.421052632,0.5,2,4,0.5,2.03597,0,-7.37947,-5.63693,-1.74254
244,Chris Knight,Dartmouth,Ivy,28,64.3,99.4,33.4,55.2,56.2,8.5,20.1,21.8,18.9,57,94,0.606,180,314,0.573,5.9,2,28.6,Jr,7-Jun,23,2.63946,2020,50324,"Madison, WI",Loyola Chicago,0.723699775,117,201,50,95,0.582089552,0.526315789,10,11,0.909090909,3.0235,0,5.67602,3.33334,2.34268
245,Damiree Burns,Southern,SWAC,6,16,88.1,26.4,45.1,48.97,8.6,19.4,9.7,22,10,13,0.769,23,50,0.46,2.5,1.3,25.5,So,7-Jun,55,0.668571,2021,70817,"New Orleans, LA",Murray St.,0.384594083,17,26,6,24,0.653846154,0.25,2,2,1,2.07742,0,-2.27367,-1.57638,-0.697294
246,Jalen Cone,Virginia Tech,ACC,15,33.4,103.5,22.8,50.4,52.2,0.8,5.7,9.9,10.6,11,13,0.846,8,20,0.4,0.4,1.2,10.3,So,10-May,15,1.70164,2021,70542,"Walkertown, NC",Northern Arizona,1.166625,3,6,5,14,0.5,0.357142857,0,0,0,1.95203,0,2.33887,3.16752,-0.828654
247,Zach Nutall,Sam Houston St.,Slnd,24,76.9,96.5,30.8,51,53.56,3.5,17,10.9,19.3,67,93,0.72,101,214,0.472,1.2,1.7,23.9,Jr,3-Jun,10,2.30936,2021,66530,"Bryan, TX",SMU,0.569772742,71,121,30,93,0.58677686,0.322580645,11,14,0.785714286,2.69717,0,0.930349,2.41499,-1.48464
248,Anthony Roberts,St. Bonaventure,A10,3,7.6,76.6,25.8,28.3,32.13,9.1,5.3,22.7,22.2,3,4,0.75,5,17,0.294,2,1.9,17.4,Jr,4-Jun,4,-0.176112,2021,66302,"Detroit, MI",Stony Brook,1.33335,3,7,2,10,0.428571429,0.2,0,0,0,2.36215,0,-4.53292,-3.86113,-0.671794
249,Kristian Sjolund,UTEP,CUSA,20,34.2,139.1,11.8,72.7,73.07,2.3,16.3,5,8.6,4,5,0.8,6,12,0.5,2.6,0.2,7.8,So,8-Jun,12,2.03829,2021,66277,"Kongsberg, Norway",Portland,1.333077808,6,7,0,5,0.857142857,0,2,2,1,1.23354,0,5.11327,4.30806,0.805213
250,Miroslav Stafl,Hartford,AE,19,52.5,97.8,23.4,56.1,56.46,8.9,15,10.6,22.8,29,52,0.558,71,123,0.577,3.3,1.1,35.1,So,10-Jun,12,1.30525,2021,70258,"Liberec, ",Central Michigan,0.511104543,52,80,19,43,0.65,0.441860465,4,4,1,2.4609,0,-1.64895,-1.58634,-0.0626052
251,Parker Braun,Missouri,SEC,20,17.6,130.4,12.4,66.7,66.19,6.3,12,7.2,9.9,11,18,0.611,16,23,0.696,7.8,0.3,54.5,So,8-Jun,42,1.21479,2021,66066,"Overland Park, KS",Santa Clara,1.75,13,20,3,3,0.65,1,3,3,1,0.973876,0,7.46022,4.91371,2.54651
252,Naz Bohannon,Youngstown St.,Horz,23,82.1,108.2,27.4,52.6,54.27,9.3,19.2,22.8,16.7,63,103,0.612,158,297,0.532,0.1,1.2,34,Sr,6-Jun,33,3.14917,2021,51474,"Lorain, OH",Clemson,1.215384615,109,184,49,113,0.592391304,0.433628319,0,0,0,2.04138,0,1.54251,2.86132,-1.31881
253,Juan Munoz,Longwood,BSth,28,81.7,100.7,23.1,49.5,53.6,0.6,11.4,18.7,19.6,67,83,0.807,43,118,0.364,0,2.2,27.5,Jr,Jun-00,55,1.84774,2021,65970,"Morrisville, NC",Hawaii,1.180521991,27,61,16,57,0.442622951,0.280701754,0,0,0,2.39764,0,0.0306387,0.839267,-0.808628
254,Mikal Starks,Georgia,SEC,17,8.6,74.3,7.1,12.5,12.5,3.8,10.3,16.9,26,0,0,0,1,8,0.125,0,3.1,0,Jr,Jun-00,23,-0.396919,2021,72553,"Miami, FL",Portland St.,3.99940012,1,4,0,4,0.25,0,0,0,0,0.485442,0,-1.6071,-4.39868,2.79158
255,Jordan Shepherd,Charlotte,CUSA,24,83.2,95.8,22.2,48.3,53.78,0.8,12.1,19.7,20.6,76,104,0.731,82,162,0.506,1.3,2.2,49.5,Sr,4-Jun,13,1.51247,2021,48004,"Asheville, NC",California,1.142857143,50,89,32,73,0.561797753,0.438356164,7,8,0.875,2.88347,0,-0.896052,-1.13609,0.24004
256,Ben Callahan-Gold,Tulane,Amer,4,0.5,47.4,20,0,20.2,0,0,0,0,3,3,1,0,0,0,0,0,50,Fr,7-Jun,32,-0.154441,2021,74140,"New York, NY",Bryant,0,0,0,0,0,0,0,0,0,0,0.0852127,0,-28.8532,-14.0306,-14.8226
257,Terence Lewis II,North Texas,CUSA,22,18.5,118.6,20.7,60.6,64.36,9.9,21.2,10.5,17.9,18,23,0.783,27,44,0.614,1.2,4,44.2,Jr,7-Jun,34,1.13549,2021,72927,"Upper Marlboro, MD",Jackson St.,1,21,27,6,17,0.777777778,0.352941176,2,2,1,1.24299,0,7.15022,3.86045,3.28977
258,Tyreek Scott-Grayson,UAB,CUSA,27,64.4,108.3,19.1,50,54.76,2.2,10.8,12.9,15,50,59,0.847,55,113,0.487,2,2.8,29.1,Sr,5-Jun,0,1.92055,2021,67641,"Brick, NJ",Northeastern,1.315805541,37,57,18,56,0.649122807,0.321428571,5,5,1,3.10402,0,3.88791,1.45512,2.43279
259,Trey Anderson,South Carolina,SEC,13,11.2,136.9,12.9,65.2,63.83,9.5,7.7,8.1,4.4,3,6,0.5,12,15,0.8,0,1.1,26.1,So,6-Jun,2,1.1386,2021,70809,"San Diego, CA",San Jose St.,4.00130039,6,7,5,7,0.857142857,0.714285714,0,0,0,0.530422,0,4.20835,4.08336,0.124993
260,Donovan Williams,Texas,B12,15,14.2,77.1,23.3,33.9,39.4,6,6.2,4.9,22.3,11,13,0.846,13,33,0.394,2,1.9,23.2,So,6-Jun,10,0.000541595,2021,71906,"Houston, TX",UNLV,0.285760206,5,14,5,14,0.357142857,0.357142857,1,2,0.5,1.03245,0,-5.19123,-4.66827,-0.522966
261,Brandon Horvath,UMBC,AE,19,80.8,105.3,21.8,52,54.75,8.6,20.1,12.5,17.3,42,60,0.7,76,138,0.551,1.3,1.1,30.3,Sr,10-Jun,12,2.44612,2021,50719,"West River, MD",Utah St.,0.880977154,63,109,13,29,0.577981651,0.448275862,8,9,0.888888889,3.48045,0,2.11394,1.7373,0.376646
262,Tyler Robertson,Eastern Washington,BSky,22,61,118.2,21.2,56.4,61.15,3.6,11.7,21.1,15.1,51,60,0.85,47,83,0.566,0,1.4,35.1,So,6-Jun,15,2.87304,2021,71886,"Melbourne, Australia",Portland,2.187522461,21,42,26,41,0.5,0.634146341,0,0,0,2.10976,0,4.02392,3.84139,0.182528
263,Dontrell McQuarter,Rider,MAAC,18,58.3,84.8,21.7,38.1,42.09,6.5,14.2,10.2,17.5,31,43,0.721,64,161,0.398,1.3,1.6,25,Jr,7-Jun,14,0.0966501,2021,73132,"Baton Rouge, LA",Alcorn St.,0.771446204,33,70,31,91,0.471428571,0.340659341,1,1,1,1.49424,0,-5.7079,-3.1205,-2.5874
264,Daniel Lobach,Rutgers,B10,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fr,7-Jun,2,-0.160578,2021,71482,"Durham, NC",Samford,0,NA,NA,NA,NA,0,0,NA,NA,0,0.0299369,0,-6.15894,-3.81732,-2.34162
