"","player_name","team","conf","Min_per","ORtg","usg","eFG","ORB_per","DRB_per","AST_per","TO_per","blk_per","stl_per","ftr","yr","ht","new.school","dbpm","X","School","Conference","GP","Min.","ORTG","USG","EFG","OR.","DR.","AST.","TOV.","BLK.","STL.","FTR","Year","Height","DBPM"
"1","Aanen Moody","North Dakota","Sum",8.4,87.4,20.9,51.5,1.2,11.4,8.2,24.1,0,1.7,8.8,"So","3-Jun","Southern Utah",-1.98696,1311,"Southern Utah","BSky",16,27.8,121.3,13.8,57.3,0.5,9.7,7,5.8,1,1.9,6.5,"Jr","3-Jun",-0.606776
"2","Aaron Cook","Southern Illinois","MVC",13.2,105.3,26.3,59.8,0.8,7.5,27.2,17.4,0.7,6.8,39.3,"Sr","2-Jun","Gonzaga",6.27167,287,"Gonzaga","WCC",30,31.4,106,17.5,57.8,2.2,11.2,17.3,25.7,1,3.5,38.9,"Sr","1-Jun",3.75484
"3","Abayomi Iyiola","Stetson","ASun",58.2,104.8,24.1,48.3,12.1,24.3,4.4,11.7,6.2,2.3,31.3,"So","9-Jun","Arkansas",-0.858059,505,"Arkansas","SEC",1,0.1,0,0,0,0,106.3,0,0,0,0,0,"Jr","9-Jun",5.47008
"4","Abdul Mohamed","North Texas","CUSA",4.5,94.6,13.8,44.4,8,14.6,3.4,17.4,4.8,2.4,44.4,"Jr","7-Jun","Montana St.",0.367588,1798,"Montana St.","BSky",21,54.6,102.9,18.1,53.4,6.4,26.4,10,21.3,1.2,1.7,49,"Sr","7-Jun",0.524426
"5","Adam Flagler","Presbyterian","BSth",79.8,112,22.7,55.2,2.7,10.3,8.1,10.2,0.9,1.5,19.3,"Fr","3-Jun","Baylor",-1.9266,1580,"Baylor","B12",28,53.4,130.2,16.4,57.8,4.6,7.3,9.9,11.5,0.2,2.2,25.4,"So","3-Jun",1.89384
"6","Ahmed Ali","Washington St.","P12",53,107.5,20,48.3,3.1,6.8,25.2,16.1,0.2,1.9,22.5,"Jr","11-May","Portland",-1.77734,1854,"Portland","WCC",14,59.2,106,29.1,53,3.2,6.8,26.6,18.1,0,1.7,46.2,"Sr","11-May",-2.85708
"7","Ahsante Shivers","Siena","MAAC",60.1,90.9,21.7,42.7,5.5,13.1,11.5,22,0.8,1.3,38.6,"So","4-Jun","Southern",-1.47419,134,"Southern","SWAC",10,36.9,89.6,19.8,43.2,2.1,12.4,9.4,16.7,1.1,2.9,28.4,"Sr","4-Jun",0.084434
"8","Ajani Kennedy","UC Riverside","BW",33.3,104.7,19.3,59,7.2,18.8,8.3,21,0.6,1.2,18.9,"So","8-Jun","Tennessee Martin",-2.41617,776,"Tennessee Martin","OVC",23,64.6,88.6,17.5,46.3,5.6,16.3,9,23.3,1.7,1.6,24.8,"Jr","9-Jun",-2.18199
"9","Ajare Sanni","Pacific","WCC",31.2,101.5,22.4,47.2,1.3,7.7,13.8,10,0.4,1.9,22.7,"Fr","2-Jun","UC Santa Barbara",-0.990544,1329,"UC Santa Barbara","BW",23,55.5,104.7,23.6,50,2.1,11.8,13.7,14.1,0,1.6,29.1,"So","3-Jun",-0.738003
"10","Alan Griffin","Illinois","B10",41.8,128.9,20.7,61.5,11.2,17.1,7.6,12.6,1.2,1.5,20.2,"So","5-Jun","Syracuse",1.56641,1750,"Syracuse","ACC",28,72.8,106,23.5,52.3,6.3,15.2,12.2,17.8,6.6,2.3,19,"Jr","5-Jun",2.04552
"11","Alex Rivera","UMass Lowell","AE",58.1,104.4,18,52.1,2.8,11.4,11,14.7,0.5,1.6,20.8,"Fr","1-Jun","LIU Brooklyn",-2.05296,1691,"LIU Brooklyn","NEC",18,71,107.4,14.8,51.1,3.7,7.8,11.2,15.5,1.2,1.2,21.9,"So","1-Jun",-0.805357
"12","Alonde LeGrand","Detroit","Horz",40.1,74.3,9.6,37.8,3,13.5,12.4,40.6,1.1,2,31.1,"So","7-Jun","North Florida",-0.0550123,2464,"North Florida","ASun",12,12.7,52,12.3,29.2,3.4,11.5,8.1,40.1,0,2.2,41.7,"Jr","7-Jun",-2.10775
"13","Alterique Gilbert","Connecticut","Amer",63.8,92.4,21.6,41.6,1.8,9.1,27.3,23,0.4,2.3,32.5,"Jr","Jun-00","Wichita St.",0.515102,285,"Wichita St.","Amer",20,75.9,93.6,23.7,41.6,1,9.4,30.8,19.3,0.4,2.8,29.3,"Sr","Jun-00",1.06043
"14","Amanze Ngumezi","Georgia","SEC",7.5,93.3,22,47.1,4.7,11.5,6.3,15.9,6.4,0.6,31.4,"So","9-Jun","Jacksonville St.",-0.878762,1363,"Jacksonville St.","OVC",23,38.1,108.8,25.2,56.5,9.2,13.6,9.1,18.7,4.4,0.6,29.9,"Jr","9-Jun",-0.697417
"15","Amari McCray","Pacific","WCC",31.8,98.2,24,54.6,13,22.6,7.8,23.3,5.4,1.5,24.6,"Jr","9-Jun","Portland St.",1.42715,1878,"Portland St.","BSky",9,20.6,94.1,27.9,47.4,10.9,19.1,1.8,21.9,8,2.7,47.4,"Sr","10-Jun",2.52206
"16","Amauri Hardy","UNLV","MWC",84.1,103.6,23.3,48.7,1.6,9.4,20.6,17.5,0.6,1.2,27.3,"Jr","2-Jun","Oregon",-0.592017,805,"Oregon","P12",28,48.8,92.6,14.7,44.5,0.2,7.6,17.9,23.4,0.6,0.5,15.6,"Sr","2-Jun",-0.612737
"17","Andrei Savrasov","Texas Tech","B12",7.6,98.2,14.5,50,6.6,19.7,6,16.9,1.2,1.2,0,"Fr","7-Jun","Georgia Southern",1.48013,2724,"Georgia Southern","SB",20,32.9,107.7,14.6,47,6,21.3,8,6.8,6.4,2,4.8,"So","7-Jun",1.30422
"18","Andrew Garcia","Stony Brook","AE",76.6,101,24.9,50.6,9.7,13.8,14.7,22.5,1.2,3,36.1,"Jr","5-Jun","Georgia",0.892972,149,"Georgia","SEC",25,42.8,106.2,23.9,53.6,13.4,12.6,5.9,20.5,1.7,1.8,43.5,"Sr","6-Jun",-0.180731
"19","Andrew Nembhard","Florida","SEC",82.6,105.9,22,49.5,0.4,10.2,33.1,21.4,0.2,1.9,24.1,"So","5-Jun","Gonzaga",0.605574,1368,"Gonzaga","WCC",32,74.4,121.6,15.3,55.1,0.8,8,20.2,14.3,0.3,1.9,25.1,"Jr","5-Jun",2.37479
"20","Anthony Crump","Middle Tennessee","CUSA",22.6,89,13.1,46.2,4.1,17,13,28.8,1.3,2.4,138.5,"Fr","8-Jun","Northern Illinois",-0.0211696,1468,"Northern Illinois","MAC",17,50.1,64.9,18.2,37.2,4,15.6,7.6,31.4,0.6,1.2,25.6,"Jr","8-Jun",-3.08646
"21","Anthony Duruji","Louisiana Tech","CUSA",75.9,105.2,20.3,52.2,5.4,18.2,6.4,15.5,4.8,1.8,37.1,"So","7-Jun","Florida",1.35137,607,"Florida","SEC",25,54.8,93.7,17,47.3,8,14.8,4.7,18.9,2.2,1.4,19.9,"Jr","7-Jun",0.767876
"22","Anthony Nelson","Seton Hall","BE",28,87.9,18.6,46.9,1,6.5,31.9,34,0,2.2,35.9,"So","4-Jun","Manhattan",0.359197,1717,"Manhattan","MAAC",20,76.7,88.8,27.2,42,2.3,10.9,23.2,23.6,0.7,2.2,43,"Jr","4-Jun",-1.14893
"23","Anthony Roberts","Kent St.","MAC",68,104.9,22.1,50.2,2,9.5,16.2,15.4,0.5,1.7,21,"So","4-Jun","St. Bonaventure",-0.583206,1498,"St. Bonaventure","A10",3,7.6,76.6,25.8,28.3,9.1,5.3,22.7,22.2,2,1.9,17.4,"Jr","4-Jun",-0.604674
"24","Anthony Tarke","UTEP","CUSA",11.2,63.2,22.4,32.3,10.6,23.3,12.5,31.8,1.7,4.5,35.5,"Jr","6-Jun","Coppin St.",2.08532,126,"Coppin St.","MEAC",22,87,96.8,24.7,52.1,4.4,17.8,23,18.8,5.4,3.8,60.9,"Sr","6-Jun",2.97845
"25","Antwann Jones","Memphis","Amer",40.2,98.2,16.7,48.1,3.4,16.1,18.2,27.7,2.6,2.1,34.1,"Fr","6-Jun","Creighton",2.58123,1258,"Creighton","BE",30,26.1,99.2,21.4,44,5.4,16.9,20,18.2,2,1.2,35.2,"So","6-Jun",1.22203
"26","Antwuan Butler","Austin Peay","OVC",65.5,98.2,15.6,39.9,2.1,7.3,19.8,19,0.3,2.4,37.9,"So","Jun-00","NJIT",0.21731,1111,"NJIT","AE",18,58.2,96.8,16.1,40.6,2.9,12,16.2,16.3,1,2.1,39.6,"Jr","Jun-00",-0.310602
"27","Arkel Lamar","UMBC","AE",4.3,83,11.9,36.4,2.3,21.3,7.6,9.9,0,4.8,0,"Sr","5-Jun","Manhattan",3.6741,4948,"UMKC","Sum",5,17.3,102.4,21.4,49,1.9,28.7,3.4,6.3,6.9,1.8,24.5,"None","None",1.42403
"28","Arnaldo Toro","George Washington","A10",34,102.2,23.2,47.6,18.7,26.1,4.8,14,3,1,54,"Sr","8-Jun","St. John's",-2.09194,181,"St. John's","BE",21,17.1,97.2,10.4,37.5,8.5,14,7.3,19.5,1.1,2.3,45.8,"Sr","8-Jun",0.617098
"29","Asbjorn Midtgaard","Wichita St.","Amer",15.1,90.7,14.4,48.4,11.8,16.7,7.9,22.8,7.2,0.6,58.1,"Jr","Jul-00","Grand Canyon",3.24196,499,"Grand Canyon","WAC",21,74.8,118.8,20.8,69.6,11.4,25.4,4.7,21.9,4.9,0.8,59,"Sr","Jul-00",2.1396
"30","Austin Trice","Kansas St.","B12",15.8,99.2,16.5,59.4,14.5,26.2,2.8,13.8,3.2,0.6,131.3,"Jr","7-Jun","Old Dominion",1.38265,1043,"Old Dominion","CUSA",22,48.8,98.9,25,49.7,14.4,21.4,5.6,14.7,4.6,2.2,44.9,"Sr","7-Jun",-0.568146
"31","Austin Williams","Marist","MAAC",40.6,88.4,20,53.3,5.2,13.4,14.3,28.2,1.2,2.6,50.5,"So","3-Jun","Hartford",0.201316,372,"Hartford","AE",24,79.9,104.3,23.6,55.3,4.3,17.9,12,18.2,1.4,2.1,38,"Sr","4-Jun",0.900831
"32","Axel Okongo","Missouri","SEC",2.4,117.7,6.8,100,3.9,4,0,29.1,4.2,0,100,"Jr","Jul-00","Eastern Michigan",0.573553,2850,"Eastern Michigan","MAC",9,10.7,61.6,9.9,75,6.7,13.5,0,63.2,9.3,0.9,0,"Sr","Jul-00",0.149697
"33","B.J. Mack","South Florida","Amer",11.5,106.9,13.6,48.5,4,16.7,1.6,12.4,2.8,0.8,17.6,"Fr","8-Jun","Wofford",1.34458,2321,"Wofford","SC",19,36.8,102.9,21.1,51.4,6.4,14.7,8.6,17.3,3.3,1.3,17,"So","8-Jun",-0.0343238
"34","Ben Coupet Jr.","UNLV","MWC",3,85.3,22.4,40,5.7,30,5,27.2,8.3,3.1,70,"So","7-Jun","Little Rock",2.71691,93,"Little Rock","SB",25,80.6,111.3,16.3,55.4,4,9.6,12.5,17.2,1,2,34.5,"Sr","7-Jun",-0.385339
"35","Ben Harvey","Eastern Illinois","OVC",53.3,98.3,24.8,52.2,4.4,16.1,10.4,21.1,0.5,1.4,28.2,"Fr","5-Jun","Southern Illinois",-2.7717,1448,"Southern Illinois","MVC",25,58,98.7,23.5,50.8,1.8,17.8,14.2,16,0.6,1.8,33,"So","5-Jun",-0.544818
"36","Ben Pyle","Western Illinois","Sum",87,102.6,17.6,51.9,2.4,15.5,7.7,16.5,1.7,1.5,18.6,"So","7-Jun","San Diego",-1.72374,1250,"San Diego","WCC",12,55.9,89.8,14.9,43.2,2.3,13,17.4,15.2,1.3,1.2,17.8,"Jr","7-Jun",0.336773
"37","Bernie Andre","Northern Arizona","BSky",70,102.6,22.1,51.2,6.9,21.1,7.5,15.8,1.2,1.7,28.1,"Jr","6-Jun","Vermont",-1.54391,4938,"FIU","CUSA",7,8,85.1,18.6,45.7,3.1,10.3,2.7,21,2.8,0.8,8.7,"Sr","6-Jun",-3.06758
"38","Bobby Planutis","St. Bonaventure","A10",51.7,93.9,17.8,43.4,8.1,15.9,8.4,20.7,1.3,2.4,28.3,"So","8-Jun","Fort Wayne",0.959318,710,"Fort Wayne","Horz",23,69.4,121.2,15.6,65.8,3.2,11.2,8.8,20,0.8,1.2,34.2,"Jr","8-Jun",-2.01822
"39","Both Gach","Utah","P12",65.2,90.4,22.9,45.5,1,12.4,19.3,24,0.5,1.4,27.6,"So","6-Jun","Minnesota",-0.567856,1665,"Minnesota","B10",29,56.1,95.2,17.6,46.4,2.1,15.5,17.1,22.3,0.3,1.5,31.1,"Jr","6-Jun",0.847618
"40","Braden Burke","Michigan St.","B10",1,200,2.6,100,0,0,0,0,8.2,0,0,"Jr","Jul-00","Central Michigan",3.93536,857,"Central Michigan","MAC",3,2.6,89.3,13.1,33.3,10.1,5.3,0,0,0,0,0,"Sr","Jul-00",-6.68827
"41","Braden Norris","Oakland","Horz",88.9,119.6,12.9,64.4,0.2,8.7,25.4,24.3,0.2,2.4,46,"Fr","11-May","Loyola Chicago",0.256614,1397,"Loyola Chicago","MVC",29,78.4,110.1,16,56.7,0.9,10.9,18.4,20.6,0.6,1.4,25.8,"So","Jun-00",1.98041
"42","Brady Heiman","Nebraska","B10",16.3,107,12.9,59,10.5,12.6,2.5,14.1,6.4,0.8,41,"Fr","11-Jun","South Dakota",1.12578,1372,"South Dakota","Sum",13,14.4,63.7,12.4,27.3,5.3,12.1,4.7,20.2,8.9,0.8,31.8,"So","11-Jun",0.588759
"43","Brandon Averette","Utah Valley","WAC",80.6,99.3,21.1,49.3,0.8,6.4,19.9,17.5,0.6,1.7,24.6,"Jr","11-May","BYU",-1.13786,138,"BYU","WCC",26,68.4,102,23.9,51.5,1.7,9,24.4,21.2,0.4,1.7,15.8,"Sr","11-May",0.916584
"44","Brandon Huffman","North Carolina","ACC",3.9,116.9,15.2,66.7,14,12.6,0,14.4,6.6,0,41.7,"Jr","10-Jun","Jacksonville St.",0.527842,404,"Jacksonville St.","OVC",24,44.9,113.6,25,59.4,12.5,26.6,3.1,12.9,7.8,0.5,41.7,"Sr","10-Jun",0.283898
"45","Brandon Johnson","Western Michigan","MAC",77.8,102.3,26.4,48.1,7,22.2,7.6,13.5,3.5,0.9,45,"Jr","8-Jun","Minnesota",-0.695038,65,"Minnesota","B10",28,61.4,114.7,16.5,50,8.4,17.9,5.4,9.5,2.6,1.8,55.1,"Sr","8-Jun",1.68731
"46","Brandon Knapper","West Virginia","B12",18.1,76.7,23.2,32.2,1.9,10.3,15.5,24.2,0.5,1,16.7,"So","Jun-00","Eastern Kentucky",0.282309,1145,"Eastern Kentucky","OVC",3,6.7,81,39.7,37.2,2.8,7.9,12.4,21.6,0,2.1,51.2,"Jr","Jun-00",-2.90248
"47","Brandon Leftwich","Mount St. Mary's","NEC",26,86.8,20.4,41.3,3.4,20.1,15.7,27.9,2.1,2.9,62.3,"Jr","3-Jun","George Washington",0.713331,786,"George Washington","A10",9,2.8,87.8,18.2,33.3,6.5,17.3,19.2,33.4,0,3.1,66.7,"Sr","3-Jun",-1.12633
"48","Brendan Barry","Dartmouth","Ivy",90.4,115.4,17.3,56.9,0.6,10.3,16.9,13.5,0.6,1.8,18.5,"Jr","2-Jun","Temple",-0.40631,174,"Temple","Amer",16,68.3,118.3,11.2,62.2,0.5,7.8,13.8,16.7,0.3,1.2,17.9,"Sr","2-Jun",1.19784
"49","Brendan Medley-Bacon","Coppin St.","MEAC",67.3,88.8,18.8,45.3,7.8,24.5,13,24.2,8,0.9,50,"So","1-Jul","VCU",1.47505,1343,"VCU","A10",13,5.1,52.7,16.2,22.2,4.6,14.6,3.2,33.2,4.2,0,66.7,"Jr","1-Jul",-0.0774555
"50","Brian Thomas","Florida Gulf Coast","ASun",19.2,105.3,9.4,51.7,9.6,16.7,4.4,16.7,15.8,1.8,24.1,"Jr","9-Jun","Grambling St.",4.07014,567,"Grambling St.","SWAC",6,11.7,96.9,4.2,83.3,2.2,14.1,0,36.9,10.3,0.5,16.7,"Sr","9-Jun",2.77757
"51","Bryan Penn-Johnson","Washington","P12",2.6,129,12.3,80,7.3,9.2,0,27.2,16,0,60,"Fr","Jul-00","LSU",5.43344,1198,"LSU","SEC",5,1.5,50.3,17.1,100,6.5,11.9,8.9,75.8,0,0,0,"So","Jul-00",0.424144
"52","Bryan Trimble Jr.","St. John's","BE",39.1,90.1,8.3,48.1,0.4,8.9,4.1,17.3,2,1.1,2.5,"So","3-Jun","Akron",0.220456,362,"Akron","MAC",21,71.8,115.4,17.3,57.5,1.1,6.6,2.6,10.3,0.6,1.6,9.4,"Jr","2-Jun",-0.580122
"53","Bryce Aiken","Harvard","Ivy",15.7,97.3,35.1,48.8,1.3,6.8,15.1,24,0,2.9,45.9,"Sr","Jun-00","Seton Hall",-0.686465,29,"Seton Hall","BE",14,18.4,99.5,23.5,38.9,0,7.5,20.9,13.7,0,1.5,37.5,"Sr","Jun-00",-0.931131
"54","Bryce Williams","Mississippi","SEC",28.6,86.9,16.2,49.2,1.3,6.4,11.8,33.9,1.5,2.5,56.5,"Jr","2-Jun","Oklahoma St.",1.65678,2458,"Oklahoma St.","B12",28,53.9,93,18.1,45,1.2,6.8,14.4,22.9,3,2.3,30,"Sr","2-Jun",2.28288
"55","Brycen Goodine","Syracuse","ACC",15.6,76.9,18.9,33,3.4,9.7,14.3,26.1,1.3,3.2,28,"Fr","3-Jun","Providence",0.964978,3109,"Providence","BE",16,12.9,75.7,16.7,37.5,4.9,9.1,10.4,28.4,3,3.5,32.1,"So","4-Jun",2.79394
"56","Bul Kuol","Cal Baptist","WAC",25.8,119,13.4,62.9,4.8,12.4,2,18.3,0.3,1,34.5,"Sr","7-Jun","Detroit",-0.798029,1857,"Detroit","Horz",22,89.8,109.6,21.7,56.2,4,12.1,10.5,17.5,1.5,2.1,25,"Sr","7-Jun",-1.44461
"57","Caleb Daniels","Tulane","Amer",82.1,101.1,26.4,50.5,4.5,12.1,23.1,17.8,0.9,1.3,41.7,"So","4-Jun","Villanova",-0.680044,522,"Villanova","BE",25,64.3,101.3,20.1,52.9,2.2,7.9,8.8,19.3,0.2,0.9,25.1,"Jr","4-Jun",-0.464594
"58","Caleb Green","Holy Cross","Pat",88.7,100.4,18.9,49.2,1.4,9.1,17.2,15.7,0.2,2,20.5,"So","10-May","Fairfield",-1.69385,584,"Fairfield","MAAC",27,83.8,95.3,16.9,45,1.1,6.4,19,17.1,0.1,0.9,23,"Jr","10-May",-1.67675
"59","Caleb Grill","Iowa St.","B12",31.1,83.8,10.9,40.7,2.3,11.4,7.1,21,0.5,2,10,"Fr","3-Jun","UNLV",0.371281,2974,"UNLV","MWC",25,84.7,103,15.4,51.9,1,10.4,11.7,17.5,0.5,2.6,14.1,"So","3-Jun",0.519005
"60","Caleb Nero","Weber St.","BSky",48.3,101.9,17.7,50.6,1.2,6.6,12.5,16.5,0.3,1.7,29.9,"Fr","2-Jun","North Dakota",-0.933767,1148,"North Dakota","Sum",26,56.5,102.9,20.2,49.5,1,8.5,15.5,13.4,0.2,1.6,21.6,"So","2-Jun",-1.47512
"61","Cameron Bowles","Chicago St.","WAC",67.2,78.4,18.4,40.5,3.1,12.5,6.4,23.2,1.6,0.9,43.8,"So","7-Jun","North Carolina Central",-3.22384,901,"North Carolina Central","MEAC",9,18.7,121.3,14.2,55,9.3,3.7,2.3,8.3,2.3,1.8,55,"Jr","6-Jun",-1.60653
"62","Cameron Parker","Sacred Heart","NEC",42.2,96.4,24.1,48.9,0.8,14.6,41.8,33.2,0.2,1.2,51.9,"So","2-Jun","Montana",-1.62449,1176,"Montana","BSky",23,64.2,105.4,20.8,54.7,0.9,9.1,36.8,22.4,0,1,31.8,"Jr","2-Jun",-1.11791
"63","Cameron Satterwhite","Northern Arizona","BSky",60.4,99.7,20.7,50.2,1.6,10.3,12.4,18.6,1.3,2.5,30.9,"Jr","4-Jun","Montana",-0.609142,300,"Montana","BSky",2,4.2,39.8,24.1,15.4,3.3,6.2,19.6,25.3,0,4.6,7.7,"Sr","4-Jun",-0.327131
"64","Cameron Tyson","Idaho","BSky",63.4,105.1,24.4,55,2,6.9,6.8,14,0.3,0.9,14,"Fr","3-Jun","Houston",-4.50571,1386,"Houston","Amer",18,13,133,19.9,56.3,3.4,7,7.8,3.8,0,0.4,5.6,"So","2-Jun",-1.00938
"65","Carlik Jones","Radford","BSth",83.9,119.9,31.4,53.1,2.3,16.1,36.1,13.5,0.7,2.3,44.1,"Jr","1-Jun","Louisville",1.14745,193,"Louisville","ACC",19,88.6,105.7,26.2,43.4,2.2,12.4,26.2,12.7,0.3,2.2,32.7,"Sr","1-Jun",2.32253
"66","Carlos Hines","Northern Arizona","BSky",69,93.3,28.7,44.4,1.7,8.8,28.9,20.3,0.4,2.9,29.4,"So","4-Jun","Northern Kentucky",-2.1672,396,"Northern Kentucky","Horz",5,3.8,55.2,23.4,33.3,3,6.2,9.4,39.8,0,3.1,0,"Jr","4-Jun",-3.65177
"67","Cartier Diarra","Kansas St.","B12",77.6,95.8,27,48.3,2.4,12.6,32.6,22.5,1.3,3.5,32.3,"Jr","4-Jun","Virginia Tech",2.43402,85,"Virginia Tech","ACC",4,8.8,93.3,26.9,45.7,6.2,9.3,22.9,25.5,1.5,0,56.5,"Sr","4-Jun",-0.994843
"68","Casdon Jardine","Utah Valley","WAC",65.3,108,16.6,55.9,4.4,15.2,3.2,13,1,1,18.6,"Jr","7-Jun","Hawaii",-1.06109,739,"Hawaii","BW",19,69.4,106.7,20.1,55.7,5.8,17,8.5,18.1,0.9,1.9,43.2,"Sr","7-Jun",0.530946
"69","Cavit Ege Havsa","Utah Valley","WAC",30.6,88.2,13.7,53.8,2.5,8.1,18,33.8,0.3,1.2,11.3,"Jr","4-Jun","Rice",-1.20478,147,"Rice","CUSA",22,44.5,89.7,18,48.3,2.4,10,27,34.5,0.7,2.2,23.3,"Sr","5-Jun",-0.96469
"70","Cedrick Alley Jr.","Houston","Amer",16.4,93.4,10.2,39.4,5.3,8.2,5.1,11.5,1.8,1.5,36.4,"So","6-Jun","UTSA",1.77747,485,"UTSA","CUSA",20,48.6,109.5,15.3,51.9,5.9,16,6,14.4,2.1,1.8,23.4,"Jr","6-Jun",-0.0289699
"71","Charles Minlend","San Francisco","WCC",73.3,102.2,26.8,47,5.9,12.8,12.7,13,1.9,2,37.1,"Jr","4-Jun","Louisville",0.365072,53,"Louisville","ACC",7,7,83.8,9.9,30,6.1,5.9,6.2,10.9,2.1,1.1,0,"Sr","4-Jun",1.03274
"72","Charlie Easley","Nebraska","B10",24.9,79.3,12.4,33.6,2.7,6.4,7,19,0.9,3,34.5,"Fr","2-Jun","South Dakota St.",1.57271,3338,"South Dakota St.","Sum",22,50.8,106,12.8,55.3,2.2,11.9,10.1,18.5,0.5,2.7,22.4,"So","2-Jun",0.732695
"73","Charlie Russell Jr.","Tulane","Amer",4.9,54.8,12.5,21.4,3.7,20.7,3.2,7.8,4.3,3.9,0,"Fr","7-Jun","UMass Lowell",0.689675,2320,"UMass Lowell","AE",1,0.2,45.5,36.8,0,61.7,113.9,0,78.2,0,0,0,"So","8-Jun",-4.29721
"74","Chase Audige","William & Mary","CAA",72.2,103.3,18.5,55.1,4.4,11.6,14.7,20.3,2.1,2.9,26.5,"Fr","4-Jun","Northwestern",0.359008,1123,"Northwestern","B10",23,70,86.9,27,47.5,3.3,11.9,14.6,18,1.7,3.2,20.8,"So","4-Jun",2.04808
"75","Chaundee Brown Jr.","Wake Forest","ACC",51.3,108.9,21.3,50.2,6.7,18.7,10.9,14.7,0.5,1,36,"Jr","5-Jun","Michigan",-0.263961,368,"Michigan","B10",28,51.5,117.4,17.1,60.3,4.9,12,5.7,12.7,1.2,0.4,17.1,"Sr","5-Jun",1.2562
"76","Chereef Knox","Saint Joseph's","A10",32.6,72.9,19,36.2,2.2,8.2,6.2,20.3,3.7,1.5,19.2,"Fr","5-Jun","Coppin St.",-1.08621,2229,"Coppin St.","MEAC",5,8.8,75.2,22.2,40.9,0,4.9,8,14.6,1.3,0.7,12.1,"So","6-Jun",-1.57722
"77","Chevez Goodwin","Wofford","SC",54.1,115.3,27,63.8,14.1,22.9,10,14.6,6.6,0.8,44.6,"Jr","9-Jun","USC",0.260337,123,"USC","P12",33,36.7,102.2,21,53.8,10.5,15.8,6.3,19.4,2.3,1.2,40.6,"Sr","9-Jun",2.15748
"78","Chris Doherty","Notre Dame","ACC",1.2,113.5,14.6,75,7.2,20.9,0,0,6.7,3.9,50,"So","8-Jun","Northeastern",4.65241,1204,"Northeastern","CAA",12,26.4,121.6,19.1,61,21.8,20.3,9.4,13.7,5,0.9,63.4,"So","7-Jun",0.457446
"79","Christian Carlyle","Florida Gulf Coast","ASun",59.8,105,19.7,49.8,4.6,12,19.1,14.8,1.1,2.1,37.6,"Jr","6-Jun","Santa Clara",0.122937,243,"Santa Clara","WCC",18,72.9,91.8,17.8,45.9,1.8,6.4,13.5,19.8,0.7,0.9,42.5,"Sr","5-Jun",-0.152503
"80","Christian Terrell","UC Santa Barbara","BW",11.7,97.6,11.6,44.4,2.5,14.2,12.6,25.9,1.6,0.9,50,"Jr","5-Jun","Sacramento St.",0.431241,2605,"Sacramento St.","BSky",14,54.3,99.2,21.1,53.8,2.7,11.4,11.3,15.1,0,2.6,16.9,"Sr","5-Jun",-1.86818
"81","Chuck Champion","Loyola MD","Pat",11.8,67.8,18.1,38.4,0.8,8.4,4.9,23,0,1.5,16.3,"Sr","4-Jun","Albany",-4.09179,263,"Albany","AE",16,44.5,89.7,21.6,50.6,2.3,15.4,14,24.4,0,2.6,24.1,"Sr","4-Jun",-0.188506
"82","Chudier Bile","Northwestern St.","Slnd",56.8,97,30.9,52.8,7.8,23.4,13.4,26.6,4.9,1.6,53.4,"Jr","6-Jun","Georgetown",0.757074,1895,"Georgetown","BE",25,56,99.4,23.6,50,8.8,14.1,7.5,21,3.9,2.5,40.2,"Sr","7-Jun",2.10626
"83","Clifton Moore","Indiana","B10",4.2,105.5,19.9,63.6,13.7,32.9,12.6,19.5,5.6,2.9,109.1,"So","10-Jun","La Salle",3.77052,577,"La Salle","A10",22,43.6,100.2,17.1,52.8,6.8,17.8,5.6,18.4,7.9,0.4,28.3,"Jr","10-Jun",-0.277593
"84","Colby Leifson","BYU","WCC",8,95,19.4,47.7,3,4.4,9.8,14.9,0,1,4.7,"Fr","4-Jun","Utah Valley",-2.32652,233,"Utah Valley","WAC",13,11.7,111.4,18.2,60,0,3.5,8.5,16.2,0,0.6,5.7,"So","4-Jun",-3.02058
"85","Colin Castleton","Michigan","B10",15.8,113.4,20.8,54,10.7,23.3,7.4,18.3,6.1,0.9,58,"So","11-Jun","Florida",3.34805,982,"Florida","SEC",24,62.1,118,22.7,59.7,11.9,16.6,8.6,18.5,9.2,1.2,51.6,"Jr","11-Jun",2.75519
"86","Connor Crabtree","Tulane","Amer",50.5,104.6,16.6,53,2.3,7.7,11.1,19.4,1,1.7,44,"Fr","6-Jun","Richmond",0.0930731,1100,"Richmond","A10",4,4.5,135.3,17.6,78.6,3.1,18.5,4.6,24.4,0,1.4,114.3,"So","6-Jun",-0.118299
"87","Connor Vanover","California","P12",39.4,105.8,20.5,54.5,5,16.6,2.4,10.5,8.9,0.8,13.6,"Fr","3-Jul","Arkansas",-0.617974,1089,"Arkansas","SEC",29,36.5,111.5,17.1,52.9,6.1,23.6,5.2,13.9,11.5,1.5,13.5,"So","3-Jul",4.4444
"88","Cooper Robb","Charlotte","CUSA",52.4,95.5,13.8,52.2,1.7,14.6,6.6,20.4,1,4.5,28.4,"So","1-Jun","Eastern Kentucky",3.83973,1411,"Eastern Kentucky","OVC",27,68.5,99.3,15.6,43.6,4,8.3,12.1,12.2,0.6,3.4,15.6,"Jr","1-Jun",1.17987
