"","player_name","team","conf","Min_per","ORtg","usg","eFG","ORB_per","DRB_per","AST_per","TO_per","blk_per","stl_per","ftr","yr","ht","new.school","dbpm","X","School","Conference","GP","Min.","ORTG","USG","EFG","OR.","DR.","AST.","TOV.","BLK.","STL.","FTR","Year","Height","DBPM"
"525","Aundre Hyatt","LSU","SEC",32.8,119.1,13.2,50.6,9.5,11.2,4.7,9.8,2.1,1,22.4,"So","6-Jun","Rutgers",-0.233035,1416,"Rutgers","B10",32,31.4,91.6,22.8,39.9,8.1,17.7,10,13.8,2.3,1,29.5,"So","6-Jun",0.0014148
"526","Austin Butler","Holy Cross","Pat",82.9,105.9,24,56.6,6.6,23.8,7.5,16.5,0.8,2.8,28.4,"Sr","5-Jun","Charlotte",-0.809844,367,"Charlotte","CUSA",31,82.1,112.3,19.6,57.9,5.8,16.8,9.3,14.2,0.2,1.6,31.7,"Sr","5-Jun",-1.29397
"527","Austin Richie","Tulsa","Amer",44.3,105.5,16.2,51.3,1,10.5,4.1,6,0.7,0.5,9.2,"Jr","6-Jun","Florida Gulf Coast",-0.796747,958,"Florida Gulf Coast","ASun",31,49.7,112.3,14.5,51.3,3.9,11.2,3.9,8.4,1.4,1.1,10.1,"Sr","6-Jun",-2.01411
"528","Avery Benson","Texas Tech","B12",8.7,123.5,12.4,80,6.8,8.3,14.5,14.2,3.6,1.8,60,"Jr","4-Jun","Texas",2.87898,619,"Texas","B12",16,4.5,100.6,5.8,0,8,8.1,13.5,0,0,1,50,"Sr","4-Jun",0.290302
"529","Avery Diggs","UCF","Amer",17.1,116.5,15.1,59.7,9.2,10.2,14,17.4,1.5,0.7,8.3,"Sr","11-Jun","Chattanooga",0.0164427,397,"Chattanooga","SC",33,23.8,118.3,21.2,65.2,6.6,21,7.4,16.5,3.5,1.3,45.7,"Sr","10-Jun",1.75694
"530","Ayinde Hikim","La Salle","A10",16.3,98.2,21.2,41.5,2.2,5.4,31.9,17.3,0,3.7,23.4,"So","11-May","UMass Lowell",0.0783303,1921,"UMass Lowell","AE",27,61.5,95.5,26.9,47.1,3.3,6.5,23.6,21.4,0.3,3.1,29.1,"So","11-May",-0.493441
"531","Ayo Akinwole","Nebraska Omaha","Sum",76.9,118.2,19.4,58.9,1.7,11.6,19.8,15.5,0.1,1.6,31.1,"Sr","Jun-00","Drake",-0.550028,463,"Drake","MVC",34,33,95.7,16.3,40.4,1.8,7,17.8,18.7,0,2.1,13.8,"Sr","11-May",0.0859134
"532","Bahaide Haidara","George Mason","A10",21.3,99.6,19.4,54.8,17.3,19.3,13.7,21,2.4,3.8,38.1,"So","6-Jun","St. Francis NY",1.30953,1940,"St. Francis NY","NEC",28,44.7,101,11.5,57.4,7.7,14.8,6.1,24.7,1,2.6,44.1,"Jr","6-Jun",0.0746168
"533","Bates Jones","Davidson","A10",29.9,116.8,11.4,45.1,6,19.2,11.6,11,0,1.5,14.6,"Sr","8-Jun","Duke",0.871426,417,"Duke","ACC",27,9.1,119.6,16,51.5,11,11.7,11.9,15.5,2,0.8,11.8,"Sr","8-Jun",0.266352
"534","Baylor Hebb","Loyola Chicago","MVC",10.3,101.3,21.3,54,1.1,14,9.4,24.5,1,2.1,96,"Fr","2-Jun","Colorado St.",1.5267,3346,"Colorado St.","MWC",10,1.7,59.1,14.3,33.3,0,5.8,15.8,40.8,0,0,0,"So","2-Jun",-5.09158
