"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
"405","Tydus Verhoeven","Duquesne","A10","32","47.7","106.1","10.9","51.9","52.87","7.9","12.1","8.2","21.1","20","37","0.541","40","77","0.519","0","0","0","12.4","0.7","48.1","Fr","6-8","25","0.23955","91.0734","6","2018","50312","all","UTEP","0","0","0","0","0","0","0","0","0","0","0","0","103.178","1.74015","0","3.80612","-2.17667","5.98279","-0.973"
"406","Aaron Falzon","Northwestern","B10","17","20.5","90.6","15.1","45.5","47.24","2.1","9.7","7.7","15","5","6","0.833","2","7","0.286","19","60","0.317","2","1.4","9","Jr","6-8","35","0.244101","90.9821","3.6","2019","39482","all","Quinnipiac","0","0","0","0","0","0","0","0","0","0","0","0","93.577","1.87181","0","-0.021465","-1.49214","1.47067","0.335"
"407","Darius Allen","Baylor","B12","14","8.3","83.5","17.7","37.9","37.56","4.1","9.3","8.2","15.1","3","9","0.333","8","13","0.615","3","20","0.15","6.3","4.3","27.3","Jr","6-4","1","-0.0750727","83.7557","4.6","2019","66667","all","Tennessee Tech","0","0","0","0","0","0","0","0","0","0","0","0","93.5625","0.976736","0","3.35196","-0.458317","3.81027","1.429"
"408","Deondre Burns","Little Rock","SB","24","52.2","97.6","21.5","47.3","52.39","1.8","10.8","12.3","17","56","71","0.789","64","133","0.481","21","69","0.304","0.2","1.1","35.1","Jr","6-2","2","1.05472","98.4968","4.4","2019","42179","all","Oral Roberts","0","0","0","0","0","0","0","0","0","0","0","0","106.43","1.92446","0","-4.22498","-2.05093","-2.17404","-1.922"
"409","Alihan Demir","Drexel","CAA","31","77.3","105.7","26.1","53.8","56.39","6","19","20.2","19.4","77","109","0.706","162","286","0.566","20","71","0.282","1.9","0.9","30.5","Jr","6-9","30","2.56792","110.358","3","2019","51012","all","Minnesota","0","0","0","0","0","0","0","0","0","0","0","0","111.794","1.7865","0","-0.300376","0.603197","-0.903573","-0.179"
"410","Darious Hall","Arkansas","SEC","35","36.7","98.6","18.9","55.1","55.87","7.2","17","5.3","22.2","36","64","0.563","51","96","0.531","13","32","0.406","1.8","1.9","50","Fr","6-6","20","0.740911","102.009","5.5","2018","51361","all","DePaul","0","0","0","0","0","0","0","0","0","0","0","0","98.033","1.59973","0","0.423727","-0.0813158","0.505042","0.186"
"411","Daniel Utomi","Akron","MAC","31","84.6","100.9","21.6","51.6","53.39","3.6","13.2","8","14.5","51","74","0.689","65","144","0.451","86","232","0.371","1.2","1.1","19.7","Jr","6-6","3","1.98263","103.325","3","2019","43396","all","USC","0","0","0","0","0","0","0","0","0","0","0","0","95.0643","3.91768","0","1.82278","0.232811","1.58996","2.129"
"412","CJ Walker","Florida St.","ACC","35","57.3","101.3","19","49.8","53.3","1.1","10.8","17.9","21.9","52","71","0.732","55","118","0.466","39","110","0.355","0.7","2.4","31.1","So","6-1","2","1.36718","104.66","4.1","2018","48434","all","Ohio St.","0","0","0","0","0","0","0","0","0","0","0","0","96.8189","2.5936","0","2.22771","0.94899","1.27872","1.581"
"413","Danny Dixon","UMKC","WAC","31","48.8","96.3","21.7","45.5","50.18","6.1","14.8","4.6","14.7","52","72","0.722","76","175","0.434","7","15","0.467","0.7","1.2","37.9","Jr","6-10","4","0.72573","97.1505","4.8","2019","40580","all","North Carolina St.","0","0","0","0","0","0","0","0","0","0","0","0","108.853","1.32642","0","-6.57432","-3.86739","-2.70693","-4.394"
"414","Rasheem Dunn","St. Francis NY","NEC","29","76.8","98.8","27.9","44.7","49.71","2.4","19.8","16.9","13.8","103","134","0.769","115","248","0.464","41","147","0.279","0.1","2.6","33.9","So","6-2","0","1.81591","104.496","2.5","2018","48114","all","Cleveland St.","0","0","0","0","0","0","0","0","0","0","0","0","108.631","2.21937","0","-2.44211","-0.79028","-1.65183","0.133"
"415","Wesley Harris","West Virginia","B12","22","38","99.9","16.5","45.7","50.79","6.1","13.7","5.9","19.3","47","68","0.691","33","76","0.434","20","62","0.323","1.8","1.5","49.3","Jr","6-8","21","1.27605","101.096","4.3","2019","51867","all","Tennessee St.","0","0","0","0","0","0","0","0","0","0","0","0","101.75","2.3229","0","1.71682","0.907118","0.8097","0.716"
"416","Ricky Torres","Wichita St.","Amer","37","37.6","87.7","14.6","36.4","38.15","2.1","11.5","28.8","26.2","8","12","0.667","33","62","0.532","4","45","0.089","0.6","1.5","11.2","Jr","6-2","3","-0.117293","84.1913","2.5","2019","65742","all","Illinois St.","0","0","0","0","0","0","0","0","0","0","0","0","97.8905","1.59597","0","-0.78033","-2.06719","1.28686","0.02"
"417","Peace Ilegomah","Pittsburgh","ACC","7","2.4","78.8","12.8","100","68.57","3.5","20.3","6.1","42.4","2","5","0.4","2","2","1","0","0","0","0","0","250","So","6-9","42","-0.312783","66.7182","8.8","2019","50368","all","Evansville","0","0","0","0","0","0","0","0","0","0","0","0","102.855","0.405787","0","-5.91551","-5.45855","-0.45696","-8.316"
"418","Donovan Mitchell","Wake Forest","ACC","30","27.2","103.7","12.7","60.2","61.99","4.7","18.3","3.2","25.2","10","13","0.769","16","29","0.552","15","35","0.429","2.8","1.5","20.3","So","6-8","2","0.405706","97.8642","7.1","2018","49374","all","Santa Clara","0","0","0","0","0","0","0","0","0","0","0","0","100.252","1.13834","0","1.40177","-0.341651","1.74342","0.248"
"419","Justin Pierce","William & Mary","CAA","27","76.3","106.2","24.4","52.5","53.52","6.4","24.3","24.2","15.5","56","97","0.577","103","188","0.548","44","134","0.328","0.9","1.7","30.1","Jr","6-7","23","2.57806","108.387","2.9","2019","48824","all","North Carolina","0","0","0","0","0","0","0","0","0","0","0","0","105.502","2.69357","0","1.36441","1.56515","-0.200738","1.322"
"420","Tyler Stewart","Binghamton","AE","4","3.3","71.3","38.8","31.3","38.43","2.8","8.3","0","15.1","6","7","0.857","6","15","0.4","1","9","0.111","8","1.5","29.2","So","6-8","5","-0.101044","83.5953","2","2019","46713","all","St. Francis PA","0","0","0","0","0","0","0","0","0","0","0","0","109.918","0.658629","0","-18.6787","-11.7537","-6.92491","-8.37"
