"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
"365","C.J. Jones","Arkansas","SEC","35","36.7","111.8","17.8","53.7","55.39","0.9","10","4.9","7.9","19","24","0.792","37","73","0.507","43","116","0.371","1.2","0.9","12.7","So","6-5","23","1.34224","113.821","2.3","2018","46023","all","Middle Tennessee","0","0","0","0","0","0","0","0","0","0","0","0","103.743","1.30906","0","0.648696","2.53943","-1.89074","2.597"
"366","Sam Cunliffe","Kansas","B12","15","4.7","100","19.8","52","53.95","3.3","10.1","9.3","19.5","2","2","1","10","17","0.588","2","8","0.25","1.4","1.5","8","So","6-6","3","0.317816","106.021","5.9","2018","48952","all","Evansville","0","0","0","0","0","0","0","0","0","0","0","0","97.8919","0.540335","0","-0.505955","-0.376309","-0.129646","-1.923"
"367","Gary Chivichyan","Idaho St.","BSky","27","46.2","110.9","18.3","57.8","58.91","0.9","8.9","3.9","11.1","18","25","0.72","18","35","0.514","55","139","0.396","0","0.8","14.4","Sr","6-5","25","1.22989","104.946","1.2","2019","42030","all","Pacific","0","0","0","0","0","0","0","0","0","0","0","0","123.562","0.323853","0","-4.24432","1.48112","-5.72543","-1.792"
"368","Jahshire Hardnett","BYU","WCC","20","36.6","101.9","21.4","45.9","52.16","1.7","7.7","13.4","13.1","50","61","0.82","57","112","0.509","10","45","0.222","0","2.2","38.9","Jr","6-0","0","1.4754","104.601","2.9","2019","51892","all","UMKC","0","0","0","0","0","0","0","0","0","0","0","0","105.842","1.83519","0","-1.42497","0.105128","-1.53009","-0.889"
"369","Kerry Blackshear Jr.","Virginia Tech","ACC","35","74.4","118.8","27.4","53.7","58.31","13.7","18.5","17.3","13.7","134","182","0.736","163","299","0.545","21","63","0.333","4.1","1.4","50.3","Jr","6-10","24","5.1184","136.003","4.3","2019","40843","all","Florida","0","0","0","0","0","0","0","0","0","0","0","0","91.3861","3.82591","0","8.90264","5.36022","3.54242","7.996"
"370","Elijah Mitrou-Long","Texas","B12","36","43.1","92.7","20.4","41.7","43.74","0.7","13.7","17","13.3","27","44","0.614","38","107","0.355","33","103","0.32","0.5","2.8","21","Jr","6-1","55","0.807601","99.5615","2","2019","38781","all","UNLV","0","0","0","0","0","0","0","0","0","0","0","0","92.2769","2.22488","0","2.21691","0.29566","1.92125","3.707"
"371","TJ Parham","Green Bay","Horz","17","5.4","86.3","23.1","30.6","33.92","6.7","9.3","12.9","2.9","5","8","0.625","5","14","0.357","4","22","0.182","2.6","4.7","22.2","Sr","6-7","0","0.0430121","89.1231","2","2019","50509","all","Alabama A&M","0","0","0","0","0","0","0","0","0","0","0","0","99.0466","0.470456","0","-0.924095","-0.66638","-0.257715","1.101"
"372","Jax Levitch","Fort Wayne","Sum","29","69.2","117.9","8.9","58.6","59.45","3","14.9","5.5","12.9","20","32","0.625","5","17","0.294","42","99","0.424","1.2","2","27.6","So","6-7","5","0.99954","97.8648","2.5","2018","47690","all","UNC Asheville","0","0","0","0","0","0","0","0","0","0","0","0","106.988","2.1576","0","0.729416","0.492079","0.237336","-1.475"
"373","John Crosby","Dayton","A10","26","30.4","96.6","19.7","44.8","51.41","1.4","10.8","23.3","24.5","29","36","0.806","25","55","0.455","9","31","0.29","0","0.9","41.9","Jr","6-3","15","0.525098","97.9263","3.3","2018","41498","all","Delaware St.","0","0","0","0","0","0","0","0","0","0","0","0","109.338","1.00893","0","-5.66626","-2.65365","-3.01261","-3.594"
"374","Shaquillo Fritz","Arkansas St.","SB","23","22.4","96.5","11.7","46.3","48.27","9.8","15.3","4.8","23.2","8","14","0.571","19","41","0.463","0","0","0","9.7","0.6","34.1","Jr","6-8","25","-0.0917205","84.1774","6","2019","51202","all","Pacific","0","0","0","0","0","0","0","0","0","0","0","0","106.861","0.876075","0","-0.23721","-3.32493","3.08772","-3.78"
