,Player,School,Conference,GP,Min%,ORTG,USG,EFG,OR%,DR%,AST%,TOV%,BLK%,STL%,FTR,Year,Height,DBPM
54,Damien Sears,Southern,SWAC,28,44.3,78.9,18.1,36.5,10.2,26.3,5.4,27,4.9,3.3,39.1,Sr,7-Jun,1.68619
55,Patrick Tape,San Francisco,WCC,33,51.5,118,13.5,61.4,10.9,13.6,8,23.4,3,2.3,75,Sr,10-Jun,2.97947
56,Jordan Bell,Pacific,WCC,28,34.4,88.2,19.6,39.1,8.7,26.1,12.6,12.9,3.5,2.5,14.3,Sr,8-Jun,0.507011
57,Jalen Dupree,Tennessee St.,OVC,25,28.8,96,23.3,47.7,13.4,20.5,9.1,17.9,4.4,1.5,40,Sr,8-Jun,-1.2906
58,Abdul Ado,Cincinnati,Amer,31,42.2,97.5,10.8,54.5,10,18.1,5.6,25.1,8.7,3.1,72.7,Sr,11-Jun,5.18704
59,Ethan Claycomb,Bellarmine,ASun,24,57.8,108.2,17.8,51.5,3.9,12.1,12.1,12.7,0.8,2.3,19.3,Sr,7-Jun,-0.684453
60,Jaylen Fornes,UNC Wilmington,CAA,33,62.9,98.8,19.2,45.1,3.9,10,12.7,12.1,0.6,1.9,15.2,Sr,3-Jun,-1.2916
61,DeJuan Clayton,Hartford,AE,2,5.2,84.9,18.7,36.4,0,8.7,15.9,28.5,1.7,1.8,100,Sr,2-Jun,-2.30279
62,Trevor Anderson,Valparaiso,MVC,17,39.5,107.6,18.1,48.8,1,16.5,17.6,12.4,0,0.7,27.4,Sr,3-Jun,-1.60155
63,Rodney Miller Jr.,Miami FL,ACC,18,5.1,119.3,15.8,62.5,3.3,12.6,4.8,14.8,1.5,1.6,56.3,Sr,Jul-00,1.44489
64,Darius Hicks,Jackson St.,SWAC,27,25.8,79.4,11.8,33.3,4.7,10.1,6.8,16.6,1.4,1.6,25.9,Sr,8-Jun,0.523355
65,Brevin Galloway,Boston College,ACC,25,46.3,86.9,21.5,40.2,0.4,7.2,11.9,14.1,0.8,2.8,11.1,Sr,2-Jun,0.014773
66,Chevez Goodwin,USC,P12,34,60.7,105.4,23.4,57,12.6,16,5.4,17,2.2,1,36.6,Sr,9-Jun,-0.021405
67,Michael Henn,Denver,Sum,30,63,109.2,19.6,55.3,5.6,16.1,14,16.8,0.6,0.8,22.7,Sr,8-Jun,-2.07431
68,Jeremy Sheppard,Rhode Island,A10,29,69.3,101.1,20.5,48.2,0.9,9.5,21.4,19.2,0.6,3,30.3,Sr,1-Jun,1.20237
69,Shawn Williams,Arkansas Pine Bluff,SWAC,26,76.9,108.2,24.9,53,1.1,6.8,23.7,15.9,0,1.8,22.8,Sr,1-Jun,-4.45859
70,Ty Groce,Butler,BE,21,21.6,97,16.6,46.7,6.9,15.2,7.9,15.2,1.3,1.8,38.3,Sr,8-Jun,1.78502
71,Chris Lester,New Hampshire,AE,24,21.3,107.2,12.3,51.4,6.9,4.4,4.2,18.8,2.7,0.9,25.7,Sr,7-Jun,-1.51227
72,Dimencio Vaughn,Rider,MAAC,32,77.6,97.4,22.8,46,7,19.2,8.4,17.1,2.8,3.6,33.8,Sr,5-Jun,1.34387
73,Michael Tertsea,Siena,MAAC,7,1.9,0,12.8,0,0,21.4,0,21.3,0,0,0,Sr,10-Jun,-4.92649
74,Ahsante Shivers,Southern,SWAC,3,0.7,42.8,27.8,25,0,62.9,0,25.2,0,0,0,Sr,4-Jun,-3.54625
75,Brandon Carroll,William & Mary,CAA,28,55.2,91.4,20.3,46.9,5.2,18.9,7.4,18.4,6.5,3.5,30.7,Sr,7-Jun,1.83749
76,Shandon Goldman,Tennessee Tech,OVC,29,45.5,102.2,14.1,50.4,4.4,17.7,10,17,2.8,1.7,8.3,Sr,10-Jun,-0.157165
77,Andre Jones,Louisiana Monroe,SB,25,73.9,96.7,27.8,49.7,4.2,8.3,25.5,20.6,1.5,2.8,25.1,Sr,5-Jun,-2.01059
78,Josh Parrish,San Diego,WCC,27,54.6,106.7,13.2,63.1,4.5,9.4,8.1,21.9,2.2,1.8,40.8,Sr,4-Jun,1.78037
79,Nysier Brooks,Mississippi,SEC,32,72.1,110,18.2,58.1,10.9,19.2,5.6,19,4.8,1.9,37.4,Sr,Jul-00,1.41652
80,C.J. Keyser,Old Dominion,CUSA,31,82.5,92.6,24.7,45.4,1.5,7.7,10.9,17.3,1.3,1.1,14.7,Sr,3-Jun,-1.87852
81,Jordan Jones,Marist,MAAC,30,48.6,115.9,19.7,62,9.4,13.5,5.9,18,7,1.4,30.4,Sr,8-Jun,0.99441
82,Precious Ayah,Miami OH,MAC,29,60.6,125.5,16.4,66,8.8,17.4,6.9,15.5,5.2,2,41.5,Sr,6-Jun,0.233812
83,Andrew Garcia,Kent St.,MAC,24,40.5,109.1,21.3,57.2,10.2,11.4,4.7,20.6,2.8,3,34,Sr,6-Jun,1.0615
84,Michael Almonacy,Appalachian St.,SB,31,83.9,92.8,20.9,43.1,1.2,11,19.7,15,0.2,1.5,17.5,Sr,Jun-00,-0.124274
85,Darian Adams,Jacksonville St.,ASun,30,85.6,103.6,25.7,47.7,3.2,13.4,22.8,17.8,1.4,2.6,27.9,Sr,3-Jun,0.55198
86,Jannson Williams,Eastern Kentucky,ASun,22,35.3,108,21,54.4,7.7,16.3,6.1,15.7,7.6,1.7,25.7,Sr,9-Jun,-0.660655
87,Josh Ayeni,Chattanooga,SC,33,25,93.1,23.3,49,7,19.6,5.3,26.2,1.1,1.7,24,Sr,7-Jun,0.574298
88,Joshua Tomaic,San Diego St.,MWC,31,29.7,97.8,14.6,54.5,6.9,11.8,6.1,27.2,3.8,1.1,32.8,Sr,9-Jun,2.74535
89,Jared Chatham,Central Arkansas,ASun,29,65.9,106.1,20.4,50.5,8.7,18.1,6.9,12.6,3.2,1.7,17.2,Sr,8-Jun,-1.88615
90,Jacob Young,Oregon,P12,34,75.8,98.2,24.4,45.7,2.1,8.6,21.5,17.3,0.2,2.6,28.1,Sr,3-Jun,0.23575
91,Andrew Jones,Texas,B12,33,63.4,106.7,22.1,50.5,0.8,12.4,13.6,13.9,1.1,2.8,22.5,Sr,4-Jun,2.75566
92,Mikey Dixon,Idaho,BSky,29,73.8,107,27.8,47.4,2.1,10.5,14.4,14.1,0.1,1,49.4,Sr,2-Jun,-3.50926
93,John Pettway,Tennessee Tech,OVC,30,53.1,98.4,20.9,56.7,6.2,12.5,16.5,25.2,0.8,3,30.2,Sr,3-Jun,-0.0324197
94,Kellon Taylor,McNeese St.,Slnd,28,63.8,96.9,22.9,50.7,8.7,13.3,18,26.9,0.7,1.2,53.8,Sr,6-Jun,-2.69609
95,Chuba Ohams,Fordham,A10,30,72.5,95.9,28.3,50,9.7,31.2,15,21,5.6,1.3,48.1,Sr,9-Jun,2.15698
96,Najee Garvin,Hampton,BSth,26,87.4,87.6,26.9,42.6,4.6,14.8,11.1,18.8,0.8,1,36.7,Sr,8-Jun,-1.68062
97,Brendan Barry,Dartmouth,Ivy,24,90.2,109.6,20,52.2,0.7,9.1,11.4,10.3,0.9,2.7,17.4,Sr,2-Jun,0.918946
98,Jake Killingsworth,UC San Diego,BW,26,79.4,111.5,11.6,60.3,1.6,13.8,12.7,17.1,0.6,1.1,7.3,Sr,5-Jun,-0.916975
99,Ty Flowers,LIU Brooklyn,NEC,28,83.7,110.6,25,54.5,6.5,16,19.5,15,4.9,2.1,20.3,Sr,9-Jun,0.409935
100,Brison Gresham,Texas Southern,SWAC,31,47.5,115.6,18.1,64.4,15,22.9,4.2,22.1,12.3,1.2,36.3,Sr,9-Jun,3.32343
101,Collin Smith,North Carolina A&T,BSth,17,25.5,92.5,25.3,44.5,12,13.1,5.7,19.6,3.3,1.6,63.7,Sr,11-Jun,-2.24349
102,Dallas Walton,Wake Forest,ACC,35,63.3,116.6,16.2,58.3,4.7,17.3,7.4,13.4,5.5,0.9,39.3,Sr,Jul-00,2.72311
103,Xavier Bishop,Montana St.,BSky,33,85,105.3,23.7,49.3,1.6,9.9,23.4,17.7,0,1.5,35.3,Sr,8-May,-1.15466
104,Dylan Painter,Delaware,CAA,29,57.7,114.5,23,56,10.9,16.5,12.8,19.2,4,1.1,63.8,Sr,10-Jun,-0.256216
105,John Hall,UMass Lowell,AE,24,33.5,104.4,16.9,48,9.3,18.3,5.2,14.8,3.7,1.3,18,Sr,7-Jun,-0.662001
106,Brock Bertram,Buffalo,MAC,15,7.8,142.8,6.5,71.4,10.9,21.4,5.1,19.6,4.3,3.2,14.3,Sr,11-Jun,3.97467
107,Harrison Henderson,Central Michigan,MAC,30,57.8,96,27.3,45.2,6.5,16.9,8.2,15.3,2.1,1.4,46.5,Sr,11-Jun,-2.34093
108,Bitumba Baruti,Florida Atlantic,CUSA,29,31.2,105.1,14.7,50,8,16,6.4,15.4,1.4,1.8,29.8,Sr,7-Jun,0.551255
109,Kevion Stewart,Alabama St.,SWAC,13,8.8,78.9,20.7,31.3,2.1,6.4,5.5,12.7,0,2.6,25,Sr,3-Jun,-3.25108
110,Kijana Love,Baylor,B12,6,0.7,89.6,19.6,37.5,0,23.6,16.6,0,0,0,25,Sr,1-Jun,-1.7702
111,Sammy Friday IV,Eastern Illinois,OVC,26,39.9,90.6,21.9,59.5,8.7,15,3.3,25.4,1.3,1.3,49.6,Sr,9-Jun,-2.30252
112,Xzavier Malone-Key,Oregon St.,P12,12,9.6,93.1,21.6,44,0,15.3,11.8,13.5,0,0,26.2,Sr,4-Jun,-3.1752
113,Khadim Sy,Wake Forest,ACC,34,46.5,102.9,16.3,59.2,8.3,18.2,4.8,22.3,3.2,1.4,26.8,Sr,10-Jun,2.02678
114,Braun Hartfield,Pepperdine,WCC,3,4.9,64.9,19.8,42.3,3.6,9.4,11.8,42,1.7,0.9,23.1,Sr,5-Jun,-2.47827
115,Koby McEwen,Weber St.,BSky,31,87.3,111.2,26,53,2.6,11.7,12.6,14.7,1,2.1,52.2,Sr,4-Jun,-0.442924
116,Justin Roberts,Niagara,MAAC,28,61.4,94.9,13.8,43.2,1.2,7.1,8.1,9.2,0,1,10.7,Sr,10-May,-0.650348
117,Jason Carter,Ohio,MAC,33,69.5,104.8,25,49.5,8,19.6,8.8,10.1,4,2.5,23.8,Sr,8-Jun,0.637436
118,Kameron McGusty,Miami FL,ACC,37,85,110.5,25.9,53.7,2.4,15,14.2,12.3,0.9,3.1,31.6,Sr,5-Jun,0.999575
119,Jordan Shepherd,California,P12,32,81.2,95.1,27.6,42.8,1.1,9.2,16.5,14.1,1.4,2.2,34.5,Sr,4-Jun,1.09571
120,Frederick Scott,Boston College,ACC,7,4.9,58,20.4,29.4,5.2,23.2,5.6,31.5,0,0,23.5,Sr,8-Jun,-3.34519
121,Johnny McCants,New Mexico St.,WAC,30,63.7,101,19.8,55.2,7.6,15.8,17,23.4,8.2,1.8,53.3,Sr,7-Jun,4.15115
122,Rasheem Dunn,Robert Morris,Horz,11,28.7,92.6,26.8,42.5,3.5,10.5,21.8,22.2,0.3,2,45,Sr,2-Jun,-3.0113
123,Tommy Kuhse,Saint Mary's,WCC,33,75.5,111.2,23,56.8,2.2,13.6,24.8,18.9,0.6,2,16.1,Sr,2-Jun,2.35775
124,Elijah Thomas,Cal Baptist,WAC,31,45.5,99.9,18.3,50.4,8,11.1,13.8,20.1,1.5,1.5,36.7,Sr,5-Jun,0.0442106
125,Juwan Gray,Towson,CAA,29,42.1,115.7,15.8,55.2,7.7,16.8,4.6,18.7,0.4,1.5,40.5,Sr,8-Jun,0.017163
126,Nikola Djogo,Northeastern,CAA,28,70.3,111.8,18.8,54.5,1.8,21.4,13,14.9,1,2,28.9,Sr,8-Jun,1.11191
127,Colby Leifson,Utah Valley,WAC,13,4.5,66.4,8.2,27.3,0,9.6,0,0,0,0,0,So,4-Jun,-0.948801
128,Aher Uguak,Loyola Chicago,MVC,32,71.5,111.3,17.1,56,5.9,12.4,11.1,17.5,1.2,1.3,43.5,Sr,7-Jun,1.57591
129,Bryson Williams,Texas Tech,B12,37,63.3,119.6,24,58.8,7,12.6,9.5,12.3,2.1,1.1,25.7,Sr,8-Jun,2.24366
130,Jacob Davison,Cal Poly,BW,6,15.2,83.6,29,42.3,4.5,11.9,14.4,19.2,2.1,1.5,38.5,Sr,4-Jun,-1.97177
131,Everett Winchester,Florida Atlantic,CUSA,29,54.7,97.3,18.9,50.6,5.3,15.6,15.6,26,1.4,1.6,30.4,Sr,6-Jun,0.282073
132,Dontay Bassett,Weber St.,BSky,20,33.9,115.3,20.1,59.9,3.9,14.4,8,10.7,5.7,2,24.8,Sr,9-Jun,1.1857
133,David Jean-Baptiste,Chattanooga,SC,31,78.6,111.3,21.8,51.4,1.6,7.7,12.6,13.5,0.2,2.2,17,Sr,1-Jun,0.135385
134,Rodney Chatman,Vanderbilt,SEC,16,29,98.3,16.3,50,0.3,9.5,12.1,18.5,0.6,1.8,26.7,Sr,1-Jun,1.33631
135,Makale Foreman,California,P12,30,31.3,94.7,19.7,43.5,1.7,6.7,12.6,11.7,0.3,2,13.1,Sr,1-Jun,0.522421
136,Chuck Champion,Albany,AE,31,58.6,81.2,14,34.5,2.4,9.6,14.1,19.8,0.3,2.1,20.1,Sr,4-Jun,-0.00717293
137,Sam Green,Howard,MEAC,24,28.8,102.9,15.6,48.8,6.1,12.5,4.5,13,1.4,0.9,23.5,Sr,6-Jun,-1.77129
138,Reginald Gee,Louisiana Monroe,SB,4,7,60.6,18.9,21.1,0,15,8.6,15.5,1.5,1.5,73.7,Sr,2-Jun,-3.52564
139,Ray Salnave,UMBC,AE,14,17.3,80.3,26.9,38,1.1,17,14,25.1,0.5,0.8,43.7,Sr,3-Jun,-2.59871
140,Payton Willis,Minnesota,B10,29,87.1,112.5,24,57.7,2.3,13.3,25.9,12.5,1.4,2.4,22.4,Sr,4-Jun,1.4305
141,John Fulkerson,Tennessee,SEC,33,51.2,113.5,18.3,52,9.8,14.7,12.5,16.4,5,1.1,47.5,Sr,9-Jun,3.03126
142,Clevon Brown,FIU,CUSA,29,60.5,97.7,18.5,52.8,7.3,16.6,7,18.8,7.7,0.8,15.6,Sr,8-Jun,0.123261
143,Jalen Johnson,Mercer,SC,30,75.3,111.4,21.2,54.7,5.3,12.7,8.4,13.1,4.5,1.7,21.5,Sr,6-Jun,-0.589742
144,Lazaro Rojas,UT Arlington,SB,23,22.1,78.5,24.1,46.5,9,16.4,2.8,30.5,3.4,1.7,39.4,Sr,11-Jun,-1.0952
145,Quan Jackson,UAB,CUSA,33,72.9,105.3,21.5,49.4,4.1,18.8,12.6,16.8,1.5,4.6,36.9,Sr,4-Jun,3.24996
146,Bryce Nze,Butler,BE,25,57.8,99.9,19.5,50.5,8.9,18.6,12,17.1,2.8,1.9,32.3,Sr,7-Jun,1.71556
147,Mason Faulkner,Louisville,ACC,31,43.8,103.9,17.2,45.5,1.8,7.3,26.3,19.5,0.2,1.5,36.1,Sr,1-Jun,-0.324412
148,Tre Cobbs,Georgia Southern,SB,21,45.4,84.6,17.4,40.7,1.4,7.5,20.3,28.8,0.2,2.6,55.8,Sr,Jun-00,-0.304537
149,Seventh Woods,Morgan St.,MEAC,19,34.6,80.6,18.7,38.3,2.5,10.5,20.8,29.4,1.7,1.9,35.8,Sr,2-Jun,-0.662675
150,Aaron Cook,Georgia,SEC,31,77.9,90.1,23.7,43.1,0.9,8.8,34.9,23.5,0.8,2.4,25,Sr,2-Jun,-1.75603
151,Arkel Lamar,UMKC,Sum,19,50.6,102,26.3,51.6,3.1,24.9,10.3,9,2.4,2.8,36.8,Sr,5-Jun,0.684086
152,Patrick Good,Winthrop,BSth,27,60.3,127,17.5,65.3,1.3,14,5.4,10.8,0,2.8,33.5,Sr,Jun-00,0.426283
153,Jahmiah Simmons,North Texas,CUSA,8,4.2,134.7,10.9,57.1,14.8,22.9,12.5,11.9,0,1.3,0,Sr,4-Jun,2.95209
154,Christian Willis,Arkansas St.,SB,13,13.8,70.1,11.8,34.6,1.7,9.5,8.6,17.1,0.7,0.8,26.9,Sr,2-Jun,-2.26963
155,Te'Jon Lucas,BYU,WCC,32,72.4,102.6,21.8,49.5,0.7,7.6,28.8,20.9,0.3,1.7,21.7,Sr,1-Jun,0.259825
156,Jordan Bohannon,Iowa,B10,36,66.8,121.6,17.1,54.1,0.6,4.9,10.8,11,0,1.6,30.9,Sr,1-Jun,-0.0575497
157,Justin Thomas,Alcorn St.,SWAC,30,66.9,100.5,21.1,48.9,0.8,13.3,26.9,23.7,1,3.7,57.2,Sr,Jun-00,1.49072
158,Justin Kier,Arizona,P12,37,49.8,108.4,17.3,53,1.9,13.4,17.8,21.4,0.1,1.8,23.4,Sr,4-Jun,1.77359
159,Nana Akenten,Southeast Missouri St.,OVC,28,43.5,99.3,18.9,47.3,5.3,21.5,6,9,3.2,1.9,18.7,Jr,6-Jun,-1.5008
160,Thomas Allen,North Carolina St.,ACC,26,28.3,106.8,15.5,44.7,2.8,7.3,14.8,8.2,0.6,2.7,9.6,Sr,1-Jun,-0.128182
161,LaDavius Draine,Tulsa,Amer,28,31,95.3,14.1,51.7,2.2,14.7,7.1,19.7,0.3,2.3,5.7,Sr,4-Jun,0.558552
162,Trey Wade,Arkansas,SEC,37,42.4,113.7,10.9,55.1,6.8,10.1,6.7,16.8,2.5,0.9,18.5,Sr,6-Jun,2.15652
163,Kyle Young,Ohio St.,B10,27,47.6,117.7,19.2,54.5,7.7,18.3,10.5,14.7,2.6,1.2,42.6,Sr,8-Jun,1.35047
164,Anthony Gaines,Siena,MAAC,28,79.7,91.4,21.9,43.6,3.6,21.4,13.8,20.2,1.4,1.8,37.4,Sr,5-Jun,-0.21495
165,David Maynard,The Citadel,SC,26,42.5,121.3,16.2,59.2,4.3,7.9,11.3,15.2,0.4,0.9,38.6,Sr,4-Jun,-1.76439
166,Pauly Paulicap,West Virginia,B12,33,29.7,93,18.3,46,13,20.3,1.6,22.7,8.2,0.9,48.3,Sr,8-Jun,1.42586
167,Andrew Platek,Siena,MAAC,5,8.5,91.8,29.5,46.6,4.8,16.4,22.1,20.3,0,0,9.1,Sr,4-Jun,-3.13199
168,Harrison Prieto,Florida St.,ACC,21,21.2,127.8,12.4,64.4,8.5,8.9,3.7,8.9,2.3,1.3,15.3,Sr,8-Jun,-0.190355
169,Jason Strong,Northeastern,CAA,31,45.3,106.8,18.3,50.3,4.4,12.5,9.5,10.6,0.8,0.6,16.5,Sr,8-Jun,-1.05317
170,Brandon McKissic,Florida,SEC,34,59.4,92.6,16.4,43.7,2.5,9.9,14.8,20.1,0.4,2.8,27.2,Sr,3-Jun,1.34504
171,Jack Perry,Portland,WCC,5,10.2,112.8,8.3,40,2.7,7.6,14.4,10.4,0.8,3,33.3,Sr,3-Jun,2.7103
172,Ra Kpedi,Fort Wayne,Horz,31,66.7,125.9,15.2,64.5,12.7,16.4,4,11.4,2.3,1.5,53.6,Sr,9-Jun,-0.986613
173,Bailey Patella,Vermont,AE,29,17.4,89.1,11.2,41.7,2.9,12.3,6.9,19,2.5,1.3,11.1,Sr,5-Jun,1.26244
174,Emmanuel Akot,Boise St.,MWC,30,69.7,95,21,48.9,1.3,11.1,17.6,21.7,1.3,1.3,27.7,Sr,8-Jun,1.08613
