,Player,School,Conference,GP,Min%,ORTG,USG,EFG,OR%,DR%,AST%,TOV%,BLK%,STL%,FTR,Year,Height,DBPM
1,Jalen Coleman-Lands,Kansas,B12,39,19.8,113,19.6,60.6,4.2,6,7.4,18.4,1.3,1.3,14.7,Sr,4-Jun,0.763975
2,K.J. Walton,Akron,MAC,4,5.9,90.9,20.3,58.8,5,9.4,0,28.4,0,2.5,58.8,Sr,3-Jun,1.1267
3,Camron Justice,Western Kentucky,CUSA,28,76.5,105.7,23.5,53.5,0.5,11.1,18.4,17.7,0.2,2.5,26.5,Sr,3-Jun,-0.657743
4,Traci Carter,Hartford,AE,22,51.2,91.1,22.4,43.2,2.2,13.1,18.1,18.7,1.7,3.3,15.9,Sr,1-Jun,-0.421078
5,Shaheed Medlock,DePaul,BE,4,0.6,0,0,0,0,26.9,0,0,0,0,0,Sr,5-Jun,-1.27352
6,Jeriah Horne,Tulsa,Amer,31,84.8,109,23.6,53,4.2,19.9,10.2,14.6,2.6,2.3,29,Sr,7-Jun,0.593622
7,Eric Curry,Minnesota,B10,26,59.6,92.2,20.2,41.5,4.7,19.9,13.8,13.4,2.8,2,24.6,Sr,9-Jun,1.70437
8,James Butler,Drexel,CAA,24,45.3,116.6,19.2,54.9,10.3,30,6.4,9.6,0.8,0.8,39.4,Sr,8-Jun,0.00494965
9,Jailyn Ingram,Georgia,SEC,9,19.1,96.7,22.2,53.4,4,21.7,17.3,26.3,0.9,1.6,27.4,Sr,7-Jun,0.504389
10,Quentin Jackson Jr.,Loyola Marymount,WCC,9,3.4,83,12.6,43.8,0,7.1,0,12.4,0,1.6,25,Sr,3-Jun,-2.97423
11,Charlie Moore,Miami FL,ACC,37,80.9,106.1,22.7,52.3,1.2,8.6,26.3,16.7,0.6,3.6,19.7,Sr,11-May,1.27961
12,Ben Shungu,Vermont,AE,33,76.9,116,26.1,60.7,2.8,15.3,15.6,13.7,0.9,2.5,25.3,Sr,2-Jun,1.5113
13,Keon Clergeot,Southeastern Louisiana,Slnd,29,72.4,101.7,23.9,50.9,2.3,7.9,20.3,23.2,0.2,2.1,45.5,Sr,1-Jun,-2.67421
14,Bryce Aiken,Seton Hall,BE,15,31.6,119.7,25.9,53.1,1.6,7.2,22.9,14.3,0,3,55.9,Sr,Jun-00,2.51471
15,Peter Kiss,Bryant,NEC,27,77.1,103.5,34.7,50.2,4.3,12,22.1,18.6,0.8,2.6,32.6,Sr,5-Jun,-0.767234
16,Kevin Marfo,Quinnipiac,MAAC,30,67.6,99.2,26.4,46.9,13.4,30.1,27.7,27.4,2.6,2.1,61.3,Sr,8-Jun,1.13825
17,Jair Bolden,Butler,BE,22,30.6,98.8,19.3,43.8,1.5,8.8,5.3,9.2,1.5,1.3,17.1,Sr,3-Jun,-0.101712
18,Colin Slater,Long Beach St.,BW,31,80.2,108.4,21.2,49.7,0.9,9.5,17.3,12.7,0.3,1.5,27.6,Sr,1-Jun,-0.983323
19,Joey Brunk,Ohio St.,B10,28,16.7,114.9,15.1,63,3.7,20.4,5.6,19,3,1.7,28.3,Sr,11-Jun,2.48703
20,Davion Mintz,Kentucky,SEC,31,56,110.4,17.4,47.8,3.2,6.8,11.2,13.4,0.6,1.4,29.6,Sr,3-Jun,0.855589
21,Tyson Jolly,Iona,MAAC,33,83.8,106.2,22.2,49.9,6.5,9.5,13.6,15.1,2.5,1.2,34.1,Sr,4-Jun,-0.629501
22,AJ Wilson,South Carolina,SEC,21,24.5,108.5,13,50,11.9,11.9,6.8,17.4,7,2.3,34.5,Sr,7-Jun,3.20197
23,Xavier Green,Maryland,B10,32,49,101.1,8.4,45.8,4,10.4,7.8,17.9,0.5,1.5,20.8,Sr,6-Jun,1.10293
24,Tareq Coburn,St. John's,BE,27,24.9,99.1,17.1,53.1,2.6,5.7,6.4,18.6,2,2.2,25,Sr,5-Jun,-0.175826
25,Tavian Dunn-Martin,Florida Gulf Coast,ASun,32,83.3,110.6,33.5,51,1.7,8.5,38.1,19,0.1,1.8,34.2,Sr,8-May,-2.44141
26,Jakolby Long,Bethune Cookman,SWAC,26,50.3,95.9,12.5,37.4,5.8,10.9,11.2,15.4,0,2.6,35.4,Sr,4-Jun,-0.718843
27,Taze Moore,Houston,Amer,36,70.4,112.8,19.2,50.6,6,12.4,17.4,15.3,2.8,3.2,12.9,Sr,5-Jun,4.21733
28,Justin Edler-Davis,Cal St. Bakersfield,BW,25,65.4,104.4,18.5,46,8.9,22.8,4.7,11.3,0.4,2.2,14.4,Sr,4-Jun,-0.831489
29,Greg Lee,Penn St.,B10,16,27.9,95.7,19.1,44.3,8.9,21.2,6,16.3,0.7,0.7,16.5,Sr,9-Jun,0.372169
30,Brandon Johnson,DePaul,BE,31,83.5,100.4,17.4,45.4,6.1,15.8,4.5,15.1,0.7,1.1,51.9,Sr,8-Jun,-0.648226
31,Nick Robinson,Western Carolina,SC,29,77.8,101,25.6,46,5.4,18.9,20.3,16.7,1.2,1.8,29.9,Sr,6-Jun,-0.7187
32,Grant Golden,Richmond,A10,37,68.5,105.5,27.4,53.4,4,21.9,25.1,15.3,2,0.9,25.1,Sr,10-Jun,0.718189
33,De'Monte Buckingham,UNC Greensboro,SC,30,72.7,115.7,20.6,59.2,6.4,19.6,8.9,17,0.8,1.7,21.3,Sr,4-Jun,0.247202
34,Nick Sherod,Richmond,A10,37,37.8,94.9,21.1,45.6,1.9,12.4,4,5,0,1.7,8.8,Sr,4-Jun,-1.82854
35,Perry Francois,Charlotte,CUSA,18,6.9,69.6,17.6,21.1,8.9,14.3,6,19.9,1.3,1.4,31.6,Sr,8-Jun,-2.74341
36,Randy Miller Jr.,North Carolina Central,MEAC,26,70.8,93.4,20.7,41.1,2.2,6.5,8.6,18.9,0.3,1.1,45.6,Sr,2-Jun,-3.08891
37,Nolan Taylor,Southeast Missouri St.,OVC,1,0.1,0,0,0,0,0,0,0,0,0,0,Sr,7-Jun,-3.81571
38,Scott Spencer,Tulane,Amer,22,18.6,80.8,14.1,38.4,2.7,12.1,2.5,9.5,2.3,2.1,3.6,Sr,6-Jun,-0.43264
39,Algevon Eichelberger,Cleveland St.,Horz,1,0.2,0,29.2,0,0,0,0,100,62.9,0,0,Sr,8-Jun,7.77459
40,Eron Gordon,Valparaiso,MVC,30,47.5,86.6,12.5,44.4,1.1,17.8,9.3,24.1,1.9,1.6,27,Sr,3-Jun,-0.0604042
41,Mitch Lightfoot,Kansas,B12,40,30.2,113.7,17.8,66.5,10.4,15.4,5.6,20.6,7.2,1.2,36.4,Sr,8-Jun,3.61931
42,Nate Johnson,Xavier,BE,32,61.8,106.4,17.2,52.6,1.1,9.2,8.1,14.1,1.5,1.6,23.2,Sr,4-Jun,0.55139
43,Drew Buggs,Winthrop,BSth,29,61.6,103.2,19,53.6,2.4,11.3,31.6,27,0.8,1.8,24.8,Sr,3-Jun,-1.17816
44,DJ Jones,Florida A&M,SWAC,28,68.7,88.8,18.3,48.1,6.9,17.2,5.4,20.1,5.1,1.2,13.2,Sr,9-Jun,-0.546821
45,Keith Fisher III,Pepperdine,WCC,16,33.5,93.4,19.5,43.7,8.1,17.9,9.1,16.5,0.5,0.7,25.2,Sr,8-Jun,-1.16708
46,Ben Coupet Jr.,Southern Illinois,MVC,30,73.1,109.7,19.5,54.9,4.7,16.6,5.8,13.7,1,0.9,36,Sr,7-Jun,-0.363203
47,Kenny Cooper,Tennessee St.,OVC,28,71.5,99.5,15.9,40.8,1.8,10,21,19.1,1,2.6,40.8,Sr,1-Jun,0.542584
48,Monty Scott,Eastern Michigan,MAC,27,61.2,92.9,21.5,46.4,1.2,9.2,15.8,14.6,0.3,2.3,19,Sr,5-Jun,-0.848683
49,Nick Hopkins,Siena,MAAC,28,60.8,106.8,16.3,52.8,2.4,8.7,9.7,12.8,0.4,3.5,11.4,Sr,Jun-00,1.33554
50,DeAndre Dishman,Middle Tennessee,CUSA,35,68.7,102.5,22.1,52.3,7.5,14,16.4,22,2.5,2.3,53.9,Jr,6-Jun,0.899857
51,Osinachi Smart,College of Charleston,CAA,31,35.3,110.4,13.3,58,13,22,4.1,23.2,2.3,2,37,Sr,8-Jun,0.34232
52,Corey Allen,Georgia St.,SB,23,68,98,26,43.6,1.4,9.8,22.4,13,0.5,2.5,18.3,Sr,2-Jun,0.0292521
53,Justin Hopkins,Texas Southern,SWAC,32,49.3,101.6,17,48.2,4.4,6.3,10.1,22.7,0.2,0.8,53.2,Sr,5-Jun,-0.775576
