,Player,School,Conference,GP,Min%,ORTG,USG,EFG,OR%,DR%,AST%,TOV%,BLK%,STL%,FTR,Year,Height,DBPM
1,Seth Towns,Howard,MEAC,4,43.1,118.4,22.1,52.1,5.7,22.1,8.7,9.9,1.6,2.2,39.6,Sr,9-Jun,1.19803
2,Terrence Lewis,Grambling St.,SWAC,5,49.5,108.9,22.4,60,3.9,10.3,8.5,15.7,0,0.6,20,Sr,6-Jun,-3.09826
3,Austin Williams,Rutgers,B10,4,29.2,86.5,14.2,62.5,4.5,14.5,2.9,35.1,3.4,1.7,33.3,Sr,4-Jun,3.00907
4,Avery Wilson,Southeastern Louisiana,Slnd,5,42,86.2,15.3,50,2.5,5.9,19.9,26.9,1.4,3.4,37.5,Sr,4-Jun,0.260469
5,Jalen Jordan,Middle Tennessee,CUSA,6,33.3,102.4,20,48.2,1.2,5.7,7.5,16.3,0,2,39.3,Sr,2-Jun,-0.763087
6,Cam Martin,Boise St.,MWC,5,59.5,103.4,20.1,44.4,3.7,21.5,19.4,17.1,2.7,1.5,74.1,Sr,9-Jun,2.49327
7,Chuck O'Bannon Jr.,TCU,B12,5,38.8,134.7,15,42.5,8.2,15.6,11,3.7,4,1.7,90,Sr,7-Jun,2.76666
8,Cam Bacote,Georgetown,BE,5,22.4,109.5,10.4,70,2.2,3.8,23.3,40.5,0,2.1,0,Sr,3-Jun,-0.6666
9,Michael Hueitt Jr.,Pittsburgh,ACC,4,14.2,104.3,8.9,57.1,0,8.9,0,0,0,1.6,28.6,Sr,3-Jun,1.29264
10,Robby Carmody,Mercer,SC,5,68,110.9,23.7,59,2.6,5.9,14.7,16.4,0,1.3,74.4,Jr,4-Jun,-1.67504
11,Will McNair Jr.,Kansas St.,B12,6,42.4,101.8,18.6,68.3,6.1,20.1,5.4,31.2,3.9,1.1,20,Sr,11-Jun,2.41507
12,Robert Allen,North Texas,Amer,5,56.6,107.8,15.4,38.9,11.2,35.1,11.8,18.4,4.2,2.8,66.7,Sr,8-Jun,4.93341
13,Emmanuel Dowuona,Tennessee St.,OVC,2,13.1,37.8,10.9,0,6,0,0,25.2,0,2.8,150,Sr,10-Jun,-2.45453
14,Jermaine Couisnard,Oregon,P12,6,77.1,103.9,21.6,47.3,3.4,11.7,14.3,15.1,0.6,2.7,62.5,Sr,4-Jun,1.15816
15,Markeese Hastings,Robert Morris,Horz,4,63,105.3,20.1,63.9,10.8,25.8,5.8,27.2,0.8,2.8,11.1,Sr,7-Jun,0.589932
16,Josiah Strong,Colorado St.,MWC,6,64.6,101.5,16.6,53.7,1.8,10.6,10.8,15.2,0,0.4,14.6,Sr,4-Jun,-0.626748
17,Donovann Toatley,Detroit,Horz,4,37.1,83.5,27.1,36.9,1.4,8.7,22.1,9.9,0,3.4,9.5,Sr,10-May,-4.99025
18,Jose Perez,Arizona St.,P12,5,81.5,103.2,18,39.7,4.4,9.9,17.9,9.8,0.7,1.4,97.1,Sr,5-Jun,0.732758
19,Vincent Lee,Cal St. Fullerton,BW,5,46,129.5,14.6,90.5,4.9,11.6,0,29.7,2.6,1.2,14.3,Sr,9-Jun,0.919364
20,K.J. Hymes,Nevada,MWC,4,32.5,108.8,17,66.7,11.2,17,3,12.5,2.3,0,66.7,Sr,10-Jun,0.544227
21,Kaosi Ezeagu,New Mexico St.,CUSA,6,56.4,96.3,19.1,54.1,8,14.8,1.7,17.1,1,1.2,45.9,Sr,10-Jun,-2.21037
22,Jack Clark,Clemson,ACC,5,35,108.4,13.8,44.1,6.8,18.9,6.7,6,4.9,1.7,17.6,Sr,10-Jun,2.14855
23,Jahvon Quinerly,Memphis,Amer,6,73.3,117,19.6,54.3,0.6,11.3,26.2,18.9,0.6,2.5,44.7,Sr,1-Jun,2.24289
24,Dre Fuller Jr.,UTSA,Amer,7,67.4,96.2,23,46.3,4.1,21.9,8.6,15.9,2.4,1.1,17.3,Sr,6-Jun,-2.18301
25,Bryce Workman,Jacksonville,ASun,5,70.5,134.7,17.5,76.7,5.3,23,7.2,18,3.2,1.2,83.3,Sr,7-Jun,1.13108
26,Connor Vanover,Missouri,SEC,4,11.8,79.2,14.2,38.9,3.6,30.2,0,12.5,6.6,7.1,0,Sr,5-Jul,2.47578
27,Jahmar Young Jr.,Texas Southern,SWAC,6,64.2,93.6,17.9,39.4,11.3,12,4.4,15,0.7,0.4,75.8,Sr,11-Jun,-1.68835
28,Moses Wood,Washington,P12,5,70.2,90.4,17.2,43.3,1.7,11.5,4.5,10.9,3.1,1.9,3.8,Sr,8-Jun,0.459767
29,Quentin Millora-Brown,The Citadel,SC,6,78.8,107.2,14.5,39.7,9.9,17.5,15.3,13.8,2.8,1,65.5,Sr,10-Jun,0.139332
30,Blake Brinkmeyer,Tarleton St.,WAC,1,5,212.5,1.3,0,11.7,40.3,0,0,0,6.1,0,Sr,8-Jun,1.78264
31,Mason Forbes,Saint Mary's,WCC,6,35.4,103,14.6,52.9,8.6,17.8,2.4,15.1,4.7,1.4,52.9,Sr,9-Jun,2.46593
32,Xavier Johnson,Indiana,B10,6,62.1,113.9,20.8,55.7,1.8,8,17.3,18.4,1.6,1.5,85.7,Sr,3-Jun,0.352907
33,Allen Betrand,Norfolk St.,MEAC,5,53.5,104.1,21.6,48.8,2.8,11.5,15.9,12.6,1.3,2.7,17.1,Sr,5-Jun,-0.787224
34,Robert Braswell IV,Charlotte,Amer,2,4.1,65.2,29,20,13.5,11.2,21.8,0,0,0,0,Sr,7-Jun,-4.50088
35,Jordan Lathon,Morehead St.,OVC,5,53,82.1,23.4,42.7,4.5,20.4,11.1,21,0,1.1,12.2,Sr,5-Jun,-1.85578
36,Ithiel Horton,Texas,B12,6,63.3,120.9,19.9,65.4,0,10.4,13.8,15,0,2.3,25,Sr,5-Jun,0.985443
37,Kjell de Graaf,NJIT,AE,2,23,89.1,16,50,7.2,11.6,0,23.5,0,0,30,Sr,10-Jun,-3.77978
38,Aaron Clarke,Stony Brook,CAA,4,77.5,98.5,21.6,44.6,2.3,10.3,14.3,10.8,0,2.3,19.6,Sr,1-Jun,-0.41928
39,Cameron Wilbon,Cal St. Bakersfield,BW,5,61,91.8,20.8,40.9,6.9,6.2,8.7,19.6,2,0.5,42.4,Sr,5-Jun,-3.69823
40,Myles Thompson,Morgan St.,MEAC,5,52.9,83.1,16.9,44.3,5.8,10,0,20.6,0.8,0,17.1,Sr,7-Jun,-5.06853
41,Jeremiah Gambrell,Alcorn St.,SWAC,7,61.8,113.1,18.8,57.3,0,6.7,5,10.2,0.8,1.6,19.4,Sr,3-Jun,-2.55288
42,Spencer Johnson,BYU,B12,6,65,119.3,22.2,49.1,4.9,15.9,27.9,16,0,0.7,19,Sr,5-Jun,2.11685
43,Chris Doherty,Northeastern,CAA,7,69.6,107.2,23.4,57.3,8,25.9,22.9,24.9,2.3,1.2,38.2,Sr,7-Jun,-0.386462
44,John Newman III,Cincinnati,B12,5,63,128,15.5,65.6,4.3,15.3,7.5,11.5,0.8,2.7,40.6,Sr,5-Jun,3.73941
45,Wynston Tabbs,Morgan St.,MEAC,6,63.8,91,35.7,49.4,2.7,9.8,17.1,23.4,0,2.9,21.4,Sr,3-Jun,-2.83615
46,Raheem Solomon,Sacred Heart,NEC,6,56.3,98.4,22.4,49,4,6.2,6.9,21.6,0.8,2.4,29.2,Sr,3-Jun,-2.15614
47,Tyrel Bladen,Norfolk St.,MEAC,5,32,103.7,19.8,52.9,6.3,11.5,4.1,18.3,2.2,0.9,58.8,Sr,10-Jun,-1.75248
48,Tuukka Jaakkola,Cal Poly,BW,4,34,85.5,23.5,41.4,4.6,11.4,0,7.6,1.8,0.9,6.9,Sr,10-Jun,-3.53445
49,Luis Rodriguez,UNLV,MWC,5,82,102.5,22.8,44.5,8.8,13.6,9,11.4,0,3,32.7,Sr,6-Jun,-1.09174
50,Amari Kelly,George Mason,A10,6,65.8,124.6,22.2,67.4,11.1,16.2,8.4,23,6.2,1.2,41.9,Sr,9-Jun,3.13314
51,Carlos Curry,Georgia Southern,SB,6,30,102.6,16.9,50,8.9,21.2,2.9,18.7,8.6,0,33.3,Sr,11-Jun,-1.07892
52,Jayden Hardaway,Memphis,Amer,6,33.3,89.5,14.5,34.2,0,2.5,6.2,14,0,1.4,42.1,Sr,5-Jun,-1.28827
53,Warren Washington,Texas Tech,B12,6,61.3,97.5,21.4,50,12,24.1,9.1,22.6,6.4,2,52.6,Sr,Jul-00,4.44501
54,Keenan Fitzmorris,Stony Brook,CAA,4,50.6,98.6,20.1,54.8,8.2,14.3,0,21.4,2.6,0,47.6,Sr,Jul-00,-1.56053
