,Player,School,Conference,GP,Min%,ORTG,USG,EFG,OR%,DR%,AST%,TOV%,BLK%,STL%,FTR,Year,Height,DBPM
4494,Andre Cruz,Incarnate Word,Slnd,3,4.5,82.7,27.1,42.1,2.3,14.9,17.2,21,2.1,2.3,36.8,So,7-Jun,-0.011134
4495,Jake Younkin,Baylor,B12,8,0.7,0,22.3,0,0,0,0,0,0,0,0,Jr,3-Jun,-11.6287
4496,Duane Posey,Alabama St.,SWAC,30,45.1,98,23.6,43.1,12.3,16.9,5.3,18.5,3.3,1.2,62.5,Jr,7-Jun,-1.74542
4497,Jakevion Buckley,Lamar,Slnd,28,59.6,83.8,21.6,35.5,2.6,9.8,17.6,25.3,0.4,2.6,55.8,Jr,Jun-00,-1.96351
4498,Jorge Ochoa,Vermont,AE,10,2.2,98.6,21.7,50,4.4,8.7,0,29.1,4,0,83.3,Fr,7-Jun,-1.10835
4499,Ben Gold,Marquette,BE,36,19.5,103.9,18.2,52.4,8.1,7.6,4.7,15.7,7.2,2.2,15.7,Fr,11-Jun,1.12224
4500,Tyler Henry,Southern Indiana,OVC,28,46.7,98.1,19.9,39.9,3.2,11.5,6.6,12.5,0.2,2.3,39.9,Jr,4-Jun,-1.52861
4501,Charles Fofanah,Chicago St.,ind,3,0.3,0,0,0,0,0,0,0,0,0,0,Fr,2-Jun,-2.61093
4502,Shammah Scott,Wichita St.,Amer,25,22.7,88.6,15.5,40.3,1.6,9.3,12.2,18.1,0,1.8,13.9,So,2-Jun,0.701868
4503,Bruce Thornton,Ohio St.,B10,35,75.7,111.9,18.6,52.5,1.1,9.1,15.9,14.1,0.5,1.6,23,Fr,2-Jun,0.748645
4504,Martavious Russell,Mississippi St.,SEC,10,4.8,76.1,19.5,34.8,6.8,3.5,3.1,19,2,3.7,4.3,Fr,2-Jun,-0.572177
4505,Alphonzo Billups III,VCU,A10,8,2.4,26.3,15.8,20,3.8,10.7,0,56,0,0,0,Fr,7-Jun,-3.09143
4506,Brice Sensabaugh,Ohio St.,B10,33,57.4,112,32.1,55.5,6.2,18.9,10.9,15.7,1.7,1.3,24.4,Fr,6-Jun,0.305908
4507,Shawn Jones Jr.,Mississippi St.,SEC,24,21.1,93.7,16.5,46,6.9,8.4,6.9,20.3,4.1,3.2,17.3,Fr,5-Jun,2.89424
4508,Jalen Hood-Schifino,Indiana,B10,32,75.3,94.7,25.2,46.3,1.6,12,20.2,19.4,0.8,1.4,18.9,Fr,6-Jun,-0.130419
4509,Skyy Clark,Illinois,B10,13,23.7,95.7,17.7,51.4,2.2,14.7,15.2,27.5,0.6,1.3,31.5,Fr,3-Jun,1.07601
4510,Jayden Epps,Illinois,B10,31,57.2,101.5,20,48.3,1.1,7.3,11.6,15,0.8,1.4,16.8,Fr,2-Jun,0.685413
4511,Sencire Harris,Illinois,B10,33,35.7,96.2,15.6,48.3,4.6,11.4,11.1,16.1,2.3,3.3,16.5,Fr,4-Jun,3.60839
4512,Paxton Warden,Illinois,B10,10,1.1,35.4,18.5,25,0,0,0,41.3,6.6,0,0,Fr,4-Jun,-4.22593
4513,Ty Rodgers,Illinois,B10,33,43.1,103.7,13.1,51.6,10.8,15.2,9.7,20.5,1.2,2.2,33.3,Fr,6-Jun,2.46579
4514,Nigel Burris,Idaho,BSky,30,61.9,115.5,16,61.8,4.5,21.4,3.5,16.4,1.6,1,29,Fr,7-Jun,-1.38669
4515,Amarr Knox,Alabama St.,SWAC,12,17.4,76.3,18.8,32,3,5.5,13.5,19.5,2,1.4,14.1,Fr,3-Jun,-2.11349
4516,Kendal Parker,Alabama St.,SWAC,17,17.3,60.2,16.2,23,5,11,5.7,24.6,2.5,2,22,Fr,4-Jun,-2.38506
4517,Jamarius Hairston,East Tennessee St.,SC,23,36.4,108.5,13.8,51.6,5.7,11.2,3.8,14.8,0.8,1.5,26.6,Sr,5-Jun,-1.19291
4518,Miles McClure,Western Carolina,SC,4,0.4,300,5,150,0,0,0,0,0,0,0,Fr,4-Jun,1.54942
4519,Marcus Kell,Western Carolina,SC,17,4.9,69.6,26.9,32.1,7.3,7.7,6.7,14.2,0,1,10.7,Fr,8-Jun,-3.79459
4520,Jalen Higgins,Western Carolina,SC,3,0.2,0,14.4,0,0,39.7,0,0,0,0,0,Fr,4-Jun,-5.61007
4521,Mitchell Rylee,Miami OH,MAC,5,2.6,95.7,11,25,0,16.3,0,0,0,0,150,Fr,8-Jun,-3.73933
4522,Masen Miller,Indiana St.,MVC,24,6.9,110.1,15.7,55,2.7,3.5,7.2,7.4,0,1.2,0,So,2-Jun,-1.30515
4523,Choul Deng,Oakland,Horz,12,2.1,91.1,6.7,50,4.4,23.1,6.3,32.3,4,2.1,0,So,5-Jun,0.415498
4524,Fletcher Loyer,Purdue,B10,35,72,108.7,20.5,45.4,0.2,6.7,16.6,13,0.2,1.2,28.7,Fr,4-Jun,0.84409
4525,Hayden Welling,UC Irvine,BW,19,6.2,80.1,16.9,40,11.5,14.7,0,29,1.3,0,53.3,Fr,8-Jun,-2.18436
4526,Zaharee Maddox,UNC Asheville,BSth,2,0.1,0,29.1,0,0,0,0,100,0,0,0,Fr,10-May,-13.141
4527,Mason Hanback,Southeast Missouri St.,OVC,9,2.9,134.3,8.9,85.7,0,5.8,0,15.2,8.1,0,28.6,Fr,Jul-00,1.04236
4528,Regimantas Ciunys,UMBC,AE,6,2.9,68.1,27.3,33.3,15.9,19.9,0,23.9,6.2,0,0,Fr,6-Jun,-6.88155
