,player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,threePM,threePA,threeP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,year,pid,new school, ast/tov, rimmade, rimmade+rimmiss, midmade, midmade+midmiss, rimmade/(rimmade+rimmiss), midmade/(midmade+midmiss), dunksmade, dunksmiss+dunksmade, dunksmade/(dunksmade+dunksmiss), dporpag, bpm, obpm, dbpm
252,Jaylen Fisher,TCU,B12,9,14.5,128.9,20.5,58.8,60.72,2.2,9.3,22.2,7.8,9,10,0.9,5,17,0.294,30,68,0.441,1,2.4,11.8,Jr,2-Jun,10,3.54351,2019,46594,Grand Canyon,3.999850007,3,5,2,12,0.6,0.166666667,0,0,0,2.4954,7.66194,5.46575,2.19619
253,Justyn Mutts,Delaware,CAA,32,79.9,104,21.9,53.3,56.57,7.8,22.3,13.8,20.7,70,95,0.737,151,272,0.555,2,17,0.118,3.7,2.4,32.9,So,7-Jun,25,2.0386,2020,50689,Virginia Tech,0.890252737,107,170,44,102,0.629411765,0.431372549,20,22,0.909090909,3.13432,1.34186,0.0526062,1.28925
254,Lafayette Dorsey,Pacific,WCC,30,53.1,99.3,28.6,48.7,54.38,3,14.5,13,18.4,76,89,0.854,77,161,0.478,34,102,0.333,0.7,1.3,33.8,So,1-Jun,1,1.65287,2019,50766,Nicholls St.,0.561419268,48,80,29,81,0.6,0.358024691,0,0,0,1.80555,0.220865,1.23087,-1.01
255,Devin Gage,DePaul,BE,12,15.6,93.3,16.7,53.7,56.66,0.5,6.3,18.9,30.7,10,14,0.714,13,28,0.464,6,13,0.462,1.8,4.3,34.1,Jr,2-Jun,3,0.287951,2020,49193,Fresno St.,1.111133333,9,20,4,8,0.45,0.5,1,1,1,1.83886,1.8964,-1.42444,3.32084
256,Jervay Green,Nebraska,B10,28,52.7,86.2,20.9,46.8,47.35,2.9,14.8,15.8,20.2,24,48,0.5,56,110,0.509,31,109,0.284,0.7,2,21.9,Jr,3-Jun,23,0.613038,2020,72073,Pacific,1.01885995,54,98,2,12,0.551020408,0.166666667,5,5,1,2.347,-0.676464,-1.07606,0.399598
257,Brandon Averette,Utah Valley,WAC,27,80.6,99.3,21.1,49.3,53.06,0.8,6.4,19.9,17.5,56,69,0.812,89,178,0.5,33,103,0.32,0.6,1.7,24.6,Jr,11-May,11,1.42537,2020,46598,BYU,1.369225089,56,97,33,81,0.577319588,0.407407407,0,0,0,2.19742,-1.88368,-0.745828,-1.13786
258,Makai Ashton-Langford,Providence,BE,32,39.6,79.5,18,40.9,43.14,0.2,10.2,25.4,31.5,15,23,0.652,28,75,0.373,16,52,0.308,1.7,2.1,18.1,So,3-Jun,1,-0.458269,2019,50594,Boston College,1.351822222,17,42,11,33,0.404761905,0.333333333,1,1,1,1.87531,-3.22706,-4.61756,1.3905
259,Mustafa Lawrence,Fresno St.,MWC,17,28.9,90.5,23,44,46.58,2,5.4,29.7,26.5,14,20,0.7,17,40,0.425,18,60,0.3,0.7,2.3,20,Jr,1-Jun,12,0.571688,2020,51448,Norfolk St.,1.558790831,13,19,4,21,0.684210526,0.19047619,0,0,0,1.51548,-2.10421,-1.11847,-0.985737
260,Kelvin Robinson,Eastern Kentucky,OVC,28,56.9,92,19.7,43.3,46.19,4.8,13.8,22.2,21.4,41,68,0.603,74,161,0.46,7,34,0.206,0.3,2.6,34.9,Jr,2-Jun,4,0.247848,2019,49471,Jackson St.,1.689701547,51,94,23,67,0.542553191,0.343283582,3,3,1,1.90628,-3.04285,-2.90201,-0.140843
261,Ikenna Ndugba,Bryant,NEC,30,58.9,91.7,18,45.3,48.49,2.6,16.5,20.9,25.2,36,53,0.679,57,121,0.471,16,58,0.276,0,3,29.6,Jr,Jun-00,0,0.0836115,2020,48285,Elon,1.383311806,32,61,25,60,0.524590164,0.416666667,0,1,0,2.30253,-2.49638,-3.89502,1.39863
262,Yuat Alok,TCU,B12,10,8.7,73.5,18,43.3,48.14,3.6,18,2.7,34.2,7,9,0.778,13,30,0.433,0,0,0,2.4,0,30,Jr,11-Jun,35,-0.753745,2019,65618,UCF,0.142857143,9,15,4,15,0.6,0.266666667,0,0,0,1.34035,-9.80194,-10.3678,0.565912
263,Amauri Hardy,UNLV,MWC,32,84.1,103.6,23.3,48.7,51.58,1.6,9.4,20.6,17.5,76,109,0.697,100,210,0.476,63,189,0.333,0.6,1.2,27.3,Jr,2-Jun,3,2.9056,2020,51674,Oregon,1.407915789,71,127,29,83,0.559055118,0.34939759,4,4,1,2.82945,1.79045,2.38247,-0.592017
264,Victor Enoh,Memphis,Amer,11,4.7,87.3,9.5,50,45.71,11.3,6.4,0,24.6,4,10,0.4,2,4,0.5,0,0,0,1.6,0.8,250,So,7-Jun,12,-0.283177,2019,50699,Marist,0,1,2,1,2,0.5,0.5,1,1,1,0.523292,-3.80772,-3.29893,-0.508786
265,Zach Chappell,San Jose St.,MWC,30,48.5,83.7,20.6,39.5,45.4,1.4,7.3,21.6,23.8,48,67,0.716,34,98,0.347,20,64,0.313,0.3,2.4,41.4,So,3-Jun,4,0.00915442,2020,65730,Sacramento St.,1.169795871,20,49,14,49,0.408163265,0.285714286,0,0,0,1.2759,-5.63738,-3.9023,-1.73508
266,Michael Flowers,Western Michigan,MAC,30,81,104.1,27.8,50.1,56.14,1.5,8.4,22.8,17.8,125,148,0.845,96,207,0.464,64,176,0.364,0,1.2,38.6,Jr,1-Jun,12,3.25376,2020,52110,South Alabama,1.168560334,44,72,53,136,0.611111111,0.389705882,0,0,0,2.08925,1.23505,3.04073,-1.80568
267,Shandon Goldman,Northern Iowa,MVC,18,19.1,89.4,19.4,44,46.43,6.9,19.2,9.5,19.5,13,23,0.565,12,30,0.4,9,28,0.321,3,0.3,39.7,Jr,10-Jun,20,0.151297,2019,46582,Tennessee Tech,0.705882353,8,16,4,14,0.5,0.285714286,2,4,0.5,1.26265,-3.35932,-3.44983,0.0905107
268,Ithiel Horton,Delaware,CAA,31,79.9,107.5,20.9,54.7,56.84,1.8,9.6,10,13.4,48,62,0.774,68,148,0.459,76,185,0.411,0.3,1.8,18.6,Fr,3-Jun,12,1.93084,2019,65770,Pittsburgh,1.106445724,41,70,27,78,0.585714286,0.346153846,3,3,1,1.77222,-1.00039,0.971238,-1.97163
269,Landers Nolley II,Virginia Tech,ACC,32,73.8,89.8,33,44.4,48.17,3,19.2,18.8,16.6,85,109,0.78,103,247,0.417,68,215,0.316,1.3,1.5,23.6,Fr,7-Jun,2,2.22156,2020,65714,Memphis,0.885022804,41,78,62,169,0.525641026,0.366863905,4,4,1,3.32961,0.790567,0.848179,-0.0576119
270,Lorenzo Edwards,Saint Joseph's,A10,32,57.7,89.5,18.4,41.5,43.19,5.2,19,8,13.1,27,46,0.587,37,75,0.493,40,159,0.252,3.7,1.4,19.7,Jr,8-Jun,21,0.394196,2020,45305,College of Charleston,0.9062,27,50,10,25,0.54,0.4,4,8,0.5,1.74972,-2.571,-1.84745,-0.723556
271,Cameron Tyson,Idaho,BSky,29,63.4,105.1,24.4,55,57.42,2,6.9,6.8,14,38,43,0.884,31,83,0.373,92,224,0.411,0.3,0.9,14,Fr,3-Jun,5,1.64118,2019,66125,Houston,0.510620915,17,29,14,54,0.586206897,0.259259259,0,0,0,0.572376,-1.4628,3.04291,-4.50571
272,Darius Hicks,Eastern Kentucky,OVC,18,33.3,80.1,17.1,39.1,42.16,7.7,17.3,4,20.9,31,64,0.484,34,86,0.395,0,1,0,3,1.3,73.6,Jr,8-Jun,5,-0.758492,2020,46265,Jackson St.,0.387096774,25,42,9,44,0.595238095,0.204545455,9,11,0.818181818,1.90883,-5.45459,-4.91061,-0.543987
273,Pauly Paulicap,Manhattan,MAAC,31,50.6,95.5,28.9,49.4,50.25,13.8,23.6,2.7,14.4,73,144,0.507,124,251,0.494,0,0,0,10.7,1.2,57.4,Sr,8-Jun,33,1.26707,2020,50191,DePaul,0.136325208,92,172,32,79,0.534883721,0.405063291,14,18,0.777777778,2.35469,0.468352,-0.0908874,0.559239
274,Trey McGowens,Pittsburgh,ACC,33,83.2,91.6,23,42.8,47.76,1.5,10,23.4,22.5,91,126,0.722,83,206,0.403,41,132,0.311,0.2,3.5,37.3,So,4-Jun,2,1.61663,2020,66273,Nebraska,1.255327365,53,107,30,99,0.495327103,0.303030303,12,16,0.75,3.63128,0.602964,-0.983667,1.58663
275,Connor Vanover,California,P12,28,39.4,105.8,20.5,54.5,55.47,5,16.6,2.4,10.5,16,24,0.667,56,101,0.554,27,76,0.355,8.9,0.8,13.6,Fr,3-Jul,23,1.3407,2019,65651,Arkansas,0.277803702,31,41,25,60,0.756097561,0.416666667,20,20,1,1.3192,1.48416,2.10213,-0.617974
276,Parker Edwards,Southeastern Louisiana,Slnd,25,11.1,118.6,24.6,55.6,58.62,0.9,6.3,9.4,7,15,20,0.75,5,8,0.625,20,55,0.364,0,1.3,31.7,Fr,3-Jun,3,0.654109,2019,65998,LSU,1.166966697,2,2,3,6,1,0.5,0,0,0,0.385697,5.69724,6.07417,-0.376928
277,Courtese Cooper,LSU,SEC,12,4.9,128.3,9.1,85.7,85.71,13.4,20.6,0,30.5,0,0,0,6,7,0.857,0,0,0,9,0,0,So,9-Jun,21,0.436135,2020,67873,Southern Utah,0,5,5,1,2,1,0.5,2,2,1,0.509217,2.30833,0.621043,1.68728
278,Khalid Thomas,Arizona St.,P12,23,16,130.8,11.4,65.9,64.9,4.2,13.8,4.5,7.2,6,11,0.545,9,15,0.6,12,26,0.462,1.1,3.3,26.8,Jr,9-Jun,20,1.00415,2020,72048,Portland St.,1.667177914,6,8,3,7,0.75,0.428571429,0,0,0,1.08472,7.61905,4.00256,3.6165
279,Sean Miller-Moore,Oregon St.,P12,29,20.6,108,18,67.9,65.18,15.6,10.6,7.4,26,7,16,0.438,36,53,0.679,0,0,0,0.4,1.2,30.2,Jr,5-Jun,1,0.70482,2020,71464,Grand Canyon,0.449905756,35,48,1,5,0.729166667,0.2,7,7,1,0.727241,-0.593449,1.41911,-2.01256
280,Damari Milstead,Grand Canyon,WAC,33,69.1,103.1,22.5,46.3,51.52,2.1,8.7,23.6,17.8,85,113,0.752,88,199,0.442,30,88,0.341,0.5,2.8,39.4,So,2-Jun,11,1.75476,2019,51548,San Francisco,1.848444261,52,100,36,97,0.52,0.371134021,0,0,0,2.68421,1.58435,0.649983,0.934368
281,Anthony Duruji,Louisiana Tech,CUSA,31,75.9,105.2,20.3,52.2,55.21,5.4,18.2,6.4,15.5,74,108,0.685,95,176,0.54,38,115,0.33,4.8,1.8,37.1,So,7-Jun,10,1.96109,2019,51001,Florida,0.563628727,69,95,26,81,0.726315789,0.320987654,24,26,0.923076923,3.27002,2.11108,0.75971,1.35137
282,Jaylen Sebree,Florida Atlantic,CUSA,29,26.5,86.8,17.4,40.4,41.45,3.5,16.4,5.6,12.8,6,10,0.6,16,36,0.444,16,63,0.254,1.1,2.4,10.1,So,7-Jun,3,-0.0714387,2020,66171,Morehead St.,0.799914676,12,22,4,14,0.545454545,0.285714286,1,1,1,1.05653,-1.15158,-1.68391,0.532333
283,Rey Idowu,Illinois St.,MVC,29,37.3,95.4,17.2,51.6,53.07,8,16,8.3,22.8,22,38,0.579,49,95,0.516,0,0,0,1,0.9,40,So,9-Jun,13,0.386443,2020,65683,Tulsa,0.645214362,35,54,14,41,0.648148148,0.341463415,2,3,0.666666667,1.30874,-3.43459,-3.25678,-0.177805
284,Antwann Jones,Memphis,Amer,35,40.2,98.2,16.7,48.1,53.79,3.4,16.1,18.2,27.7,38,45,0.844,41,88,0.466,15,44,0.341,2.6,2.1,34.1,Fr,6-Jun,11,0.571132,2019,65925,Creighton,1.254958479,29,48,12,40,0.604166667,0.3,1,1,1,1.99967,2.05323,-0.527998,2.58123
285,Brycen Goodine,Syracuse,ACC,23,15.6,76.9,18.9,33,38.83,3.4,9.7,14.3,26.1,11,14,0.786,12,26,0.462,3,24,0.125,1.3,3.2,28,Fr,3-Jun,0,-0.203973,2020,71735,Providence,0.941279935,6,9,6,18,0.666666667,0.333333333,0,0,0,0.896141,-3.37697,-4.34194,0.964978
286,Justice Sueing,California,P12,31,85.9,108.2,22.3,48.6,55.17,5,17.1,12.1,13,129,165,0.782,105,208,0.505,35,116,0.302,1.8,2.8,50.9,So,7-Jun,10,3.18236,2019,50231,Ohio St.,1.132069954,79,123,26,85,0.642276423,0.305882353,11,13,0.846153846,2.67512,2.99604,2.93248,0.0635609
287,James Akinjo,Georgetown,BE,7,16.7,96.9,26.5,38.2,45.11,2.1,8.6,28.1,15.8,26,32,0.813,22,56,0.393,8,33,0.242,0,3.7,36,So,1-Jun,3,2.47331,2020,66172,Arizona,1.93752461,14,29,8,27,0.482758621,0.296296296,1,1,1,2.86193,2.31088,1.47438,0.836501
288,Jordan Brown,Nevada,MWC,33,24.4,95.1,17.9,50.6,53.08,5.5,17.6,8.1,22.6,20,32,0.625,40,78,0.513,0,1,0,5.2,1.7,40.5,Fr,11-Jun,21,0.201937,2019,66423,Arizona,0.624914066,18,25,22,53,0.72,0.41509434,3,3,1,1.33992,0.152895,-2.51493,2.66783
289,Emmanuel Akot,Arizona,P12,17,25.5,87.2,13.8,43.9,43.76,3.1,14.3,10.2,19.4,6,15,0.4,20,45,0.444,6,21,0.286,0.7,0.7,22.7,So,7-Jun,24,-0.437025,2019,50224,Boise St.,1.199909338,13,16,7,29,0.8125,0.24137931,2,2,1,2.06084,-1.07856,-2.38027,1.30171
290,Ledarrius Brewer,Southeast Missouri St.,OVC,27,64.9,86.9,27.4,43.8,47.29,2.9,15.1,15.2,20.9,57,78,0.731,73,166,0.44,43,148,0.291,1.4,2.4,24.8,So,5-Jun,25,0.491853,2019,51100,East Tennessee St.,0.686733517,44,80,29,86,0.55,0.337209302,10,12,0.833333333,2.17207,-2.83565,-1.70982,-1.12582
291,Karl Nicholas,Stephen F. Austin,Slnd,9,16.1,81.2,28.7,40.9,42.51,12.1,16.7,10.9,22.5,11,22,0.5,27,66,0.409,0,0,0,8.4,1.7,33.3,So,8-Jun,NA,0.0910605,2019,50337,Texas Southern,0.416639584,23,51,4,15,0.450980392,0.266666667,4,6,0.666666667,1.94956,-5.80823,-5.94178,0.133555
292,Grayson Carter,Georgetown,BE,14,4.9,64.5,21.3,36.1,35.97,8.4,14.5,5.2,31.2,2,6,0.333,2,9,0.222,3,9,0.333,3.3,1.7,33.3,Fr,8-Jun,35,-0.325046,2019,66526,UT Arlington,0.250087504,2,3,0,6,0.666666667,0,0,0,0,0.468481,-8.86566,-8.19488,-0.670781
293,Jonathan Tchamwa Tchatchoua,UNLV,MWC,31,33,103.5,16.2,47.5,52.53,14.9,13.9,2.7,21.7,30,44,0.682,38,77,0.494,0,3,0,5.3,1,55,Fr,8-Jun,30,0.488014,2019,66025,Baylor,0.239925604,26,49,12,29,0.530612245,0.413793103,13,15,0.866666667,1.17148,-3.20132,-3.05391,-0.147409
294,Dwight Murray Jr.,Incarnate Word,Slnd,28,62.5,91.9,22.2,44.9,49.99,2.1,13.4,21,22.5,50,57,0.877,69,141,0.489,21,83,0.253,0.5,1.6,25.4,So,Jun-00,0,0.528092,2020,66569,Rider,1.121230625,40,65,29,76,0.615384615,0.381578947,0,1,0,1.21724,-4.46214,-1.62442,-2.83772
295,Samson George,Pittsburgh,ACC,7,1.6,79.2,21.5,16.7,28.25,15.7,16.9,0,0,3,6,0.5,1,6,0.167,0,0,0,0,0,100,Jr,7-Jun,23,-0.0182335,2020,50367,Central Arkansas,0,1,4,0,2,0.25,0,0,0,0,0.248731,-6.89099,-2.08324,-4.80774
296,Joey Hauser,Marquette,BE,34,71.8,108,18,54.2,58.7,3.7,16,15.3,22.3,72,91,0.791,61,131,0.466,45,106,0.425,0.3,0.7,38.4,Fr,9-Jun,22,2.17225,2019,65530,Michigan St.,1.171459102,33,63,28,68,0.523809524,0.411764706,0,3,0,3.28679,2.29283,1.10607,1.18676
297,Tim Finke,Grand Canyon,WAC,33,38.8,104.2,13.6,48.5,50.41,5.1,15.2,9.7,15.6,22,38,0.579,21,52,0.404,18,47,0.383,1.1,1.1,38.4,Fr,6-Jun,24,0.364942,2019,65899,Wright St.,1.631710809,14,32,4,17,0.4375,0.235294118,4,4,1,1.38278,-1.28526,-1.27825,-0.00700574
298,J.J. Rhymes,Grand Canyon,WAC,11,21.5,89.4,17.4,42.6,49.31,6.4,12.3,9.1,24.4,19,27,0.704,20,44,0.455,0,3,0,0.5,0.2,57.4,Jr,4-Jun,0,0.208218,2020,67817,Jacksonville,0.700006,19,31,1,13,0.612903226,0.076923077,0,1,0,1.03382,-5.58983,-2.40879,-3.18104
299,Quinn Richey,James Madison,CAA,15,8.3,78.3,13.4,15,31.89,2.2,0,5.3,4.3,11,14,0.786,0,3,0,2,17,0.118,0,0.6,70,Fr,5-Jun,13,-0.344345,2020,71474,Samford,1.5,0,1,0,2,0,0,0,0,0,0.184856,-10.8462,-5.9996,-4.84657
300,Abayomi Iyiola,Stetson,ASun,29,58.2,104.8,24.1,48.3,51.96,12.1,24.3,4.4,11.7,61,84,0.726,128,261,0.49,1,7,0.143,6.2,2.3,31.3,So,9-Jun,23,1.79596,2019,50741,Arkansas,0.349996125,79,138,49,123,0.572463768,0.398373984,11,15,0.733333333,1.88124,-0.0150555,0.843003,-0.858059
301,Malcolm Porter,Portland,WCC,22,48.3,95.9,19.3,47.5,53.31,1.4,11.8,10.3,16.7,51,64,0.797,37,92,0.402,26,68,0.382,0,1.4,40,Jr,4-Jun,1,0.969427,2020,45531,Northern Arizona,1.0278,20,45,17,47,0.444444444,0.361702128,0,0,0,2.03713,-2.10951,-1.15235,-0.957155
302,Jay Green,UNLV,MWC,17,13.1,105.4,7.5,63.6,49.31,9.2,16.9,6,18.4,2,11,0.182,7,11,0.636,0,0,0,0.8,1,100,So,5-Jun,0,0.0918002,2020,51671,Northern Arizona,1.499787505,7,11,0,0,0.636363636,0,0,0,0,0.910563,-0.874748,-1.36947,0.494721
303,Troy Holston,Saint Joseph's,A10,27,17.8,90.1,19.3,47,47.47,2.3,7.8,3.6,11.5,4,7,0.571,10,22,0.455,19,60,0.317,1.5,1.5,8.5,Sr,4-Jun,10,0.134514,2019,37479,Morgan St.,0.444344434,5,7,5,15,0.714285714,0.333333333,0,0,0,0.633685,-3.80861,-2.18847,-1.62014
304,Elijah Thomas,Saint Mary's,WCC,22,8.9,113.3,17,48.3,51.1,7.7,10.7,6,6,7,11,0.636,7,14,0.5,5,16,0.313,0,2.5,36.7,Jr,5-Jun,10,0.46781,2020,48172,Cal Baptist,2,7,13,0,1,0.538461538,0,2,2,1,0.531982,0.580646,0.54846,0.0321862
305,Jordan Brinson,UAB,CUSA,25,44.3,91.3,12.2,40.5,40.63,5.6,14.2,11.8,17.4,13,33,0.394,25,54,0.463,6,30,0.2,1.6,1.9,39.3,Fr,2-Jun,23,-0.279839,2020,71663,Utah Valley,1.900094505,20,36,5,18,0.555555556,0.277777778,2,2,1,2.05633,-0.511745,-1.63557,1.12383
306,Jonah Antonio,UNLV,MWC,25,41.8,102.7,16,45.4,45.42,1.6,11.2,7.1,7.4,3,7,0.429,5,18,0.278,53,168,0.315,1,1.5,3.8,Sr,5-Jun,10,0.984829,2020,45475,Wake Forest,1.818181818,3,9,2,9,0.333333333,0.222222222,0,0,0,1.86896,0.676409,1.07973,-0.403324
307,Duane Moss,Chattanooga,SC,5,7.3,78.7,13.2,35.7,40.4,2.6,12.8,10.4,24.6,4,7,0.571,2,7,0.286,2,7,0.286,1.2,1.9,50,Fr,6-Jun,21,-1.08239,2018,51131,Campbell,1.2857,2,3,0,4,0.666666667,0,0,0,0,1.14837,-4.35244,-4.61139,0.258951
308,Jordan Caruso,Incarnate Word,Slnd,27,52.1,87.5,18.4,52.9,56.21,3,13.1,17.4,33.2,30,43,0.698,39,73,0.534,11,32,0.344,0.2,2.1,41,Fr,3-Jun,2,-0.261449,2019,66566,Cal Baptist,0.830742083,30,48,9,25,0.625,0.36,0,0,0,0.672228,-7.05697,-3.87442,-3.18255
309,Alterique Gilbert,Connecticut,Amer,30,63.8,92.4,21.6,41.6,45.45,1.8,9.1,27.3,23,53,79,0.671,50,136,0.368,34,107,0.318,0.4,2.3,32.5,Jr,Jun-00,3,1.20511,2020,49404,Wichita St.,1.614323062,28,69,22,67,0.405797101,0.328358209,0,0,0,2.85556,0.388425,-0.126677,0.515102
310,Pedro Bradshaw,Eastern Kentucky,OVC,9,4.3,83.9,12.3,45,45.66,5.7,13.2,3.2,24.2,1,2,0.5,3,6,0.5,1,4,0.25,2,2,20,Fr,7-Jun,32,-0.260553,2019,65827,Bellarmine,1.333333333,3,3,0,3,1,0,0,0,0,0.452556,-3.59689,-2.80777,-0.789117
311,Chuck Champion,Loyola MD,Pat,8,11.8,67.8,18.1,38.4,38.86,0.8,8.4,4.9,23,3,7,0.429,6,21,0.286,7,22,0.318,0,1.5,16.3,Sr,4-Jun,14,-1.35268,2020,49016,Albany,0.454590083,3,9,3,12,0.333333333,0.25,0,1,0,0.827547,-10.2728,-6.18098,-4.09179
312,Curtis Haywood II,Georgia Tech,ACC,29,48.9,90.9,17.3,45.9,48.26,1.4,12.2,18.8,21.5,19,25,0.76,24,41,0.585,32,116,0.276,0.5,3.2,15.9,So,5-Jun,13,0.327557,2019,51783,Tulsa,1.475023563,22,33,2,8,0.666666667,0.25,0,0,0,2.66977,0.973298,-1.40688,2.38018
313,Braden Burke,Michigan St.,B10,10,1,200,2.6,100,100,0,0,0,0,0,0,0,1,1,1,0,0,0,8.2,0,0,Jr,Jul-00,40,0.327982,2020,52006,Central Michigan,0,0,0,1,1,0,1,0,0,0,0.136476,0.468407,-3.46695,3.93536
314,Joel Ntambwe,UNLV,MWC,31,59.7,110.1,23.4,48.5,53.24,7.2,18.7,5.1,12.3,85,113,0.752,75,177,0.424,44,114,0.386,1.5,1.2,38.8,Fr,9-Jun,24,2.27906,2019,66024,Texas Tech,0.48646837,32,52,43,124,0.615384615,0.346774194,2,2,1,2.10336,0.940403,1.84869,-0.908286
315,Marcus Shaver Jr.,Portland,WCC,30,77.9,96.5,26.3,47.4,52.86,1.9,10.1,16.2,16.1,109,142,0.768,88,207,0.425,50,137,0.365,1.5,2.3,41.3,So,2-Jun,10,1.87238,2019,50870,Boise St.,1,62,105,23,96,0.59047619,0.239583333,1,1,1,2.1004,-0.166008,0.763317,-0.929324
316,Andrew Nembhard,Florida,SEC,31,82.6,105.9,22,49.5,52.78,0.4,10.2,33.1,21.4,55,71,0.775,98,191,0.513,32,104,0.308,0.2,1.9,24.1,So,5-Jun,2,3.1511,2020,66098,Gonzaga,2.162520344,51,79,47,112,0.64556962,0.419642857,0,1,0,3.60085,2.78892,2.18335,0.605574
317,Cameron Parker,Sacred Heart,NEC,18,42.2,96.4,24.1,48.9,54.81,0.8,14.6,41.8,33.2,51,68,0.75,46,91,0.505,12,40,0.3,0.2,1.2,51.9,So,2-Jun,11,1.19836,2020,65786,Montana,1.762522266,33,58,13,32,0.568965517,0.40625,0,0,0,2.39635,-2.28148,-0.656992,-1.62449
318,Kevin Easley,Chattanooga,SC,26,63.9,99,27,50.6,52.57,7.2,20.4,9.1,15.7,50,76,0.658,92,197,0.467,44,115,0.383,1.3,1.3,24.4,Fr,6-Jun,34,1.89024,2019,65556,TCU,0.60345,61,111,30,85,0.54954955,0.352941176,2,2,1,2.14599,-0.16512,1.59213,-1.75725
319,Chudier Bile,Northwestern St.,Slnd,25,56.8,97,30.9,52.8,57.82,7.8,23.4,13.4,26.6,98,133,0.737,79,158,0.5,35,91,0.385,4.9,1.6,53.4,Jr,6-Jun,4,1.66646,2020,67861,Georgetown,0.399989818,52,93,27,65,0.559139785,0.415384615,12,13,0.923076923,2.37862,1.18683,0.429757,0.757074
320,Najee Garvin,Charlotte,CUSA,28,57.2,88.8,18.7,45.5,48.96,4.6,20.5,6.9,20.8,45,72,0.625,76,163,0.466,0,4,0,1,1.3,43.1,So,7-Jun,1,0.0358266,2018,47242,Nicholls St.,0.437469792,52,76,23,80,0.684210526,0.2875,10,11,0.909090909,1.57183,-5.34239,-4.02898,-1.3134
321,Amari McCray,Pacific,WCC,27,31.8,98.2,24,54.6,54.75,13,22.6,7.8,23.3,17,32,0.531,71,130,0.546,0,0,0,5.4,1.5,24.6,Jr,9-Jun,2,0.885411,2020,67810,Portland St.,0.394718767,60,101,11,29,0.594059406,0.379310345,6,7,0.857142857,1.68592,-1.45792,-2.88507,1.42715
322,Brian Thomas,Florida Gulf Coast,ASun,19,19.2,105.3,9.4,51.7,51.04,9.6,16.7,4.4,16.7,3,7,0.429,15,29,0.517,0,0,0,15.8,1.8,24.1,Jr,9-Jun,30,0.0692907,2020,50902,Grambling St.,1,15,29,0,0,0.517241379,0,6,6,1,1.38024,2.43142,-1.63872,4.07014
323,Luke Sutherland,Siena,MAAC,7,2.8,80.4,10.3,31.3,31.25,3.6,20.5,0,0,0,0,0,1,2,0.5,1,6,0.167,3.2,1.8,0,Fr,7-Jun,30,-0.28119,2020,71652,Bryant,0,1,1,0,1,1,0,0,0,0,0.498187,-3.67167,-2.25592,-1.41575
324,Cordell Pemsl,Iowa,B10,28,28.5,99.5,15.3,50,54.15,6.9,20.5,15.4,27,26,42,0.619,25,49,0.51,1,4,0.25,3.1,1.3,79.2,Jr,9-Jun,35,0.562966,2020,49476,Virginia Tech,1.269222485,21,32,4,17,0.65625,0.235294118,0,0,0,1.41932,2.4214,0.160952,2.26045
325,Colby Leifson,BYU,WCC,26,8,95,19.4,47.7,47.78,3,4.4,9.8,14.9,1,2,0.5,1,4,0.25,13,39,0.333,0,1,4.7,Fr,4-Jun,13,0.116873,2017,48369,Utah Valley,1,0,1,1,3,0,0.333333333,0,0,0,0.351464,-4.13543,-1.8089,-2.32652
326,Bryan Penn-Johnson,Washington,P12,6,2.6,129,12.3,80,85.6,7.3,9.2,0,27.2,3,3,1,4,5,0.8,0,0,0,16,0,60,Fr,Jul-00,23,0.705915,2020,65829,LSU,0,2,3,2,2,0.666666667,1,2,2,1,0.603819,1.60712,-3.82632,5.43344
327,Russel Tchewa,Texas Tech,B12,23,9.2,90.9,20.3,50,50.9,8.7,13.2,7.3,22.4,4,7,0.571,17,34,0.5,0,0,0,7,1.5,20.6,Fr,Jul-00,54,0.171374,2020,71180,South Florida,0.444416049,9,15,8,19,0.6,0.421052632,2,4,0.5,0.682861,-1.51634,-3.94384,2.42751
328,Nike Sibande,Miami OH,MAC,29,71.1,96.8,27.2,48.3,53.89,4.1,19.3,11.9,20.3,97,119,0.815,106,222,0.477,33,100,0.33,0.6,1.7,37,Jr,4-Jun,1,2.00861,2020,50290,Pittsburgh,0.627892726,80,135,26,87,0.592592593,0.298850575,15,16,0.9375,2.41512,-0.187013,0.888441,-1.07545
329,Grant Weatherford,IUPUI,Horz,30,86.1,94.6,17.3,48.4,50.29,4,10.9,16.2,22.3,51,87,0.586,80,168,0.476,26,78,0.333,0.7,2.7,35.4,Jr,2-Jun,23,0.534757,2020,67542,Georgia Southern,1.18984932,71,138,9,30,0.514492754,0.3,0,1,0,1.41884,-3.3138,-1.78609,-1.52771
330,Galen Alexander,Georgetown,BE,9,8.8,89.5,18.2,55.4,57.19,2.9,20.1,4.8,29.9,7,11,0.636,5,12,0.417,7,16,0.438,2,1,39.3,Jr,6-Jun,11,0.223199,2020,51304,Texas Southern,0.272704958,5,7,0,5,0.714285714,0,2,3,0.666666667,1.21748,-1.63561,-1.47589,-0.159713
