,player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,threePM,threePA,threeP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,year,pid,new school, ast/tov, rimmade, rimmade+rimmiss, midmade, midmade+midmiss, rimmade/(rimmade+rimmiss), midmade/(midmade+midmiss), dunksmade, dunksmiss+dunksmade, dunksmade/(dunksmade+dunksmiss), dporpag, bpm, obpm, dbpm
208,Joel Mensah,San Diego St.,MWC,21,10.9,97.1,14.1,61.3,60.14,1.8,16.3,1.4,22.3,1,3,0.333,19,31,0.613,0,0,0,11.6,1.8,9.7,So,10-Jun,35,0.0684538,2020,65859,James Madison,0.142814281,15,22,5,15,0.681818182,0.333333333,8,9,0.888888889,0.967624,2.73772,-3.2604,5.99813
209,Gabe McGlothan,Southeast Missouri St.,OVC,29,52.9,102,20.2,51.3,52.5,9.9,23.1,9.1,16.7,26,43,0.605,68,136,0.5,20,55,0.364,3.6,1.6,22.5,Fr,7-Jun,30,0.921797,2019,66489,Grand Canyon,0.707318917,43,75,25,61,0.573333333,0.409836066,11,15,0.733333333,1.8214,-1.37815,-0.889656,-0.488491
210,John Hall,Evansville,MVC,31,55.3,80.1,17.3,42.7,44.28,2.2,14.9,6.1,17.9,19,31,0.613,44,91,0.484,23,93,0.247,1.2,0.8,16.8,Jr,7-Jun,35,-0.632136,2020,47585,Portland St.,0.540563916,36,55,8,36,0.654545455,0.222222222,4,5,0.8,1.52581,-5.33095,-3.76404,-1.56691
211,Bul Kuol,Cal Baptist,WAC,15,25.8,119,13.4,62.9,65.93,4.8,12.4,2,18.3,16,20,0.8,8,21,0.381,19,37,0.514,0.3,1,34.5,Sr,7-Jun,11,1.20417,2020,67759,Detroit,0.5,6,14,2,7,0.428571429,0.285714286,0,0,0,1.27423,0.412207,1.21024,-0.798029
212,Jalen Harris,Arkansas,SEC,32,59.7,94.1,12.7,45.3,51.44,1.5,8.7,17.2,26.6,38,51,0.745,23,46,0.5,17,61,0.279,1,2,47.7,Jr,2-Jun,5,0.0822022,2020,48495,Georgetown,1.616966231,16,25,7,21,0.64,0.333333333,3,3,1,2.70379,-0.48661,-2.21277,1.72616
213,Ajare Sanni,Pacific,WCC,18,31.2,101.5,22.4,47.2,49.62,1.3,7.7,13.8,10,22,32,0.688,26,75,0.347,27,66,0.409,0.4,1.9,22.7,Fr,2-Jun,14,1.15405,2019,66034,UC Santa Barbara,1.277777778,16,32,10,43,0.5,0.23255814,0,0,0,1.62613,-0.266841,0.723703,-0.990544
214,Anthony Tarke,UTEP,CUSA,11,11.2,63.2,22.4,32.3,33.13,10.6,23.3,12.5,31.8,4,11,0.364,10,21,0.476,0,10,0,1.7,4.5,35.5,Jr,6-Jun,3,-0.779759,2020,46423,Coppin St.,0.421044875,8,11,2,10,0.727272727,0.2,5,5,1,1.68888,-3.51641,-5.60173,2.08532
215,Kain Harris,Kent St.,MAC,6,5,89,24.2,35.2,37.45,8.7,9.6,12.1,11.4,3,5,0.6,5,9,0.556,3,18,0.167,3.6,1.8,18.5,Jr,4-Jun,11,0.066048,2019,42495,Lamar,2,4,7,1,2,0.571428571,0.5,0,0,0,0.585926,-7.18407,-4.14857,-3.0355
216,Ignas Sargiunas,Georgia,SEC,20,9,94.3,18.3,48.3,52.51,3.1,6.3,15.6,26.9,6,7,0.857,7,13,0.538,5,17,0.294,0,1.5,23.3,Fr,5-Jun,43,0.139673,2019,65678,Colorado St.,0.9,6,10,1,3,0.6,0.333333333,0,0,0,0.463523,-4.62204,-3.06724,-1.5548
217,David Jenkins Jr.,South Dakota St.,Sum,31,80.5,108.8,26.3,58.4,61.4,1.7,9,8.4,17,103,131,0.786,87,192,0.453,112,245,0.457,0,0.7,30,So,2-Jun,5,3.0525,2019,51013,UNLV,0.583314286,41,96,46,96,0.427083333,0.479166667,0,0,0,2.49035,-0.536605,2.13651,-2.67312
218,Shawn Williams,New Mexico St.,WAC,26,31.1,99.3,20.6,46.1,50.86,5.2,6.6,5.6,19.2,25,29,0.862,11,30,0.367,28,85,0.329,0.4,0.2,25.2,Jr,1-Jun,55,0.594329,2020,46507,Nicholls St.,0.599955202,5,8,6,22,0.625,0.272727273,1,1,1,1.02282,-3.22009,-0.128066,-3.09202
219,Daron Henson,Washington St.,P12,10,5.7,99,22.2,56.3,53.1,4.2,8,0,10.5,0,4,0,3,7,0.429,10,25,0.4,0,0,12.5,Jr,7-Jun,3,0.615977,2020,47901,Seattle,0,3,6,0,1,0.5,0,0,0,0,0.666098,2.06473,5.21524,-3.15051
220,Luka Jaksic,Presbyterian,BSth,1,0.2,0,0,0,0,0,60.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fr,8-Jun,21,-0.648365,2020,71596,St. Francis NY,0,NA,NA,NA,NA,0,0,NA,NA,0,0.22246,-15.5298,-16.6707,1.14084
221,Quentin Millora-Brown,Rice,CUSA,30,57.8,113.2,16,60,58.12,10.1,17.5,11.1,15.3,26,58,0.448,96,160,0.6,0,0,0,5.5,0.7,36.3,Fr,9-Jun,42,1.62711,2019,65676,Vanderbilt,1.11428049,84,114,12,46,0.736842105,0.260869565,22,24,0.916666667,1.66428,-0.0200796,-0.0265686,0.00648898
222,Jeriah Horne,Tulsa,Amer,31,71,106.3,19.9,51,54.43,4.3,16.3,10.8,13.4,49,57,0.86,63,123,0.512,56,165,0.339,2,2,19.8,Jr,7-Jun,41,2.2784,2020,44216,Colorado,1.075021313,32,46,31,77,0.695652174,0.402597403,3,3,1,3.48761,4.80971,2.72547,2.08424
223,Aleksandar Dozic,Marist,MAAC,31,41.5,104.2,25.8,53.4,56.04,6.3,20.2,26.2,21,26,31,0.839,56,102,0.549,26,76,0.342,4.2,1.9,17.4,Jr,9-Jun,14,1.1947,2019,46899,Wright St.,1.282566211,38,55,18,47,0.690909091,0.382978723,0,0,0,1.38851,2.3574,1.43103,0.926367
