,player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,threePM,threePA,threeP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,year,pid,new school
344,M.J. Cage,Oregon,P12,11,4.9,123.2,13.8,65.4,63.76,15.4,25.4,5,17.6,2,4,0.5,7,12,0.583,1,1,1,1.7,0,30.8,Fr,10-Jun,4,0.557958,2018,47509,Pepperdine
345,Edric Dennis,UT Arlington,SB,29,63.4,94.3,29.3,42.5,48.1,4.2,13.9,18.1,18.1,102,135,0.756,62,159,0.39,61,202,0.302,0.6,1.6,37.4,Jr,Jun-00,5,1.81612,2019,49236,TCU
346,Isiah Jasey,Texas A&M,SEC,5,3.5,138.6,15.8,88.9,74.22,15,14,4.9,8.1,3,8,0.375,8,9,0.889,0,0,0,10.1,5.1,88.9,So,10-Jun,15,1.55735,2019,51372,SMU
347,Curran Scott,Tulsa,Amer,32,61.3,101,18.8,50,54.71,1.8,8.9,9.1,15.4,65,85,0.765,49,117,0.419,41,104,0.394,0,0.7,38.5,Jr,4-Jun,10,1.33225,2019,43388,Clemson
348,Isaiah Moss,Iowa,B10,35,59.8,102.7,20.1,48.6,52.14,3,10.4,14.2,16.4,53,67,0.791,62,162,0.383,48,114,0.421,0.9,2.2,24.3,Jr,5-Jun,4,1.90744,2019,41473,Kansas
349,Jalen Harris,Louisiana Tech,CUSA,9,19,102.8,29.1,51.1,57.84,3.4,14.2,20.4,21,37,45,0.822,33,66,0.5,9,25,0.36,1.3,2,49.5,So,4-Jun,NA,2.58061,2018,47012,Nevada
350,Jonathan Baehre,UNC Asheville,BSth,32,53.4,111.4,16.8,60.7,61.6,8.6,15.8,7.9,18.8,15,20,0.75,72,112,0.643,24,66,0.364,9.3,1.7,11.2,So,9-Jun,1,1.28084,2018,48748,Clemson
351,Drew Edwards,Providence,BE,30,23.9,109.7,14.6,44.5,53,3,10.1,9.2,13.2,30,35,0.857,10,30,0.333,15,43,0.349,1.4,3,47.9,Jr,4-Jun,25,0.674475,2019,42798,Charlotte
352,Braun Hartfield,Youngstown St.,Horz,30,80.3,101.3,22.2,49.1,51.38,4.6,12.2,15.6,18.6,74,120,0.617,97,209,0.464,47,132,0.356,2.5,2.8,35.2,So,6-Jun,1,1.85876,2018,47843,San Diego
353,Ryan Daly,Delaware,CAA,26,79.4,105.5,24.6,47.5,50.3,3.7,15,13.6,8.1,82,127,0.646,118,245,0.482,44,142,0.31,0.3,1.9,32.8,So,5-Jun,0,2.83556,2018,45864,Saint Joseph's
354,Charlie Moore,Kansas,B12,35,31.4,82,17.5,36.5,38.45,2,6.2,16,21.9,10,14,0.714,16,51,0.314,20,75,0.267,0.5,2.6,11.1,So,11-May,2,-0.0796484,2019,44420,DePaul
355,Roland Griffin,Iona,MAAC,33,56.9,106,23.6,53.5,56.41,5.9,18.7,11.5,15.3,79,118,0.669,142,262,0.542,2,9,0.222,3,1.1,43.5,Jr,7-Jun,11,1.90633,2018,40100,Jackson St.
356,Elijah Burns,Notre Dame,ACC,4,3.4,158.3,19.4,55,68.97,18.4,16.9,9.3,0,10,11,0.909,4,9,0.444,1,1,1,2.3,0,110,Sr,8-Jun,12,2.51462,2019,41246,Siena
357,Nelly Cummings,Bowling Green,MAC,28,28.4,91.1,16.4,41.8,43.8,1.8,8.1,14.9,15.7,14,25,0.56,25,58,0.431,9,34,0.265,0.6,2.1,27.2,Fr,Jun-00,0,-0.07425,2018,50413,Colgate
358,Keith Smith,Oregon,P12,35,21.4,103.8,14.2,46.6,49.59,8.6,10.4,10.9,19.6,12,18,0.667,27,50,0.54,0,8,0,2.3,2.8,31,So,7-Jun,11,0.276228,2018,47508,Pepperdine
359,Carson Williams,Northern Kentucky,Horz,30,69,117,19.8,61.2,62.33,8.4,15,8.2,14.6,70,109,0.642,136,219,0.621,6,18,0.333,1.7,1.9,46,So,6-Jun,23,2.65485,2018,49276,Western Kentucky
360,Jamir Moultrie,La Salle,A10,17,16.5,80.2,22.9,38,43.37,2.1,5.3,9.3,22.3,15,18,0.833,12,36,0.333,10,35,0.286,0,2,25.4,So,1-Jun,3,-0.0583382,2019,51861,North Carolina Central
361,Malek Harwell,Boise St.,MWC,31,21.5,103.5,14,41.9,53.25,1.9,8,9.3,17,27,34,0.794,6,19,0.316,8,24,0.333,0.5,2,79.1,Jr,5-Jun,5,0.264083,2019,42613,Cal Poly
362,Jaume Sorolla,Valparaiso,MVC,26,35.9,94.4,14.2,53.1,55.22,5.7,15,5.5,24.8,15,22,0.682,40,79,0.506,2,2,1,8.1,1.4,27.2,Jr,Jul-00,14,0.0430835,2019,46843,Cincinnati
363,Karl Harris,Northern Arizona,BSky,30,45.4,90,24.9,41.4,47.64,3,9.8,8.5,16.9,59,71,0.831,71,163,0.436,12,52,0.231,0.4,1.7,33,Jr,5-Jun,14,0.471266,2018,43463,Northern Kentucky
364,Traci Carter,La Salle,A10,31,61.1,91.1,19,41.9,45.03,1.9,11.2,27.6,23.3,26,31,0.839,48,121,0.397,25,83,0.301,0.4,4.3,15.2,Jr,1-Jun,25,0.387549,2019,42956,Hartford
365,C.J. Jones,Arkansas,SEC,35,36.7,111.8,17.8,53.7,55.39,0.9,10,4.9,7.9,19,24,0.792,37,73,0.507,43,116,0.371,1.2,0.9,12.7,So,5-Jun,23,1.34224,2018,46023,Middle Tennessee
366,Sam Cunliffe,Kansas,B12,15,4.7,100,19.8,52,53.95,3.3,10.1,9.3,19.5,2,2,1,10,17,0.588,2,8,0.25,1.4,1.5,8,So,6-Jun,3,0.317816,2018,48952,Evansville
367,Gary Chivichyan,Idaho St.,BSky,27,46.2,110.9,18.3,57.8,58.91,0.9,8.9,3.9,11.1,18,25,0.72,18,35,0.514,55,139,0.396,0,0.8,14.4,Sr,5-Jun,25,1.22989,2019,42030,Pacific
368,Jahshire Hardnett,BYU,WCC,20,36.6,101.9,21.4,45.9,52.16,1.7,7.7,13.4,13.1,50,61,0.82,57,112,0.509,10,45,0.222,0,2.2,38.9,Jr,Jun-00,0,1.4754,2019,51892,UMKC
369,Kerry Blackshear Jr.,Virginia Tech,ACC,35,74.4,118.8,27.4,53.7,58.31,13.7,18.5,17.3,13.7,134,182,0.736,163,299,0.545,21,63,0.333,4.1,1.4,50.3,Jr,10-Jun,24,5.1184,2019,40843,Florida
370,Elijah Mitrou-Long,Texas,B12,36,43.1,92.7,20.4,41.7,43.74,0.7,13.7,17,13.3,27,44,0.614,38,107,0.355,33,103,0.32,0.5,2.8,21,Jr,1-Jun,55,0.807601,2019,38781,UNLV
371,TJ Parham,Green Bay,Horz,17,5.4,86.3,23.1,30.6,33.92,6.7,9.3,12.9,2.9,5,8,0.625,5,14,0.357,4,22,0.182,2.6,4.7,22.2,Sr,7-Jun,0,0.0430121,2019,50509,Alabama A&M
372,Jax Levitch,Fort Wayne,Sum,29,69.2,117.9,8.9,58.6,59.45,3,14.9,5.5,12.9,20,32,0.625,5,17,0.294,42,99,0.424,1.2,2,27.6,So,7-Jun,5,0.99954,2018,47690,UNC Asheville
373,John Crosby,Dayton,A10,26,30.4,96.6,19.7,44.8,51.41,1.4,10.8,23.3,24.5,29,36,0.806,25,55,0.455,9,31,0.29,0,0.9,41.9,Jr,3-Jun,15,0.525098,2018,41498,Delaware St.
374,Shaquillo Fritz,Arkansas St.,SB,23,22.4,96.5,11.7,46.3,48.27,9.8,15.3,4.8,23.2,8,14,0.571,19,41,0.463,0,0,0,9.7,0.6,34.1,Jr,8-Jun,25,-0.0917205,2019,51202,Pacific
375,Patrick Szpir,Chicago St.,WAC,30,47.3,80.8,12.7,41.5,45.85,5.5,10.1,9.2,27.5,22,34,0.647,34,82,0.415,0,0,0,2,0.9,41.5,Jr,9-Jun,23,-0.90758,2019,45251,Wagner
376,Corey Brown,Northern Arizona,BSky,27,37.5,104.1,19.6,60.2,59.74,8,16.9,4.6,19,37,67,0.552,71,117,0.607,0,1,0,2.4,2.3,56.8,Jr,8-Jun,2,0.93196,2018,40175,Canisius
377,Kylia Sykes,UNC Greensboro,SC,32,22.7,99.5,10.8,52.6,52.63,6.7,8.8,9.4,28.1,4,8,0.5,14,22,0.636,4,16,0.25,3.6,3.3,21.1,Fr,5-Jun,0,-0.104439,2018,45913,Jackson St.
378,Lamont West,West Virginia,B12,36,61.5,107.5,20.7,47.8,52.9,5.6,12.5,6.7,15.2,92,118,0.78,58,128,0.453,64,194,0.33,1.4,1.4,36.6,Jr,8-Jun,15,2.53075,2019,42146,Missouri St.
379,Eddie Davis III,Hartford,AE,22,14.8,91.5,14.6,47.4,53.22,3.8,15.2,3.8,25.3,9,9,1,6,15,0.4,8,23,0.348,1.8,1.8,23.7,Sr,7-Jun,15,-0.112705,2019,40568,The Citadel
380,Keith Oddo,Richmond,A10,9,1.9,102.3,7.5,33.3,43.17,0,0,6.6,0,1,1,1,1,2,0.5,0,1,0,4.6,2.4,33.3,Sr,1-Jun,30,-0.0501671,2019,40947,Louisville
381,Isiah Brown,Northwestern,B10,24,19.7,94.7,24.2,44.7,51.82,1.9,7.2,20.5,23.6,25,29,0.862,23,51,0.451,7,24,0.292,0,2,38.7,So,2-Jun,12,0.571589,2018,44211,Grand Canyon
382,Chris Vogt,Northern Kentucky,Horz,33,31.4,95.5,21.9,57.5,53.13,12.4,21.5,7.6,21.4,28,74,0.378,61,106,0.575,0,0,0,10.9,1.4,69.8,So,Jul-00,33,0.426389,2019,51883,Cincinnati
383,David Caraher,Houston Baptist,Slnd,26,73.9,108.4,23.2,53.5,56.95,6.8,17.7,9.8,17.8,84,114,0.737,92,179,0.514,55,147,0.374,0.5,1.4,35,Fr,6-Jun,5,2.66818,2018,51227,St. John's
384,Blake Francis,Wagner,NEC,30,78.9,118.9,21.8,55.5,58.46,2,4.2,10.5,11.9,79,100,0.79,71,154,0.461,98,239,0.41,0.1,2.6,25.4,So,Jun-00,3,3.3724,2018,44827,Richmond
385,Kelvin Jones,Idaho St.,BSky,27,48.8,100.4,27.1,54.6,56.43,10.1,23.1,7.7,20.1,43,66,0.652,113,207,0.546,0,0,0,8,1,31.9,Jr,11-Jun,54,1.35405,2019,46995,Creighton
386,Daryl Edwards,LSU,SEC,9,10.7,95.8,15.9,48.5,52.32,2.9,7.3,11.8,27.8,8,11,0.727,7,13,0.538,6,20,0.3,0.7,1.1,33.3,Sr,3-Jun,5,0.493549,2019,51303,UTEP
387,Ahsante Shivers,Siena,MAAC,32,60.1,90.9,21.7,42.7,47.87,5.5,13.1,11.5,22,65,90,0.722,65,158,0.411,23,75,0.307,0.8,1.3,38.6,So,4-Jun,21,0.306654,2018,46573,Southern
388,Jalen Williams,Furman,SC,16,5,123,11.3,50,53.53,12,20.1,5.2,8.6,5,9,0.556,3,6,0.5,0,0,0,9.2,1,150,Jr,8-Jun,2,0.239676,2019,40009,Cleveland St.
389,Keith Smith,VMI,SC,27,64.7,82.9,18.6,45.3,47.21,0.9,9.7,24.2,28.9,23,37,0.622,36,100,0.36,28,72,0.389,0.8,2.8,21.5,So,Jun-00,1,-0.813955,2018,45916,Cal Poly
390,Cavit Havsa,Fordham,A10,30,59.7,98.1,13,49.5,52.69,2.4,6.9,25.3,26.6,19,25,0.76,37,61,0.607,9,41,0.22,0.6,2.2,24.5,So,4-Jun,15,0.11978,2018,46888,Utah Valley
391,Jason Carter,Ohio,MAC,30,77.4,109.3,25.2,51.1,55.42,6.6,16.4,13.7,12.1,120,168,0.714,152,299,0.508,23,66,0.348,2.4,1.2,46,So,8-Jun,1,3.39845,2019,47914,Xavier
392,Michael Weathers,Oklahoma St.,B12,16,25.4,84.5,31.8,45.8,49.65,3.9,11.8,23.5,26.9,37,59,0.627,49,102,0.48,4,18,0.222,2.6,3.1,49.2,So,2-Jun,23,0.961413,2019,52147,Texas Southern
393,Isaac Kante,Georgia,SEC,10,1.8,89.1,24.9,50,55.87,9.6,8.9,0,30.5,2,2,1,4,8,0.5,0,0,0,4.5,0,25,Fr,7-Jun,30,0.0666308,2018,51238,Hofstra
394,Amel Kuljuhovic,Cal St. Fullerton,BW,16,10.3,82.4,16.3,41.4,42.64,7.1,18.1,2.9,18.4,6,13,0.462,9,25,0.36,2,4,0.5,2.3,1.7,44.8,Jr,10-Jun,22,-0.207675,2019,67970,Southern
395,Khy Kabellis,Pacific,WCC,18,25.2,72.1,20.4,39.7,39.77,1.2,9.1,11.6,24.2,7,18,0.389,15,50,0.3,13,37,0.351,0.5,1.8,20.7,Jr,5-Jun,11,-0.821349,2019,43563,UC Riverside
396,Joey Brunk,Butler,BE,33,46.1,119,20.3,62,63.38,9,14.6,10.6,15.3,59,91,0.648,94,151,0.623,1,3,0.333,1.2,0.5,59.1,So,11-Jun,50,2.43743,2019,44792,Indiana
397,Tyler Scanlon,Boston University,Pat,32,83.3,108.3,22.4,53.2,56.03,3.2,15.9,18.6,17.7,60,75,0.8,115,211,0.545,50,146,0.342,0.6,2.4,21,Jr,7-Jun,2,2.55217,2019,46270,Belmont
398,Souley Boum,San Francisco,WCC,35,46.3,97.3,30.1,43.6,51.55,3.3,12.2,10.7,16.7,118,142,0.831,65,176,0.369,45,128,0.352,0.8,1.6,46.7,Fr,3-Jun,0,1.46752,2018,51170,UTEP
399,Devin Haygood,Youngstown St.,Horz,29,47.5,94.1,18,54,54.13,8.8,16.8,5.6,26,22,42,0.524,81,149,0.544,0,1,0,6.7,0.9,28,Jr,7-Jun,2,0.260019,2018,42448,North Carolina A&T
400,Austin Vereen,VMI,SC,28,70.1,100.8,20.5,47.3,51.95,4.2,15.2,8.7,13.9,63,79,0.797,33,86,0.384,59,171,0.345,1.7,2.2,30.7,Jr,4-Jun,0,1.08539,2018,42378,Pacific
401,Anthony Tarke,NJIT,ASun,28,79.5,97.6,26.6,44.4,47.6,5.4,17.1,12.7,13,87,138,0.63,112,246,0.455,39,138,0.283,2.7,2.3,35.9,So,6-Jun,12,1.45938,2018,46423,UTEP
402,Jamil Jackson,Southern Utah,BSky,4,5.4,93,12.8,46.2,50.18,1.7,1.8,8.5,19.7,2,2,1,6,11,0.545,0,2,0,1.6,0.8,15.4,So,6-Jun,1,-0.131714,2018,50626,IUPUI
403,Evan Clayborne,Cleveland St.,Horz,24,17.5,81.4,21.6,50.8,49.98,10.8,13.9,2.7,28,8,19,0.421,32,63,0.508,0,0,0,7.5,1.5,30.2,So,8-Jun,22,-0.19388,2018,47405,North Carolina Central
404,Jordan Walker,Seton Hall,BE,17,9,82.1,19.6,41.9,42.23,1.8,6.3,19.4,27.8,5,12,0.417,4,12,0.333,6,19,0.316,0.9,2.7,38.7,Fr,11-May,2,-0.0456202,2018,50468,Tulane
405,Tydus Verhoeven,Duquesne,A10,32,47.7,106.1,10.9,51.9,52.87,7.9,12.1,8.2,21.1,20,37,0.541,40,77,0.519,0,0,0,12.4,0.7,48.1,Fr,8-Jun,25,0.23955,2018,50312,UTEP
406,Aaron Falzon,Northwestern,B10,17,20.5,90.6,15.1,45.5,47.24,2.1,9.7,7.7,15,5,6,0.833,2,7,0.286,19,60,0.317,2,1.4,9,Jr,8-Jun,35,0.244101,2019,39482,Quinnipiac
407,Darius Allen,Baylor,B12,14,8.3,83.5,17.7,37.9,37.56,4.1,9.3,8.2,15.1,3,9,0.333,8,13,0.615,3,20,0.15,6.3,4.3,27.3,Jr,4-Jun,1,-0.0750727,2019,66667,Tennessee Tech
408,Deondre Burns,Little Rock,SB,24,52.2,97.6,21.5,47.3,52.39,1.8,10.8,12.3,17,56,71,0.789,64,133,0.481,21,69,0.304,0.2,1.1,35.1,Jr,2-Jun,2,1.05472,2019,42179,Oral Roberts
409,Alihan Demir,Drexel,CAA,31,77.3,105.7,26.1,53.8,56.39,6,19,20.2,19.4,77,109,0.706,162,286,0.566,20,71,0.282,1.9,0.9,30.5,Jr,9-Jun,30,2.56792,2019,51012,Minnesota
410,Darious Hall,Arkansas,SEC,35,36.7,98.6,18.9,55.1,55.87,7.2,17,5.3,22.2,36,64,0.563,51,96,0.531,13,32,0.406,1.8,1.9,50,Fr,6-Jun,20,0.740911,2018,51361,DePaul
411,Daniel Utomi,Akron,MAC,31,84.6,100.9,21.6,51.6,53.39,3.6,13.2,8,14.5,51,74,0.689,65,144,0.451,86,232,0.371,1.2,1.1,19.7,Jr,6-Jun,3,1.98263,2019,43396,USC
412,CJ Walker,Florida St.,ACC,35,57.3,101.3,19,49.8,53.3,1.1,10.8,17.9,21.9,52,71,0.732,55,118,0.466,39,110,0.355,0.7,2.4,31.1,So,1-Jun,2,1.36718,2018,48434,Ohio St.
413,Danny Dixon,UMKC,WAC,31,48.8,96.3,21.7,45.5,50.18,6.1,14.8,4.6,14.7,52,72,0.722,76,175,0.434,7,15,0.467,0.7,1.2,37.9,Jr,10-Jun,4,0.72573,2019,40580,North Carolina St.
414,Rasheem Dunn,St. Francis NY,NEC,29,76.8,98.8,27.9,44.7,49.71,2.4,19.8,16.9,13.8,103,134,0.769,115,248,0.464,41,147,0.279,0.1,2.6,33.9,So,2-Jun,0,1.81591,2018,48114,Cleveland St.
415,Wesley Harris,West Virginia,B12,22,38,99.9,16.5,45.7,50.79,6.1,13.7,5.9,19.3,47,68,0.691,33,76,0.434,20,62,0.323,1.8,1.5,49.3,Jr,8-Jun,21,1.27605,2019,51867,Tennessee St.
416,Ricky Torres,Wichita St.,Amer,37,37.6,87.7,14.6,36.4,38.15,2.1,11.5,28.8,26.2,8,12,0.667,33,62,0.532,4,45,0.089,0.6,1.5,11.2,Jr,2-Jun,3,-0.117293,2019,65742,Illinois St.
417,Peace Ilegomah,Pittsburgh,ACC,7,2.4,78.8,12.8,100,68.57,3.5,20.3,6.1,42.4,2,5,0.4,2,2,1,0,0,0,0,0,250,So,9-Jun,42,-0.312783,2019,50368,Evansville
418,Donovan Mitchell,Wake Forest,ACC,30,27.2,103.7,12.7,60.2,61.99,4.7,18.3,3.2,25.2,10,13,0.769,16,29,0.552,15,35,0.429,2.8,1.5,20.3,So,8-Jun,2,0.405706,2018,49374,Santa Clara
419,Justin Pierce,William & Mary,CAA,27,76.3,106.2,24.4,52.5,53.52,6.4,24.3,24.2,15.5,56,97,0.577,103,188,0.548,44,134,0.328,0.9,1.7,30.1,Jr,7-Jun,23,2.57806,2019,48824,North Carolina
420,Tyler Stewart,Binghamton,AE,4,3.3,71.3,38.8,31.3,38.43,2.8,8.3,0,15.1,6,7,0.857,6,15,0.4,1,9,0.111,8,1.5,29.2,So,8-Jun,5,-0.101044,2019,46713,St. Francis PA
