,player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,threePM,threePA,threeP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,year,pid,new school
275,Mohamed Thiam,New Mexico St.,WAC,23,19,99.3,22.9,50,50.45,14.4,23.4,3.7,21.5,8,15,0.533,20,34,0.588,17,57,0.298,2.4,1.9,16.5,Jr,9-Jun,23,0.527407,2019,67496,Iona
276,Devin Gage,DePaul,BE,33,68.2,96,19.8,42.8,47.3,2.1,9.4,22.6,22.2,60,78,0.769,100,228,0.439,13,51,0.255,0.5,2.5,28,So,2-Jun,3,1.20294,2019,49193,Marshall
277,Brian Patrick,Kansas St.,B12,26,13.7,93.7,13.6,42.6,43.8,3.1,6.5,8.8,13,2,2,1,5,7,0.714,10,40,0.25,0,1.5,4.3,So,5-Jun,11,0.00398738,2018,48002,Fort Wayne
278,Knox Hellums,Pepperdine,WCC,26,28.7,118.5,13.3,56.9,58.14,1.6,11.6,7.5,7.4,11,16,0.688,12,23,0.522,25,64,0.391,0.7,1.5,18.4,So,5-Jun,21,0.972992,2018,45532,UTSA
279,Miles Lester,Rice,CUSA,27,27.8,88.5,17.9,46.5,49.29,1.3,10.4,26.2,30.5,11,15,0.733,5,22,0.227,19,50,0.38,0,0.9,20.8,Fr,Jun-00,11,-0.0156554,2018,52120,Wake Forest
280,Myles Hanson,Columbia,Ivy,18,18.5,95.6,17.4,42.9,45.12,4.5,20.1,6.3,11.7,5,5,1,9,21,0.429,12,42,0.286,1.9,1.5,7.9,Fr,6-Jun,31,0.15783,2018,50448,Xavier
281,Trey Doomes,West Virginia,B12,12,3.2,103,29.7,38.9,48.96,11.2,15.1,9.4,12.2,12,18,0.667,7,18,0.389,0,0,0,0,3.6,100,Fr,3-Jun,0,0.529024,2019,66228,Chattanooga
282,Jaire Grayer,George Mason,A10,8,11.7,107.1,23.7,55.9,57.85,7.6,11.1,11.9,19.1,13,20,0.65,6,14,0.429,15,37,0.405,2.2,0.8,39.2,Sr,5-Jun,5,1.87655,2019,41936,TCU
283,Rashawn Fredericks,Cincinnati,Amer,35,25.5,101.7,14.5,40.7,44.75,9.5,16.7,4.1,14.3,15,20,0.75,21,47,0.447,8,34,0.235,1.8,1.7,24.7,Jr,5-Jun,10,0.362802,2019,66071,UAB
284,Matt Hauser,Santa Clara,WCC,21,59.8,97.7,17.5,49.7,50.76,0.5,11.7,19.5,16.8,12,17,0.706,30,69,0.435,41,115,0.357,0,2,9.2,Jr,1-Jun,12,0.740468,2018,41254,Portland St.
285,Justin Moore,Georgia Tech,ACC,8,8.6,35.9,16.8,16.7,17.59,0,7.6,16.3,45.6,1,4,0.25,3,14,0.214,0,4,0,0,2.2,22.2,So,4-Jun,0,-2.51559,2018,48423,Pacific
286,Jordan Andrews,South Alabama,SB,22,21.2,97.1,15.6,46.2,46.66,0.9,8.6,11.2,10.9,3,5,0.6,9,21,0.429,18,57,0.316,0.4,0.8,6.4,Jr,5-Jun,25,0.150597,2019,42443,Texas Southern
287,Kamar McKnight,Tennessee St.,OVC,27,71,86.3,24.1,40.2,44.6,2.8,8.8,12.5,19.1,68,98,0.694,79,179,0.441,28,122,0.23,0.3,1.6,32.6,Jr,4-Jun,11,0.296864,2019,50207,Coppin St.
288,Zach Sellers,Savannah St.,MEAC,30,84.9,102.5,19.3,48.1,51.68,3.4,7.1,23,19.6,61,78,0.782,81,157,0.516,48,161,0.298,0.3,2,24.5,Jr,1-Jun,3,1.40982,2019,48051,South Carolina St.
289,Dylan Painter,Villanova,BE,2,0.8,124.6,28,66.7,51.02,32.4,32.4,21.4,0,1,4,0.25,2,3,0.667,0,0,0,21.8,0,133.3,So,11-Jun,42,0.776998,2019,47566,Delaware
290,Yuat Alok,TCU,B12,10,8.7,73.5,18,43.3,48.14,3.6,18,2.7,34.2,7,9,0.778,13,30,0.433,0,0,0,2.4,0,30,Jr,11-Jun,35,-0.709148,2019,65618,UCF
291,Payton Dastrup,BYU,WCC,32,17.8,104.2,22,60.7,61.92,5.2,23,11.2,21.2,16,24,0.667,26,45,0.578,13,30,0.433,6.5,2.3,32,So,10-Jun,15,0.51721,2018,45692,Oregon St.
292,Andy Van Vliet,Wisconsin,B10,17,9.9,119.8,19.9,61.5,63.53,4.8,18.6,5,12.1,10,14,0.714,6,16,0.375,12,23,0.522,2.5,0.5,35.9,Jr,Jul-00,11,0.981597,2018,44033,William & Mary
293,Christion Thompson,Rhode Island,A10,33,64.3,99.6,13.7,40.8,46.63,4.7,11.1,9.3,14.9,52,73,0.712,28,62,0.452,27,106,0.255,2.9,2.9,43.5,Jr,4-Jun,25,0.5538,2019,41829,Tulane
294,Zeke Moore,Tulsa,Amer,14,11.4,93.3,14.9,43.2,46.27,4.1,10,6.7,13.1,4,4,1,10,20,0.5,4,17,0.235,0.8,1.2,10.8,So,7-Jun,23,0.0197453,2019,68247,SIU Edwardsville
295,Anthony Mathis,New Mexico,MWC,31,78.1,113.5,19.5,56,60.76,1.5,6.3,13.6,17.1,87,98,0.888,28,71,0.394,100,247,0.405,0.5,1.9,30.8,Sr,3-Jun,32,2.97848,2019,42369,Oregon
296,Bakari Evelyn,Valparaiso,MVC,31,71.6,84.9,20.3,42.4,45.29,1.4,8.3,14.6,21.4,36,48,0.75,39,109,0.358,48,153,0.314,0.4,1.2,18.3,Jr,2-Jun,4,-0.0623671,2019,39476,Iowa
